payment_id,payable_id,supplier_id,payment_date,amount_paid,payment_method
PM-0000336,AP-0000336,SUP-071,2025-02-01,5715.22,PIX
PM-0000337,AP-0000337,SUP-076,2025-03-01,1872.00,Boleto
PM-0000338,AP-0000338,SUP-081,2025-04-03,1930.42,TED
PM-0000339,AP-0000339,SUP-001,2025-05-03,994.75,PIX
PM-0000340,AP-0000340,SUP-001,2025-05-21,994.75,PIX
PM-0000341,AP-0000341,SUP-006,2025-06-05,2049.26,Boleto
PM-0000342,AP-0000342,SUP-011,2025-07-07,2109.70,TED
PM-0000343,AP-0000343,SUP-016,2025-08-04,2170.80,PIX
PM-0000344,AP-0000344,SUP-021,2025-09-05,1116.29,Boleto
PM-0000345,AP-0000345,SUP-021,2025-09-23,1116.29,Boleto
PM-0000346,AP-0000346,SUP-026,2025-10-08,2295.02,TED
PM-0000347,AP-0000347,SUP-031,2025-11-10,2358.14,PIX
PM-0000348,AP-0000348,SUP-036,2025-12-12,2421.94,Boleto
PM-0000349,AP-0000349,SUP-041,2025-12-12,1243.20,TED
PM-0000350,AP-0000350,SUP-041,2025-12-30,1243.20,TED
PM-0000351,AP-0000351,SUP-046,2026-01-13,2551.54,PIX
PM-0000352,AP-0000352,SUP-051,2026-02-15,2617.34,Boleto
PM-0000353,AP-0000353,SUP-056,2026-03-20,2683.82,TED
PM-0000354,AP-0000354,SUP-061,2026-04-19,1375.49,PIX
PM-0000355,AP-0000355,SUP-061,2026-05-07,1375.49,PIX
PM-0000356,AP-0000356,SUP-066,2026-05-17,2818.80,Boleto
PM-0000357,AP-0000357,SUP-071,2026-06-18,2887.30,TED
PM-0000358,AP-0000358,SUP-076,2026-07-21,2956.46,PIX
PM-0000359,AP-0000359,SUP-081,2026-08-22,1513.15,Boleto
PM-0000360,AP-0000360,SUP-081,2026-09-09,1513.15,Boleto
PM-0000361,AP-0000361,SUP-001,2024-09-24,2598.00,TED
PM-0000362,AP-0000362,SUP-006,2024-10-22,2661.12,PIX
PM-0000363,AP-0000363,SUP-011,2024-11-23,2724.91,Boleto
PM-0000364,AP-0000364,SUP-016,2024-12-26,1394.69,TED
PM-0000365,AP-0000365,SUP-016,2025-01-13,1394.69,TED
PM-0000366,AP-0000366,SUP-021,2025-01-27,2854.51,PIX
PM-0000367,AP-0000367,SUP-026,2025-03-01,2920.32,Boleto
PM-0000368,AP-0000368,SUP-031,2025-03-29,2986.80,TED
PM-0000369,AP-0000369,SUP-036,2025-04-28,1526.98,PIX
PM-0000370,AP-0000370,SUP-036,2025-05-16,1526.98,PIX
PM-0000371,AP-0000371,SUP-041,2025-05-31,3121.78,Boleto
PM-0000372,AP-0000372,SUP-046,2025-07-02,3190.27,TED
PM-0000373,AP-0000373,SUP-051,2025-08-04,3259.44,PIX
PM-0000374,AP-0000374,SUP-056,2025-08-31,1664.64,Boleto
PM-0000375,AP-0000375,SUP-056,2025-09-18,1664.64,Boleto
PM-0000376,AP-0000376,SUP-061,2025-10-03,3399.79,TED
PM-0000377,AP-0000377,SUP-066,2025-11-05,3470.98,PIX
PM-0000378,AP-0000378,SUP-071,2025-12-07,3542.83,Boleto
PM-0000379,AP-0000379,SUP-076,2026-01-09,1807.68,TED
PM-0000380,AP-0000380,SUP-076,2026-01-27,1807.68,TED
PM-0000381,AP-0000381,SUP-081,2026-02-05,3688.56,PIX
PM-0000382,AP-0000382,SUP-001,2026-03-10,3762.43,Boleto
PM-0000383,AP-0000383,SUP-006,2026-04-12,3836.98,TED
PM-0000384,AP-0000384,SUP-011,2026-04-14,1956.10,PIX
PM-0000385,AP-0000385,SUP-011,2026-05-02,1956.10,PIX
PM-0000386,AP-0000386,SUP-016,2026-05-17,3988.08,Boleto
PM-0000387,AP-0000387,SUP-021,2026-06-13,4064.64,TED
