entry_id,transaction_date,origin,cash_in,cash_out,balance_after,description
CF-0000041,2024-08-24,administrative_expense,0.00,975.00,916694.00,Despesa administrativa recorrente
CF-0000042,2024-08-24,administrative_expense,0.00,1163.00,915531.00,Despesa administrativa recorrente
CF-0000043,2024-08-24,administrative_expense,0.00,886.00,914645.00,Despesa administrativa recorrente
CF-0000044,2024-08-28,administrative_expense,0.00,411.00,914234.00,Despesa administrativa recorrente
CF-0000045,2024-08-28,administrative_expense,0.00,574.00,913660.00,Despesa administrativa recorrente
CF-0000046,2024-08-28,administrative_expense,0.00,762.00,912898.00,Despesa administrativa recorrente
CF-0000047,2024-08-28,administrative_expense,0.00,925.00,911973.00,Despesa administrativa recorrente
CF-0000048,2024-08-28,administrative_expense,0.00,1088.00,910885.00,Despesa administrativa recorrente
CF-0000049,2024-08-28,administrative_expense,0.00,836.00,910049.00,Despesa administrativa recorrente
CF-0000050,2024-08-28,administrative_expense,0.00,999.00,909050.00,Despesa administrativa recorrente
CF-0000051,2024-09-03,administrative_expense,0.00,422.00,908628.00,Despesa administrativa recorrente
CF-0000052,2024-09-03,administrative_expense,0.00,585.00,908043.00,Despesa administrativa recorrente
CF-0000053,2024-09-03,administrative_expense,0.00,773.00,907270.00,Despesa administrativa recorrente
CF-0000054,2024-09-03,administrative_expense,0.00,936.00,906334.00,Despesa administrativa recorrente
CF-0000055,2024-09-03,administrative_expense,0.00,1099.00,905235.00,Despesa administrativa recorrente
CF-0000056,2024-09-03,administrative_expense,0.00,847.00,904388.00,Despesa administrativa recorrente
CF-0000057,2024-09-03,administrative_expense,0.00,1010.00,903378.00,Despesa administrativa recorrente
CF-0000058,2024-09-07,administrative_expense,0.00,372.00,903006.00,Despesa administrativa recorrente
CF-0000059,2024-09-07,administrative_expense,0.00,535.00,902471.00,Despesa administrativa recorrente
CF-0000060,2024-09-07,administrative_expense,0.00,698.00,901773.00,Despesa administrativa recorrente
CF-0000061,2024-09-07,administrative_expense,0.00,886.00,900887.00,Despesa administrativa recorrente
CF-0000062,2024-09-07,administrative_expense,0.00,1049.00,899838.00,Despesa administrativa recorrente
CF-0000063,2024-09-07,administrative_expense,0.00,772.00,899066.00,Despesa administrativa recorrente
CF-0000064,2024-09-07,administrative_expense,0.00,960.00,898106.00,Despesa administrativa recorrente
CF-0000065,2024-09-07,administrative_expense,0.00,1123.00,896983.00,Despesa administrativa recorrente
CF-0000066,2024-09-11,administrative_expense,0.00,460.00,896523.00,Despesa administrativa recorrente
CF-0000067,2024-09-11,administrative_expense,0.00,648.00,895875.00,Despesa administrativa recorrente
CF-0000068,2024-09-11,administrative_expense,0.00,811.00,895064.00,Despesa administrativa recorrente
CF-0000069,2024-09-11,administrative_expense,0.00,999.00,894065.00,Despesa administrativa recorrente
CF-0000070,2024-09-11,administrative_expense,0.00,722.00,893343.00,Despesa administrativa recorrente
CF-0000071,2024-09-11,administrative_expense,0.00,885.00,892458.00,Despesa administrativa recorrente
CF-0000072,2024-09-11,administrative_expense,0.00,1073.00,891385.00,Despesa administrativa recorrente
CF-0000073,2024-09-12,accounts_payable,0.00,4110.00,887275.00,Pagamento titulo AP-0000631
CF-0000074,2024-09-12,accounts_payable,0.00,5370.00,881905.00,Pagamento titulo AP-0001681
CF-0000075,2024-09-12,accounts_payable,0.00,2850.00,879055.00,Pagamento titulo AP-0002731
CF-0000076,2024-09-12,accounts_payable,0.00,4110.00,874945.00,Pagamento titulo AP-0003781
CF-0000077,2024-09-12,accounts_payable,0.00,5370.00,869575.00,Pagamento titulo AP-0004831
CF-0000078,2024-09-12,accounts_payable,0.00,2850.00,866725.00,Pagamento titulo AP-0005881
CF-0000079,2024-09-12,accounts_payable,0.00,4110.00,862615.00,Pagamento titulo AP-0006931
CF-0000080,2024-09-12,accounts_payable,0.00,5370.00,857245.00,Pagamento titulo AP-0007981
CF-0000081,2024-09-12,accounts_payable,0.00,2850.00,854395.00,Pagamento titulo AP-0009031
CF-0000082,2024-09-12,accounts_payable,0.00,4110.00,850285.00,Pagamento titulo AP-0010081
CF-0000083,2024-09-13,accounts_payable,0.00,1842.00,848443.00,Pagamento titulo AP-0000001
CF-0000084,2024-09-13,accounts_payable,0.00,3102.00,845341.00,Pagamento titulo AP-0001051
CF-0000085,2024-09-13,accounts_payable,0.00,4362.00,840979.00,Pagamento titulo AP-0002101
CF-0000086,2024-09-13,accounts_payable,0.00,1842.00,839137.00,Pagamento titulo AP-0003151
CF-0000087,2024-09-13,accounts_payable,0.00,3102.00,836035.00,Pagamento titulo AP-0004201
CF-0000088,2024-09-13,accounts_payable,0.00,4362.00,831673.00,Pagamento titulo AP-0005251
CF-0000089,2024-09-13,accounts_payable,0.00,1842.00,829831.00,Pagamento titulo AP-0006301
CF-0000090,2024-09-13,accounts_payable,0.00,3102.00,826729.00,Pagamento titulo AP-0007351
CF-0000091,2024-09-13,accounts_payable,0.00,4362.00,822367.00,Pagamento titulo AP-0008401
CF-0000092,2024-09-13,accounts_payable,0.00,1842.00,820525.00,Pagamento titulo AP-0009451
CF-0000093,2024-09-13,accounts_payable,0.00,3102.00,817423.00,Pagamento titulo AP-0010501
CF-0000094,2024-09-14,accounts_receivable,846.68,0.00,818269.68,Recebimento titulo AR-0000001
CF-0000095,2024-09-14,accounts_receivable,3204.08,0.00,821473.76,Recebimento titulo AR-0000565
CF-0000096,2024-09-14,accounts_receivable,2078.47,0.00,823552.23,Recebimento titulo AR-0000798
CF-0000097,2024-09-14,accounts_receivable,1693.37,0.00,825245.60,Recebimento titulo AR-0001263
CF-0000098,2024-09-14,accounts_receivable,2433.88,0.00,827679.48,Recebimento titulo AR-0001495
CF-0000099,2024-09-14,accounts_receivable,2818.00,0.00,830497.48,Recebimento titulo AR-0002192
CF-0000100,2024-09-14,accounts_receivable,2433.88,0.00,832931.36,Recebimento titulo AR-0002657
CF-0000101,2024-09-14,accounts_receivable,3204.08,0.00,836135.44,Recebimento titulo AR-0002889
CF-0000102,2024-09-14,accounts_receivable,2818.00,0.00,838953.44,Recebimento titulo AR-0003354
CF-0000103,2024-09-14,accounts_receivable,1693.37,0.00,840646.81,Recebimento titulo AR-0003587
CF-0000104,2024-09-14,accounts_receivable,3204.08,0.00,843850.89,Recebimento titulo AR-0004051
CF-0000105,2024-09-14,accounts_receivable,2078.47,0.00,845929.36,Recebimento titulo AR-0004284
CF-0000106,2024-09-14,accounts_receivable,1693.37,0.00,847622.73,Recebimento titulo AR-0004749
CF-0000107,2024-09-14,accounts_receivable,2433.88,0.00,850056.61,Recebimento titulo AR-0004981
CF-0000108,2024-09-14,accounts_receivable,2078.47,0.00,852135.08,Recebimento titulo AR-0005446
CF-0000109,2024-09-14,accounts_receivable,2818.00,0.00,854953.08,Recebimento titulo AR-0005678
CF-0000110,2024-09-14,accounts_receivable,3204.08,0.00,858157.16,Recebimento titulo AR-0006375
CF-0000111,2024-09-14,accounts_receivable,2818.00,0.00,860975.16,Recebimento titulo AR-0006840
CF-0000112,2024-09-14,accounts_receivable,1693.37,0.00,862668.53,Recebimento titulo AR-0007073
CF-0000113,2024-09-14,accounts_receivable,3204.08,0.00,865872.61,Recebimento titulo AR-0007537
CF-0000114,2024-09-14,accounts_receivable,1693.37,0.00,867565.98,Recebimento titulo AR-0008235
CF-0000115,2024-09-14,accounts_receivable,2433.88,0.00,869999.86,Recebimento titulo AR-0008467
CF-0000116,2024-09-14,accounts_receivable,2078.47,0.00,872078.33,Recebimento titulo AR-0008932
CF-0000117,2024-09-14,accounts_receivable,2818.00,0.00,874896.33,Recebimento titulo AR-0009164
CF-0000118,2024-09-14,accounts_receivable,2433.88,0.00,877330.21,Recebimento titulo AR-0009629
CF-0000119,2024-09-14,accounts_receivable,3204.08,0.00,880534.29,Recebimento titulo AR-0009861
CF-0000120,2024-09-14,accounts_receivable,1693.37,0.00,882227.66,Recebimento titulo AR-0010559
CF-0000121,2024-09-14,accounts_receivable,3204.08,0.00,885431.74,Recebimento titulo AR-0011023
CF-0000122,2024-09-14,accounts_receivable,2078.47,0.00,887510.21,Recebimento titulo AR-0011256
CF-0000123,2024-09-14,accounts_receivable,1693.37,0.00,889203.58,Recebimento titulo AR-0011721
CF-0000124,2024-09-14,accounts_receivable,2433.88,0.00,891637.46,Recebimento titulo AR-0011953
CF-0000125,2024-09-14,accounts_receivable,2078.47,0.00,893715.93,Recebimento titulo AR-0012418
CF-0000126,2024-09-14,accounts_receivable,2818.00,0.00,896533.93,Recebimento titulo AR-0012650
CF-0000127,2024-09-14,accounts_receivable,2433.88,0.00,898967.81,Recebimento titulo AR-0013115
CF-0000128,2024-09-14,accounts_receivable,3204.08,0.00,902171.89,Recebimento titulo AR-0013347
CF-0000129,2024-09-14,accounts_receivable,2818.00,0.00,904989.89,Recebimento titulo AR-0013812
CF-0000130,2024-09-14,accounts_receivable,1693.37,0.00,906683.26,Recebimento titulo AR-0014045
CF-0000131,2024-09-14,accounts_receivable,3204.08,0.00,909887.34,Recebimento titulo AR-0014509
CF-0000132,2024-09-14,accounts_payable,0.00,4614.00,905273.34,Pagamento titulo AP-0000421
CF-0000133,2024-09-14,accounts_payable,0.00,2094.00,903179.34,Pagamento titulo AP-0001471
CF-0000134,2024-09-14,accounts_payable,0.00,3354.00,899825.34,Pagamento titulo AP-0002521
CF-0000135,2024-09-14,accounts_payable,0.00,4614.00,895211.34,Pagamento titulo AP-0003571
CF-0000136,2024-09-14,accounts_payable,0.00,2094.00,893117.34,Pagamento titulo AP-0004621
CF-0000137,2024-09-14,accounts_payable,0.00,3354.00,889763.34,Pagamento titulo AP-0005671
CF-0000138,2024-09-14,accounts_payable,0.00,4614.00,885149.34,Pagamento titulo AP-0006721
CF-0000139,2024-09-14,accounts_payable,0.00,2094.00,883055.34,Pagamento titulo AP-0007771
CF-0000140,2024-09-14,accounts_payable,0.00,3354.00,879701.34,Pagamento titulo AP-0008821
CF-0000141,2024-09-14,accounts_payable,0.00,4614.00,875087.34,Pagamento titulo AP-0009871
CF-0000142,2024-09-14,accounts_payable,0.00,2094.00,872993.34,Pagamento titulo AP-0010921
CF-0000143,2024-09-15,accounts_receivable,2433.88,0.00,875427.22,Recebimento titulo AR-0000333
CF-0000144,2024-09-15,accounts_receivable,2818.00,0.00,878245.22,Recebimento titulo AR-0001030
CF-0000145,2024-09-15,accounts_receivable,3204.08,0.00,881449.30,Recebimento titulo AR-0001727
CF-0000146,2024-09-15,accounts_receivable,1693.37,0.00,883142.67,Recebimento titulo AR-0002425
CF-0000147,2024-09-15,accounts_receivable,2078.47,0.00,885221.14,Recebimento titulo AR-0003122
CF-0000148,2024-09-15,accounts_receivable,2433.88,0.00,887655.02,Recebimento titulo AR-0003819
CF-0000149,2024-09-15,accounts_receivable,2818.00,0.00,890473.02,Recebimento titulo AR-0004516
CF-0000150,2024-09-15,accounts_receivable,3204.08,0.00,893677.10,Recebimento titulo AR-0005213
CF-0000151,2024-09-15,accounts_receivable,1693.37,0.00,895370.47,Recebimento titulo AR-0005911
CF-0000152,2024-09-15,accounts_receivable,2078.47,0.00,897448.94,Recebimento titulo AR-0006608
CF-0000153,2024-09-15,accounts_receivable,2433.88,0.00,899882.82,Recebimento titulo AR-0007305
CF-0000154,2024-09-15,accounts_receivable,2818.00,0.00,902700.82,Recebimento titulo AR-0008002
CF-0000155,2024-09-15,accounts_receivable,3204.08,0.00,905904.90,Recebimento titulo AR-0008699
CF-0000156,2024-09-15,accounts_receivable,1693.37,0.00,907598.27,Recebimento titulo AR-0009397
CF-0000157,2024-09-15,accounts_receivable,2078.47,0.00,909676.74,Recebimento titulo AR-0010094
CF-0000158,2024-09-15,accounts_receivable,2433.88,0.00,912110.62,Recebimento titulo AR-0010791
CF-0000159,2024-09-15,accounts_receivable,2818.00,0.00,914928.62,Recebimento titulo AR-0011488
CF-0000160,2024-09-15,accounts_receivable,3204.08,0.00,918132.70,Recebimento titulo AR-0012185
CF-0000161,2024-09-15,accounts_receivable,1693.37,0.00,919826.07,Recebimento titulo AR-0012883
CF-0000162,2024-09-15,accounts_receivable,2078.47,0.00,921904.54,Recebimento titulo AR-0013580
CF-0000163,2024-09-15,accounts_receivable,2433.88,0.00,924338.42,Recebimento titulo AR-0014277
CF-0000164,2024-09-15,accounts_payable,0.00,3606.00,920732.42,Pagamento titulo AP-0000841
CF-0000165,2024-09-15,accounts_payable,0.00,4866.00,915866.42,Pagamento titulo AP-0001891
CF-0000166,2024-09-15,accounts_payable,0.00,2346.00,913520.42,Pagamento titulo AP-0002941
CF-0000167,2024-09-15,accounts_payable,0.00,3606.00,909914.42,Pagamento titulo AP-0003991
CF-0000168,2024-09-15,accounts_payable,0.00,4866.00,905048.42,Pagamento titulo AP-0005041
CF-0000169,2024-09-15,accounts_payable,0.00,2346.00,902702.42,Pagamento titulo AP-0006091
CF-0000170,2024-09-15,accounts_payable,0.00,3606.00,899096.42,Pagamento titulo AP-0007141
CF-0000171,2024-09-15,accounts_payable,0.00,4866.00,894230.42,Pagamento titulo AP-0008191
CF-0000172,2024-09-15,accounts_payable,0.00,2346.00,891884.42,Pagamento titulo AP-0009241
CF-0000173,2024-09-15,accounts_payable,0.00,3606.00,888278.42,Pagamento titulo AP-0010291
CF-0000174,2024-09-15,administrative_expense,0.00,573.00,887705.42,Despesa administrativa recorrente
CF-0000175,2024-09-15,administrative_expense,0.00,761.00,886944.42,Despesa administrativa recorrente
CF-0000176,2024-09-15,administrative_expense,0.00,924.00,886020.42,Despesa administrativa recorrente
CF-0000177,2024-09-15,administrative_expense,0.00,672.00,885348.42,Despesa administrativa recorrente
CF-0000178,2024-09-15,administrative_expense,0.00,835.00,884513.42,Despesa administrativa recorrente
CF-0000179,2024-09-15,administrative_expense,0.00,998.00,883515.42,Despesa administrativa recorrente
CF-0000180,2024-09-15,administrative_expense,0.00,1186.00,882329.42,Despesa administrativa recorrente
CF-0000181,2024-09-16,accounts_payable,0.00,4110.00,878219.42,Pagamento titulo AP-0000181
CF-0000182,2024-09-16,accounts_payable,0.00,5118.00,873101.42,Pagamento titulo AP-0000211
CF-0000183,2024-09-16,accounts_payable,0.00,5370.00,867731.42,Pagamento titulo AP-0001231
CF-0000184,2024-09-16,accounts_payable,0.00,2598.00,865133.42,Pagamento titulo AP-0001261
CF-0000185,2024-09-16,accounts_payable,0.00,2850.00,862283.42,Pagamento titulo AP-0002281
CF-0000186,2024-09-16,accounts_payable,0.00,3858.00,858425.42,Pagamento titulo AP-0002311
CF-0000187,2024-09-16,accounts_payable,0.00,4110.00,854315.42,Pagamento titulo AP-0003331
CF-0000188,2024-09-16,accounts_payable,0.00,5118.00,849197.42,Pagamento titulo AP-0003361
CF-0000189,2024-09-16,accounts_payable,0.00,5370.00,843827.42,Pagamento titulo AP-0004381
CF-0000190,2024-09-16,accounts_payable,0.00,2598.00,841229.42,Pagamento titulo AP-0004411
CF-0000191,2024-09-16,accounts_payable,0.00,2850.00,838379.42,Pagamento titulo AP-0005431
CF-0000192,2024-09-16,accounts_payable,0.00,3858.00,834521.42,Pagamento titulo AP-0005461
CF-0000193,2024-09-16,accounts_payable,0.00,4110.00,830411.42,Pagamento titulo AP-0006481
CF-0000194,2024-09-16,accounts_payable,0.00,5118.00,825293.42,Pagamento titulo AP-0006511
CF-0000195,2024-09-16,accounts_payable,0.00,5370.00,819923.42,Pagamento titulo AP-0007531
CF-0000196,2024-09-16,accounts_payable,0.00,2598.00,817325.42,Pagamento titulo AP-0007561
CF-0000197,2024-09-16,accounts_payable,0.00,2850.00,814475.42,Pagamento titulo AP-0008581
CF-0000198,2024-09-16,accounts_payable,0.00,3858.00,810617.42,Pagamento titulo AP-0008611
CF-0000199,2024-09-16,accounts_payable,0.00,4110.00,806507.42,Pagamento titulo AP-0009631
CF-0000200,2024-09-16,accounts_payable,0.00,5118.00,801389.42,Pagamento titulo AP-0009661
CF-0000201,2024-09-16,accounts_payable,0.00,5370.00,796019.42,Pagamento titulo AP-0010681
CF-0000202,2024-09-16,accounts_payable,0.00,2598.00,793421.42,Pagamento titulo AP-0010711
CF-0000203,2024-09-17,accounts_payable,0.00,3102.00,790319.42,Pagamento titulo AP-0000601
CF-0000204,2024-09-17,accounts_payable,0.00,4362.00,785957.42,Pagamento titulo AP-0001651
CF-0000205,2024-09-17,accounts_payable,0.00,1842.00,784115.42,Pagamento titulo AP-0002701
CF-0000206,2024-09-17,accounts_payable,0.00,3102.00,781013.42,Pagamento titulo AP-0003751
CF-0000207,2024-09-17,accounts_payable,0.00,4362.00,776651.42,Pagamento titulo AP-0004801
CF-0000208,2024-09-17,accounts_payable,0.00,1842.00,774809.42,Pagamento titulo AP-0005851
CF-0000209,2024-09-17,accounts_payable,0.00,3102.00,771707.42,Pagamento titulo AP-0006901
CF-0000210,2024-09-17,accounts_payable,0.00,4362.00,767345.42,Pagamento titulo AP-0007951
CF-0000211,2024-09-17,accounts_payable,0.00,1842.00,765503.42,Pagamento titulo AP-0009001
CF-0000212,2024-09-17,accounts_payable,0.00,3102.00,762401.42,Pagamento titulo AP-0010051
CF-0000213,2024-09-18,accounts_receivable,1806.52,0.00,764207.94,Recebimento titulo AR-0000300
CF-0000214,2024-09-18,accounts_receivable,3320.87,0.00,767528.81,Recebimento titulo AR-0000765
CF-0000215,2024-09-18,accounts_receivable,1806.52,0.00,769335.33,Recebimento titulo AR-0001462
CF-0000216,2024-09-18,accounts_receivable,2548.15,0.00,771883.48,Recebimento titulo AR-0001694
CF-0000217,2024-09-18,accounts_receivable,2164.73,0.00,774048.21,Recebimento titulo AR-0002159
CF-0000218,2024-09-18,accounts_receivable,2933.53,0.00,776981.74,Recebimento titulo AR-0002391
CF-0000219,2024-09-18,accounts_receivable,2548.15,0.00,779529.89,Recebimento titulo AR-0002856
CF-0000220,2024-09-18,accounts_receivable,3320.87,0.00,782850.76,Recebimento titulo AR-0003089
CF-0000221,2024-09-18,accounts_receivable,2933.53,0.00,785784.29,Recebimento titulo AR-0003553
CF-0000222,2024-09-18,accounts_receivable,1806.52,0.00,787590.81,Recebimento titulo AR-0003786
CF-0000223,2024-09-18,accounts_receivable,3320.87,0.00,790911.68,Recebimento titulo AR-0004251
CF-0000224,2024-09-18,accounts_receivable,2164.73,0.00,793076.41,Recebimento titulo AR-0004483
CF-0000225,2024-09-18,accounts_receivable,1806.52,0.00,794882.93,Recebimento titulo AR-0004948
CF-0000226,2024-09-18,accounts_receivable,2164.73,0.00,797047.66,Recebimento titulo AR-0005645
CF-0000227,2024-09-18,accounts_receivable,2933.53,0.00,799981.19,Recebimento titulo AR-0005877
CF-0000228,2024-09-18,accounts_receivable,2548.15,0.00,802529.34,Recebimento titulo AR-0006342
CF-0000229,2024-09-18,accounts_receivable,3320.87,0.00,805850.21,Recebimento titulo AR-0006575
CF-0000230,2024-09-18,accounts_receivable,2933.53,0.00,808783.74,Recebimento titulo AR-0007039
CF-0000231,2024-09-18,accounts_receivable,1806.52,0.00,810590.26,Recebimento titulo AR-0007272
CF-0000232,2024-09-18,accounts_receivable,3320.87,0.00,813911.13,Recebimento titulo AR-0007737
CF-0000233,2024-09-18,accounts_receivable,2164.73,0.00,816075.86,Recebimento titulo AR-0007969
CF-0000234,2024-09-18,accounts_receivable,1806.52,0.00,817882.38,Recebimento titulo AR-0008434
CF-0000235,2024-09-18,accounts_receivable,2548.15,0.00,820430.53,Recebimento titulo AR-0008666
CF-0000236,2024-09-18,accounts_receivable,2164.73,0.00,822595.26,Recebimento titulo AR-0009131
CF-0000237,2024-09-18,accounts_receivable,2548.15,0.00,825143.41,Recebimento titulo AR-0009828
CF-0000238,2024-09-18,accounts_receivable,3320.87,0.00,828464.28,Recebimento titulo AR-0010061
CF-0000239,2024-09-18,accounts_receivable,2933.53,0.00,831397.81,Recebimento titulo AR-0010525
CF-0000240,2024-09-18,accounts_receivable,1806.52,0.00,833204.33,Recebimento titulo AR-0010758
CF-0000241,2024-09-18,accounts_receivable,3320.87,0.00,836525.20,Recebimento titulo AR-0011223
CF-0000242,2024-09-18,accounts_receivable,2164.73,0.00,838689.93,Recebimento titulo AR-0011455
CF-0000243,2024-09-18,accounts_receivable,1806.52,0.00,840496.45,Recebimento titulo AR-0011920
CF-0000244,2024-09-18,accounts_receivable,2548.15,0.00,843044.60,Recebimento titulo AR-0012152
CF-0000245,2024-09-18,accounts_receivable,2164.73,0.00,845209.33,Recebimento titulo AR-0012617
CF-0000246,2024-09-18,accounts_receivable,2933.53,0.00,848142.86,Recebimento titulo AR-0012849
CF-0000247,2024-09-18,accounts_receivable,2548.15,0.00,850691.01,Recebimento titulo AR-0013314
CF-0000248,2024-09-18,accounts_receivable,3320.87,0.00,854011.88,Recebimento titulo AR-0013547
CF-0000249,2024-09-18,accounts_receivable,2933.53,0.00,856945.41,Recebimento titulo AR-0014011
CF-0000250,2024-09-18,accounts_receivable,1806.52,0.00,858751.93,Recebimento titulo AR-0014244
CF-0000251,2024-09-18,accounts_payable,0.00,2094.00,856657.93,Pagamento titulo AP-0001021
CF-0000252,2024-09-18,accounts_payable,0.00,3354.00,853303.93,Pagamento titulo AP-0002071
CF-0000253,2024-09-18,accounts_payable,0.00,4614.00,848689.93,Pagamento titulo AP-0003121
CF-0000254,2024-09-18,accounts_payable,0.00,2094.00,846595.93,Pagamento titulo AP-0004171
CF-0000255,2024-09-18,accounts_payable,0.00,3354.00,843241.93,Pagamento titulo AP-0005221
CF-0000256,2024-09-18,accounts_payable,0.00,4614.00,838627.93,Pagamento titulo AP-0006271
CF-0000257,2024-09-18,accounts_payable,0.00,2094.00,836533.93,Pagamento titulo AP-0007321
CF-0000258,2024-09-18,accounts_payable,0.00,3354.00,833179.93,Pagamento titulo AP-0008371
CF-0000259,2024-09-18,accounts_payable,0.00,4614.00,828565.93,Pagamento titulo AP-0009421
CF-0000260,2024-09-18,accounts_payable,0.00,2094.00,826471.93,Pagamento titulo AP-0010471
CF-0000261,2024-09-19,accounts_receivable,2548.15,0.00,829020.08,Recebimento titulo AR-0000532
CF-0000262,2024-09-19,accounts_receivable,2933.53,0.00,831953.61,Recebimento titulo AR-0001229
CF-0000263,2024-09-19,accounts_receivable,3320.87,0.00,835274.48,Recebimento titulo AR-0001927
CF-0000264,2024-09-19,accounts_receivable,1806.52,0.00,837081.00,Recebimento titulo AR-0002624
CF-0000265,2024-09-19,accounts_receivable,2164.73,0.00,839245.73,Recebimento titulo AR-0003321
CF-0000266,2024-09-19,accounts_receivable,2548.15,0.00,841793.88,Recebimento titulo AR-0004018
CF-0000267,2024-09-19,accounts_receivable,2933.53,0.00,844727.41,Recebimento titulo AR-0004715
CF-0000268,2024-09-19,accounts_receivable,3320.87,0.00,848048.28,Recebimento titulo AR-0005413
CF-0000269,2024-09-19,accounts_receivable,1806.52,0.00,849854.80,Recebimento titulo AR-0006110
CF-0000270,2024-09-19,accounts_receivable,2164.73,0.00,852019.53,Recebimento titulo AR-0006807
CF-0000271,2024-09-19,accounts_receivable,2548.15,0.00,854567.68,Recebimento titulo AR-0007504
CF-0000272,2024-09-19,accounts_receivable,2933.53,0.00,857501.21,Recebimento titulo AR-0008201
CF-0000273,2024-09-19,accounts_receivable,3320.87,0.00,860822.08,Recebimento titulo AR-0008899
CF-0000274,2024-09-19,accounts_receivable,1806.52,0.00,862628.60,Recebimento titulo AR-0009596
CF-0000275,2024-09-19,accounts_receivable,2164.73,0.00,864793.33,Recebimento titulo AR-0010293
CF-0000276,2024-09-19,accounts_receivable,2548.15,0.00,867341.48,Recebimento titulo AR-0010990
CF-0000277,2024-09-19,accounts_receivable,2933.53,0.00,870275.01,Recebimento titulo AR-0011687
CF-0000278,2024-09-19,accounts_receivable,3320.87,0.00,873595.88,Recebimento titulo AR-0012385
CF-0000279,2024-09-19,accounts_receivable,1806.52,0.00,875402.40,Recebimento titulo AR-0013082
CF-0000280,2024-09-19,accounts_receivable,2164.73,0.00,877567.13,Recebimento titulo AR-0013779
