receivable_id,sale_id,customer_external_id,issue_date,due_date,amount,status,days_overdue
AR-0000051,S-000022,CLI-0008,2026-05-23,2026-07-20,1053.96,recebido,0
AR-0000052,S-000023,CLI-0009,2026-06-24,2026-08-06,1055.52,recebido,0
AR-0000053,S-000023,CLI-0009,2026-06-24,2026-08-21,1055.52,recebido,0
AR-0000054,S-000024,CLI-0010,2026-07-25,2026-09-06,486.16,recebido,0
AR-0000055,S-000024,CLI-0010,2026-07-25,2026-09-21,486.16,recebido,0
AR-0000056,S-000024,CLI-0010,2026-07-25,2026-10-06,486.16,recebido,0
AR-0000057,S-000024,CLI-0010,2026-07-25,2026-10-21,486.16,recebido,0
AR-0000058,S-000025,CLI-0011,2024-08-26,2024-10-08,1175.21,recebido,0
AR-0000059,S-000025,CLI-0011,2024-08-26,2024-10-23,1175.21,recebido,0
AR-0000060,S-000026,CLI-0012,2024-09-27,2024-11-09,1185.75,recebido,0
AR-0000061,S-000026,CLI-0012,2024-09-27,2024-11-24,1185.75,recebido,0
AR-0000062,S-000027,CLI-0013,2024-10-28,2024-12-10,1196.22,recebido,0
AR-0000063,S-000027,CLI-0013,2024-10-28,2024-12-25,1196.22,recebido,0
AR-0000064,S-000028,CLI-0014,2024-11-01,2024-12-14,949.20,recebido,0
AR-0000065,S-000028,CLI-0014,2024-11-01,2024-12-29,949.20,recebido,0
AR-0000066,S-000028,CLI-0014,2024-11-01,2025-01-13,949.20,recebido,0
AR-0000067,S-000029,CLI-0015,2024-12-02,2025-01-14,1435.99,recebido,0
AR-0000068,S-000029,CLI-0015,2024-12-02,2025-01-29,1435.99,recebido,0
AR-0000069,S-000030,CLI-0001,2025-01-03,2025-02-15,1143.74,recebido,0
AR-0000070,S-000030,CLI-0001,2025-01-03,2025-03-02,1143.74,recebido,0
AR-0000071,S-000031,CLI-0002,2025-02-04,2025-03-19,1153.28,recebido,0
AR-0000072,S-000031,CLI-0002,2025-02-04,2025-04-03,1153.28,recebido,0
AR-0000073,S-000032,CLI-0003,2025-03-05,2025-04-17,909.98,recebido,0
AR-0000074,S-000032,CLI-0003,2025-03-05,2025-05-02,909.98,recebido,0
AR-0000075,S-000032,CLI-0003,2025-03-05,2025-05-17,909.98,recebido,0
AR-0000076,S-000033,CLI-0004,2025-04-06,2025-05-19,1376.00,recebido,0
AR-0000077,S-000033,CLI-0004,2025-04-06,2025-06-03,1376.00,recebido,0
AR-0000078,S-000034,CLI-0005,2025-05-07,2025-06-19,1284.23,recebido,0
AR-0000079,S-000034,CLI-0005,2025-05-07,2025-07-04,1284.23,recebido,0
AR-0000080,S-000035,CLI-0596,2025-06-08,2025-07-21,1311.18,recebido,0
AR-0000081,S-000035,CLI-0596,2025-06-08,2025-08-05,1311.18,recebido,0
AR-0000082,S-000036,CLI-0613,2025-07-09,2025-08-21,607.83,recebido,0
AR-0000083,S-000036,CLI-0613,2025-07-09,2025-09-05,607.83,recebido,0
AR-0000084,S-000036,CLI-0613,2025-07-09,2025-09-20,607.83,recebido,0
AR-0000085,S-000036,CLI-0613,2025-07-09,2025-10-05,607.83,recebido,0
AR-0000086,S-000037,CLI-0010,2025-08-10,2025-09-22,1331.49,recebido,0
AR-0000087,S-000037,CLI-0010,2025-08-10,2025-10-07,1331.49,recebido,0
AR-0000088,S-000038,CLI-0027,2025-09-11,2025-10-24,1331.59,recebido,0
AR-0000089,S-000038,CLI-0027,2025-09-11,2025-11-08,1331.59,recebido,0
AR-0000090,S-000039,CLI-0044,2025-10-12,2025-11-24,1331.48,recebido,0
AR-0000091,S-000039,CLI-0044,2025-10-12,2025-12-09,1331.48,recebido,0
AR-0000092,S-000040,CLI-0061,2025-11-13,2025-12-26,795.67,recebido,0
AR-0000093,S-000040,CLI-0061,2025-11-13,2026-01-10,795.67,recebido,0
AR-0000094,S-000040,CLI-0061,2025-11-13,2026-01-25,795.67,recebido,0
AR-0000095,S-000040,CLI-0061,2025-11-13,2026-02-09,795.67,recebido,0
AR-0000096,S-000041,CLI-0078,2025-12-14,2026-01-26,1590.82,vencido,35
AR-0000097,S-000041,CLI-0078,2025-12-14,2026-02-10,1590.82,vencido,35
AR-0000098,S-000042,CLI-0095,2026-01-15,2026-02-27,1239.70,recebido,0
AR-0000099,S-000042,CLI-0095,2026-01-15,2026-03-14,1239.70,recebido,0
AR-0000100,S-000043,CLI-0112,2026-02-16,2026-03-31,1238.92,recebido,0
AR-0000101,S-000043,CLI-0112,2026-02-16,2026-04-15,1238.92,recebido,0
AR-0000102,S-000044,CLI-0129,2026-03-17,2026-04-29,968.83,recebido,0
AR-0000103,S-000044,CLI-0129,2026-03-17,2026-05-14,968.83,recebido,0
AR-0000104,S-000044,CLI-0129,2026-03-17,2026-05-29,968.83,recebido,0
AR-0000105,S-000045,CLI-0146,2026-04-18,2026-05-31,1471.06,recebido,0
AR-0000106,S-000045,CLI-0146,2026-04-18,2026-06-15,1471.06,recebido,0
AR-0000107,S-000046,CLI-0163,2026-05-19,2026-07-01,1360.72,recebido,0
AR-0000108,S-000046,CLI-0163,2026-05-19,2026-07-16,1360.72,recebido,0
AR-0000109,S-000047,CLI-0180,2026-06-20,2026-08-02,1359.14,recebido,0
AR-0000110,S-000047,CLI-0180,2026-06-20,2026-08-17,1359.14,recebido,0
AR-0000111,S-000048,CLI-0197,2026-07-21,2026-09-02,624.39,recebido,0
AR-0000112,S-000048,CLI-0197,2026-07-21,2026-09-17,624.39,recebido,0
AR-0000113,S-000048,CLI-0197,2026-07-21,2026-10-02,624.39,recebido,0
AR-0000114,S-000048,CLI-0197,2026-07-21,2026-10-17,624.39,recebido,0
AR-0000115,S-000049,CLI-0214,2024-08-22,2024-10-04,1486.09,recebido,0
AR-0000116,S-000049,CLI-0214,2024-08-22,2024-10-19,1486.09,recebido,0
AR-0000117,S-000050,CLI-0231,2024-09-23,2024-11-05,1515.15,recebido,0
AR-0000118,S-000050,CLI-0231,2024-09-23,2024-11-20,1515.15,recebido,0
AR-0000119,S-000051,CLI-0248,2024-10-24,2024-12-06,1524.81,recebido,0
AR-0000120,S-000051,CLI-0248,2024-10-24,2024-12-21,1524.81,recebido,0
AR-0000121,S-000052,CLI-0265,2024-11-25,2025-01-07,1207.06,recebido,0
AR-0000122,S-000052,CLI-0265,2024-11-25,2025-01-22,1207.06,recebido,0
AR-0000123,S-000052,CLI-0265,2024-11-25,2025-02-06,1207.06,recebido,0
AR-0000124,S-000053,CLI-0282,2024-12-26,2025-02-07,1821.84,recebido,0
AR-0000125,S-000053,CLI-0282,2024-12-26,2025-02-22,1821.84,recebido,0
AR-0000126,S-000054,CLI-0299,2025-01-27,2025-03-11,1429.12,recebido,0
AR-0000127,S-000054,CLI-0299,2025-01-27,2025-03-26,1429.12,recebido,0
AR-0000128,S-000055,CLI-0316,2025-02-28,2025-04-12,1456.48,recebido,0
AR-0000129,S-000055,CLI-0316,2025-02-28,2025-04-27,1456.48,recebido,0
AR-0000130,S-000056,CLI-0333,2025-03-01,2025-04-13,1146.69,recebido,0
AR-0000131,S-000056,CLI-0333,2025-03-01,2025-04-28,1146.69,recebido,0
AR-0000132,S-000056,CLI-0333,2025-03-01,2025-05-13,1146.69,recebido,0
AR-0000133,S-000057,CLI-0350,2025-04-02,2025-05-15,1730.20,recebido,0
AR-0000134,S-000057,CLI-0350,2025-04-02,2025-05-30,1730.20,recebido,0
AR-0000135,S-000058,CLI-0367,2025-05-03,2025-06-15,1611.39,recebido,0
AR-0000136,S-000058,CLI-0367,2025-05-03,2025-06-30,1611.39,recebido,0
AR-0000137,S-000059,CLI-0384,2025-06-04,2025-07-17,1620.66,recebido,0
AR-0000138,S-000059,CLI-0384,2025-06-04,2025-08-01,1620.66,recebido,0
AR-0000139,S-000060,CLI-0401,2025-07-05,2025-08-17,607.61,recebido,0
AR-0000140,S-000060,CLI-0401,2025-07-05,2025-09-01,607.61,recebido,0
AR-0000141,S-000060,CLI-0401,2025-07-05,2025-09-16,607.61,recebido,0
AR-0000142,S-000060,CLI-0401,2025-07-05,2025-10-01,607.61,recebido,0
AR-0000143,S-000060,CLI-0401,2025-07-05,2025-10-16,607.61,recebido,0
AR-0000144,S-000061,CLI-0418,2025-08-06,2025-09-18,1660.44,recebido,0
AR-0000145,S-000061,CLI-0418,2025-08-06,2025-10-03,1660.44,recebido,0
AR-0000146,S-000062,CLI-0435,2025-09-07,2025-10-20,1657.30,recebido,0
AR-0000147,S-000062,CLI-0435,2025-09-07,2025-11-04,1657.30,recebido,0
AR-0000148,S-000063,CLI-0452,2025-10-08,2025-11-20,1653.98,recebido,0
AR-0000149,S-000063,CLI-0452,2025-10-08,2025-12-05,1653.98,recebido,0
AR-0000150,S-000064,CLI-0469,2025-11-09,2025-12-22,1298.36,recebido,0
AR-0000151,S-000064,CLI-0469,2025-11-09,2026-01-06,1298.36,recebido,0
AR-0000152,S-000064,CLI-0469,2025-11-09,2026-01-21,1298.36,recebido,0
AR-0000153,S-000065,CLI-0486,2025-12-10,2026-01-22,1968.66,recebido,0
AR-0000154,S-000065,CLI-0486,2025-12-10,2026-02-06,1968.66,recebido,0
AR-0000155,S-000066,CLI-0503,2026-01-11,2026-02-23,1531.34,recebido,0
AR-0000156,S-000066,CLI-0503,2026-01-11,2026-03-10,1531.34,recebido,0
AR-0000157,S-000067,CLI-0520,2026-02-12,2026-03-27,1527.64,vencido,34
AR-0000158,S-000067,CLI-0520,2026-02-12,2026-04-11,1527.64,vencido,34
AR-0000159,S-000068,CLI-0537,2026-03-13,2026-04-25,1192.51,recebido,0
AR-0000160,S-000068,CLI-0537,2026-03-13,2026-05-10,1192.51,recebido,0
AR-0000161,S-000068,CLI-0537,2026-03-13,2026-05-25,1192.51,recebido,0
AR-0000162,S-000069,CLI-0554,2026-04-14,2026-05-27,1784.02,recebido,0
AR-0000163,S-000069,CLI-0554,2026-04-14,2026-06-11,1784.02,recebido,0
AR-0000164,S-000070,CLI-0571,2026-05-15,2026-06-27,780.10,recebido,0
AR-0000165,S-000070,CLI-0571,2026-05-15,2026-07-12,780.10,recebido,0
AR-0000166,S-000071,CLI-0588,2026-06-16,2026-07-29,784.60,recebido,0
AR-0000167,S-000071,CLI-0588,2026-06-16,2026-08-13,784.60,recebido,0
AR-0000168,S-000072,CLI-0605,2026-07-17,2026-08-29,362.87,recebido,0
AR-0000169,S-000072,CLI-0605,2026-07-17,2026-09-13,362.87,recebido,0
AR-0000170,S-000072,CLI-0605,2026-07-17,2026-09-28,362.87,recebido,0
AR-0000171,S-000072,CLI-0605,2026-07-17,2026-10-13,362.87,recebido,0
AR-0000172,S-000073,CLI-0002,2024-08-18,2024-09-30,869.30,recebido,0
AR-0000173,S-000073,CLI-0002,2024-08-18,2024-10-15,869.30,recebido,0
AR-0000174,S-000074,CLI-0019,2024-09-19,2024-11-01,880.50,recebido,0
AR-0000175,S-000074,CLI-0019,2024-09-19,2024-11-16,880.50,recebido,0
AR-0000176,S-000075,CLI-0036,2024-10-20,2024-12-02,903.26,recebido,0
AR-0000177,S-000075,CLI-0036,2024-10-20,2024-12-17,903.26,recebido,0
AR-0000178,S-000076,CLI-0053,2024-11-21,2025-01-03,719.41,recebido,0
AR-0000179,S-000076,CLI-0053,2024-11-21,2025-01-18,719.41,recebido,0
AR-0000180,S-000076,CLI-0053,2024-11-21,2025-02-02,719.41,recebido,0
AR-0000181,S-000077,CLI-0070,2024-12-22,2025-02-03,1092.28,recebido,0
AR-0000182,S-000077,CLI-0070,2024-12-22,2025-02-18,1092.28,recebido,0
AR-0000183,S-000078,CLI-0087,2025-01-23,2025-03-07,861.82,recebido,0
AR-0000184,S-000078,CLI-0087,2025-01-23,2025-03-22,861.82,recebido,0
AR-0000185,S-000079,CLI-0104,2025-02-24,2025-04-08,871.97,vencido,25
AR-0000186,S-000079,CLI-0104,2025-02-24,2025-04-23,871.97,vencido,25
AR-0000187,S-000080,CLI-0121,2025-03-25,2025-05-07,524.48,recebido,0
AR-0000188,S-000080,CLI-0121,2025-03-25,2025-05-22,524.48,recebido,0
AR-0000189,S-000080,CLI-0121,2025-03-25,2025-06-06,524.48,recebido,0
AR-0000190,S-000080,CLI-0121,2025-03-25,2025-06-21,524.48,recebido,0
AR-0000191,S-000081,CLI-0138,2025-04-26,2025-06-08,1060.90,recebido,0
AR-0000192,S-000081,CLI-0138,2025-04-26,2025-06-23,1060.90,recebido,0
AR-0000193,S-000082,CLI-0155,2025-05-27,2025-07-09,993.30,recebido,0
AR-0000194,S-000082,CLI-0155,2025-05-27,2025-07-24,993.30,recebido,0
AR-0000195,S-000083,CLI-0172,2025-06-28,2025-08-10,1004.22,recebido,0
AR-0000196,S-000083,CLI-0172,2025-06-28,2025-08-25,1004.22,recebido,0
AR-0000197,S-000084,CLI-0189,2025-07-01,2025-08-13,466.94,recebido,0
AR-0000198,S-000084,CLI-0189,2025-07-01,2025-08-28,466.94,recebido,0
AR-0000199,S-000084,CLI-0189,2025-07-01,2025-09-12,466.94,recebido,0
AR-0000200,S-000084,CLI-0189,2025-07-01,2025-09-27,466.94,recebido,0
AR-0000201,S-000085,CLI-0206,2025-08-02,2025-09-14,1039.24,recebido,0
AR-0000202,S-000085,CLI-0206,2025-08-02,2025-09-29,1039.24,recebido,0
AR-0000203,S-000086,CLI-0223,2025-09-03,2025-10-16,1042.34,recebido,0
AR-0000204,S-000086,CLI-0223,2025-09-03,2025-10-31,1042.34,recebido,0
AR-0000205,S-000087,CLI-0240,2025-10-04,2025-11-16,1045.23,recebido,0
AR-0000206,S-000087,CLI-0240,2025-10-04,2025-12-01,1045.23,recebido,0
AR-0000207,S-000088,CLI-0257,2025-11-05,2025-12-18,824.34,recebido,0
AR-0000208,S-000088,CLI-0257,2025-11-05,2026-01-02,824.34,recebido,0
AR-0000209,S-000088,CLI-0257,2025-11-05,2026-01-17,824.34,recebido,0
AR-0000210,S-000089,CLI-0274,2025-12-06,2026-01-18,1239.40,recebido,0
AR-0000211,S-000089,CLI-0274,2025-12-06,2026-02-02,1239.40,recebido,0
AR-0000212,S-000090,CLI-0291,2026-01-07,2026-02-19,981.09,recebido,0
AR-0000213,S-000090,CLI-0291,2026-01-07,2026-03-06,981.09,recebido,0
AR-0000214,S-000091,CLI-0308,2026-02-08,2026-03-23,983.03,recebido,0
AR-0000215,S-000091,CLI-0308,2026-02-08,2026-04-07,983.03,recebido,0
AR-0000216,S-000092,CLI-0325,2026-03-09,2026-04-21,770.70,vencido,32
AR-0000217,S-000092,CLI-0325,2026-03-09,2026-05-06,770.70,vencido,32
AR-0000218,S-000092,CLI-0325,2026-03-09,2026-05-21,770.70,vencido,32
AR-0000219,S-000093,CLI-0342,2026-04-10,2026-05-23,1157.86,recebido,0
AR-0000220,S-000093,CLI-0342,2026-04-10,2026-06-07,1157.86,recebido,0
AR-0000221,S-000094,CLI-0359,2026-05-11,2026-06-23,1073.57,recebido,0
AR-0000222,S-000094,CLI-0359,2026-05-11,2026-07-08,1073.57,recebido,0
AR-0000223,S-000095,CLI-0376,2026-06-12,2026-07-25,1089.06,recebido,0
AR-0000224,S-000095,CLI-0376,2026-06-12,2026-08-09,1089.06,recebido,0
AR-0000225,S-000096,CLI-0393,2026-07-13,2026-08-25,501.49,recebido,0
AR-0000226,S-000096,CLI-0393,2026-07-13,2026-09-09,501.49,recebido,0
AR-0000227,S-000096,CLI-0393,2026-07-13,2026-09-24,501.49,recebido,0
AR-0000228,S-000096,CLI-0393,2026-07-13,2026-10-09,501.49,recebido,0
AR-0000229,S-000097,CLI-0410,2024-08-14,2024-09-26,1196.22,recebido,0
AR-0000230,S-000097,CLI-0410,2024-08-14,2024-10-11,1196.22,recebido,0
AR-0000231,S-000098,CLI-0427,2024-09-15,2024-10-28,1206.62,recebido,0
AR-0000232,S-000098,CLI-0427,2024-09-15,2024-11-12,1206.62,recebido,0
AR-0000233,S-000099,CLI-0444,2024-10-16,2024-11-28,1216.94,recebido,0
AR-0000234,S-000099,CLI-0444,2024-10-16,2024-12-13,1216.94,recebido,0
AR-0000235,S-000100,CLI-0011,2024-11-17,2024-12-30,733.49,recebido,0
AR-0000236,S-000100,CLI-0011,2024-11-17,2025-01-14,733.49,recebido,0
AR-0000237,S-000100,CLI-0011,2024-11-17,2025-01-29,733.49,recebido,0
AR-0000238,S-000100,CLI-0011,2024-11-17,2025-02-13,733.49,recebido,0
AR-0000239,S-000101,CLI-0012,2024-12-18,2025-01-30,2958.41,recebido,0
AR-0000240,S-000102,CLI-0013,2025-01-19,2025-03-03,2325.49,recebido,0
AR-0000241,S-000103,CLI-0014,2025-02-20,2025-04-04,2344.31,recebido,0
AR-0000242,S-000104,CLI-0015,2025-03-21,2025-05-03,1386.96,recebido,0
AR-0000243,S-000104,CLI-0015,2025-03-21,2025-05-18,1386.96,recebido,0
AR-0000244,S-000105,CLI-0001,2025-04-22,2025-06-04,2832.16,recebido,0
AR-0000245,S-000106,CLI-0002,2025-05-23,2025-07-05,2642.75,recebido,0
AR-0000246,S-000107,CLI-0003,2025-06-24,2025-08-06,2662.98,recebido,0
AR-0000247,S-000108,CLI-0004,2025-07-25,2025-09-06,822.81,recebido,0
AR-0000248,S-000108,CLI-0004,2025-07-25,2025-09-21,822.81,recebido,0
AR-0000249,S-000108,CLI-0004,2025-07-25,2025-10-06,822.81,recebido,0
AR-0000250,S-000109,CLI-0005,2025-08-26,2025-10-08,2703.03,recebido,0
AR-0000251,S-000110,CLI-0006,2025-09-27,2025-11-09,2737.92,recebido,0
AR-0000252,S-000111,CLI-0007,2025-10-28,2025-12-10,2737.24,recebido,0
AR-0000253,S-000112,CLI-0008,2025-11-01,2025-12-14,1614.34,recebido,0
AR-0000254,S-000112,CLI-0008,2025-11-01,2025-12-29,1614.34,recebido,0
AR-0000255,S-000113,CLI-0009,2025-12-02,2026-01-14,3226.92,recebido,0
AR-0000256,S-000114,CLI-0010,2026-01-03,2026-02-15,2514.18,recebido,0
AR-0000257,S-000115,CLI-0011,2026-02-04,2026-03-19,2545.12,recebido,0
AR-0000258,S-000116,CLI-0012,2026-03-05,2026-04-17,1492.49,recebido,0
AR-0000259,S-000116,CLI-0012,2026-03-05,2026-05-02,1492.49,recebido,0
AR-0000260,S-000117,CLI-0013,2026-04-06,2026-05-19,2981.81,vencido,30
AR-0000261,S-000118,CLI-0014,2026-05-07,2026-06-19,2757.61,recebido,0
AR-0000262,S-000119,CLI-0015,2026-06-08,2026-07-21,2753.89,recebido,0
AR-0000263,S-000120,CLI-0001,2026-07-09,2026-08-21,640.83,recebido,0
AR-0000264,S-000120,CLI-0001,2026-07-09,2026-09-05,640.83,recebido,0
AR-0000265,S-000120,CLI-0001,2026-07-09,2026-09-20,640.83,recebido,0
AR-0000266,S-000120,CLI-0001,2026-07-09,2026-10-05,640.83,recebido,0
AR-0000267,S-000121,CLI-0002,2024-08-10,2024-09-22,3049.62,recebido,0
AR-0000268,S-000122,CLI-0003,2024-09-11,2024-10-24,3068.81,recebido,0
AR-0000269,S-000123,CLI-0004,2024-10-12,2024-11-24,3087.85,recebido,0
AR-0000270,S-000124,CLI-0005,2024-11-13,2024-12-26,1832.98,recebido,0
AR-0000271,S-000124,CLI-0005,2024-11-13,2025-01-10,1832.98,recebido,0
AR-0000272,S-000125,CLI-0006,2024-12-14,2025-01-26,3736.20,recebido,0
AR-0000273,S-000126,CLI-0007,2025-01-15,2025-02-27,2930.43,recebido,0
AR-0000274,S-000127,CLI-0008,2025-02-16,2025-03-31,2947.76,recebido,0
AR-0000275,S-000128,CLI-0009,2025-03-17,2025-04-29,1740.30,recebido,0
AR-0000276,S-000128,CLI-0009,2025-03-17,2025-05-14,1740.30,recebido,0
AR-0000277,S-000129,CLI-0010,2025-04-18,2025-05-31,3500.64,recebido,0
AR-0000278,S-000130,CLI-0011,2025-05-19,2025-07-01,3302.25,recebido,0
AR-0000279,S-000131,CLI-0012,2025-06-20,2025-08-02,3320.87,recebido,0
AR-0000280,S-000132,CLI-0013,2025-07-21,2025-09-02,1024.07,vencido,24
AR-0000281,S-000132,CLI-0013,2025-07-21,2025-09-17,1024.07,vencido,24
AR-0000282,S-000132,CLI-0013,2025-07-21,2025-10-02,1024.07,vencido,24
AR-0000283,S-000133,CLI-0014,2025-08-22,2025-10-04,3357.70,recebido,0
AR-0000284,S-000134,CLI-0015,2025-09-23,2025-11-05,3350.85,recebido,0
AR-0000285,S-000135,CLI-0436,2025-10-24,2025-12-06,3387.35,recebido,0
AR-0000286,S-000136,CLI-0453,2025-11-25,2026-01-07,1994.10,recebido,0
AR-0000287,S-000136,CLI-0453,2025-11-25,2026-01-22,1994.10,recebido,0
AR-0000288,S-000137,CLI-0470,2025-12-26,2026-02-07,3978.89,recebido,0
AR-0000289,S-000138,CLI-0487,2026-01-27,2026-03-11,3094.59,recebido,0
AR-0000290,S-000139,CLI-0504,2026-02-28,2026-04-12,3086.66,recebido,0
AR-0000291,S-000140,CLI-0521,2026-03-01,2026-04-13,570.43,recebido,0
AR-0000292,S-000140,CLI-0521,2026-03-01,2026-04-28,570.43,recebido,0
AR-0000293,S-000140,CLI-0521,2026-03-01,2026-05-13,570.43,recebido,0
AR-0000294,S-000141,CLI-0538,2026-04-02,2026-05-15,1721.29,recebido,0
AR-0000295,S-000142,CLI-0555,2026-05-03,2026-06-15,1602.61,recebido,0
AR-0000296,S-000143,CLI-0572,2026-06-04,2026-07-17,1610.97,vencido,38
AR-0000297,S-000144,CLI-0589,2026-07-05,2026-08-17,496.46,recebido,0
AR-0000298,S-000144,CLI-0589,2026-07-05,2026-09-01,496.46,recebido,0
AR-0000299,S-000144,CLI-0589,2026-07-05,2026-09-16,496.46,recebido,0
AR-0000300,S-000145,CLI-0606,2024-08-06,2024-09-18,1806.52,recebido,0
AR-0000301,S-000146,CLI-0003,2024-09-07,2024-10-20,1829.00,recebido,0
AR-0000302,S-000147,CLI-0020,2024-10-08,2024-11-20,1851.33,recebido,0
AR-0000303,S-000148,CLI-0037,2024-11-09,2024-12-22,1105.38,recebido,0
AR-0000304,S-000148,CLI-0037,2024-11-09,2025-01-06,1105.38,recebido,0
AR-0000305,S-000149,CLI-0054,2024-12-10,2025-01-22,2236.79,recebido,0
AR-0000306,S-000150,CLI-0071,2025-01-11,2025-02-23,1787.10,recebido,0
AR-0000307,S-000151,CLI-0088,2025-02-12,2025-03-27,1807.45,recebido,0
AR-0000308,S-000152,CLI-0105,2025-03-13,2025-04-25,1072.77,recebido,0
AR-0000309,S-000152,CLI-0105,2025-03-13,2025-05-10,1072.77,recebido,0
AR-0000310,S-000153,CLI-0122,2025-04-14,2025-05-27,2169.13,recebido,0
AR-0000311,S-000154,CLI-0139,2025-05-15,2025-06-27,2030.16,recebido,0
AR-0000312,S-000155,CLI-0156,2025-06-16,2025-07-29,2078.47,recebido,0
AR-0000313,S-000156,CLI-0173,2025-07-17,2025-08-29,644.07,recebido,0
AR-0000314,S-000156,CLI-0173,2025-07-17,2025-09-13,644.07,recebido,0
AR-0000315,S-000156,CLI-0173,2025-07-17,2025-09-28,644.07,recebido,0
AR-0000316,S-000157,CLI-0190,2025-08-18,2025-09-30,2121.88,recebido,0
AR-0000317,S-000158,CLI-0207,2025-09-19,2025-11-01,2127.47,recebido,0
AR-0000318,S-000159,CLI-0224,2025-10-20,2025-12-02,2132.64,recebido,0
AR-0000319,S-000160,CLI-0241,2025-11-21,2026-01-03,851.71,recebido,0
