source_record_id,transaction_date,cash_flow_type,account_type,cash_in_amount,cash_out_amount,operating_cash_flow_amount,description
SRC-FIN-IN-0000029,2025-09-26,operating,accounts_receivable,1004.22,0.00,1004.22,Recebimento titulo AR-0000029
SRC-FIN-IN-0000030,2025-10-11,operating,accounts_receivable,1004.22,0.00,1004.22,Recebimento titulo AR-0000030
SRC-FIN-IN-0000031,2025-10-28,operating,accounts_receivable,1007.54,0.00,1007.54,Recebimento titulo AR-0000031
SRC-FIN-IN-0000032,2025-11-12,operating,accounts_receivable,1007.54,0.00,1007.54,Recebimento titulo AR-0000032
SRC-FIN-IN-0000033,2025-11-28,operating,accounts_receivable,1023.86,0.00,1023.86,Recebimento titulo AR-0000033
SRC-FIN-IN-0000034,2025-12-13,operating,accounts_receivable,1023.86,0.00,1023.86,Recebimento titulo AR-0000034
SRC-FIN-IN-0000035,2025-12-31,operating,accounts_receivable,807.78,0.00,807.78,Recebimento titulo AR-0000035
SRC-FIN-IN-0000036,2026-01-15,operating,accounts_receivable,807.78,0.00,807.78,Recebimento titulo AR-0000036
SRC-FIN-IN-0000037,2026-01-30,operating,accounts_receivable,807.78,0.00,807.78,Recebimento titulo AR-0000037
SRC-FIN-IN-0000038,2026-02-13,operating,accounts_receivable,1214.92,0.00,1214.92,Recebimento titulo AR-0000038
SRC-FIN-IN-0000039,2026-02-28,operating,accounts_receivable,1214.92,0.00,1214.92,Recebimento titulo AR-0000039
SRC-FIN-IN-0000040,2026-03-09,operating,accounts_receivable,949.55,0.00,949.55,Recebimento titulo AR-0000040
SRC-FIN-IN-0000041,2026-03-24,operating,accounts_receivable,949.55,0.00,949.55,Recebimento titulo AR-0000041
SRC-FIN-IN-0000042,2026-04-11,operating,accounts_receivable,951.70,0.00,951.70,Recebimento titulo AR-0000042
SRC-FIN-IN-0000043,2026-04-26,operating,accounts_receivable,951.70,0.00,951.70,Recebimento titulo AR-0000043
SRC-FIN-IN-0000044,2026-05-11,operating,accounts_receivable,567.11,0.00,567.11,Recebimento titulo AR-0000044
SRC-FIN-IN-0000045,2026-05-26,operating,accounts_receivable,567.11,0.00,567.11,Recebimento titulo AR-0000045
SRC-FIN-IN-0000046,2026-06-10,operating,accounts_receivable,567.11,0.00,567.11,Recebimento titulo AR-0000046
SRC-FIN-IN-0000047,2026-06-25,operating,accounts_receivable,567.11,0.00,567.11,Recebimento titulo AR-0000047
SRC-FIN-IN-0000048,2026-06-13,operating,accounts_receivable,1136.37,0.00,1136.37,Recebimento titulo AR-0000048
SRC-FIN-IN-0000049,2026-06-28,operating,accounts_receivable,1136.37,0.00,1136.37,Recebimento titulo AR-0000049
SRC-FIN-IN-0000050,2026-07-15,operating,accounts_receivable,1053.96,0.00,1053.96,Recebimento titulo AR-0000050
SRC-FIN-IN-0000051,2026-07-30,operating,accounts_receivable,1053.96,0.00,1053.96,Recebimento titulo AR-0000051
SRC-FIN-IN-0000052,2026-08-17,operating,accounts_receivable,1055.52,0.00,1055.52,Recebimento titulo AR-0000052
SRC-FIN-IN-0000053,2026-09-01,operating,accounts_receivable,1055.52,0.00,1055.52,Recebimento titulo AR-0000053
SRC-FIN-IN-0000054,2026-09-18,operating,accounts_receivable,486.16,0.00,486.16,Recebimento titulo AR-0000054
SRC-FIN-IN-0000055,2026-10-03,operating,accounts_receivable,486.16,0.00,486.16,Recebimento titulo AR-0000055
SRC-FIN-IN-0000056,2026-10-18,operating,accounts_receivable,486.16,0.00,486.16,Recebimento titulo AR-0000056
SRC-FIN-IN-0000057,2026-11-02,operating,accounts_receivable,486.16,0.00,486.16,Recebimento titulo AR-0000057
SRC-FIN-IN-0000058,2024-10-09,operating,accounts_receivable,1175.21,0.00,1175.21,Recebimento titulo AR-0000058
SRC-FIN-IN-0000059,2024-10-24,operating,accounts_receivable,1175.21,0.00,1175.21,Recebimento titulo AR-0000059
SRC-FIN-IN-0000060,2024-11-11,operating,accounts_receivable,1185.75,0.00,1185.75,Recebimento titulo AR-0000060
SRC-FIN-IN-0000061,2024-11-26,operating,accounts_receivable,1185.75,0.00,1185.75,Recebimento titulo AR-0000061
SRC-FIN-IN-0000062,2024-12-22,operating,accounts_receivable,1196.22,0.00,1196.22,Recebimento titulo AR-0000062
SRC-FIN-IN-0000063,2025-01-06,operating,accounts_receivable,1196.22,0.00,1196.22,Recebimento titulo AR-0000063
SRC-FIN-IN-0000064,2024-12-14,operating,accounts_receivable,949.20,0.00,949.20,Recebimento titulo AR-0000064
SRC-FIN-IN-0000065,2024-12-29,operating,accounts_receivable,949.20,0.00,949.20,Recebimento titulo AR-0000065
SRC-FIN-IN-0000066,2025-01-13,operating,accounts_receivable,949.20,0.00,949.20,Recebimento titulo AR-0000066
SRC-FIN-IN-0000067,2025-01-14,operating,accounts_receivable,1435.99,0.00,1435.99,Recebimento titulo AR-0000067
SRC-FIN-IN-0000068,2025-01-29,operating,accounts_receivable,1435.99,0.00,1435.99,Recebimento titulo AR-0000068
SRC-FIN-IN-0000069,2025-02-15,operating,accounts_receivable,1143.74,0.00,1143.74,Recebimento titulo AR-0000069
SRC-FIN-IN-0000070,2025-03-02,operating,accounts_receivable,1143.74,0.00,1143.74,Recebimento titulo AR-0000070
SRC-FIN-IN-0000071,2025-03-19,operating,accounts_receivable,1153.28,0.00,1153.28,Recebimento titulo AR-0000071
SRC-FIN-IN-0000072,2025-04-03,operating,accounts_receivable,1153.28,0.00,1153.28,Recebimento titulo AR-0000072
SRC-FIN-IN-0000073,2025-04-17,operating,accounts_receivable,909.98,0.00,909.98,Recebimento titulo AR-0000073
SRC-FIN-IN-0000074,2025-05-02,operating,accounts_receivable,909.98,0.00,909.98,Recebimento titulo AR-0000074
SRC-FIN-IN-0000075,2025-05-17,operating,accounts_receivable,909.98,0.00,909.98,Recebimento titulo AR-0000075
SRC-FIN-IN-0000076,2025-05-19,operating,accounts_receivable,1376.00,0.00,1376.00,Recebimento titulo AR-0000076
SRC-FIN-IN-0000077,2025-06-03,operating,accounts_receivable,1376.00,0.00,1376.00,Recebimento titulo AR-0000077
SRC-FIN-IN-0000078,2025-06-20,operating,accounts_receivable,1284.23,0.00,1284.23,Recebimento titulo AR-0000078
SRC-FIN-IN-0000079,2025-07-05,operating,accounts_receivable,1284.23,0.00,1284.23,Recebimento titulo AR-0000079
SRC-FIN-IN-0000080,2025-07-23,operating,accounts_receivable,1311.18,0.00,1311.18,Recebimento titulo AR-0000080
SRC-FIN-IN-0000081,2025-08-07,operating,accounts_receivable,1311.18,0.00,1311.18,Recebimento titulo AR-0000081
SRC-FIN-IN-0000082,2025-08-21,operating,accounts_receivable,607.83,0.00,607.83,Recebimento titulo AR-0000082
SRC-FIN-IN-0000083,2025-09-05,operating,accounts_receivable,607.83,0.00,607.83,Recebimento titulo AR-0000083
SRC-FIN-IN-0000084,2025-09-20,operating,accounts_receivable,607.83,0.00,607.83,Recebimento titulo AR-0000084
SRC-FIN-IN-0000085,2025-10-05,operating,accounts_receivable,607.83,0.00,607.83,Recebimento titulo AR-0000085
SRC-FIN-IN-0000086,2025-09-22,operating,accounts_receivable,1331.49,0.00,1331.49,Recebimento titulo AR-0000086
SRC-FIN-IN-0000087,2025-10-07,operating,accounts_receivable,1331.49,0.00,1331.49,Recebimento titulo AR-0000087
SRC-FIN-IN-0000088,2025-10-24,operating,accounts_receivable,1331.59,0.00,1331.59,Recebimento titulo AR-0000088
SRC-FIN-IN-0000089,2025-11-08,operating,accounts_receivable,1331.59,0.00,1331.59,Recebimento titulo AR-0000089
SRC-FIN-IN-0000090,2025-11-24,operating,accounts_receivable,1331.48,0.00,1331.48,Recebimento titulo AR-0000090
SRC-FIN-IN-0000091,2025-12-09,operating,accounts_receivable,1331.48,0.00,1331.48,Recebimento titulo AR-0000091
SRC-FIN-IN-0000092,2025-12-26,operating,accounts_receivable,795.67,0.00,795.67,Recebimento titulo AR-0000092
SRC-FIN-IN-0000093,2026-01-10,operating,accounts_receivable,795.67,0.00,795.67,Recebimento titulo AR-0000093
SRC-FIN-IN-0000094,2026-01-25,operating,accounts_receivable,795.67,0.00,795.67,Recebimento titulo AR-0000094
SRC-FIN-IN-0000095,2026-02-09,operating,accounts_receivable,795.67,0.00,795.67,Recebimento titulo AR-0000095
SRC-FIN-IN-0000096,2026-03-11,operating,accounts_receivable,1239.70,0.00,1239.70,Recebimento titulo AR-0000098
SRC-FIN-IN-0000097,2026-03-26,operating,accounts_receivable,1239.70,0.00,1239.70,Recebimento titulo AR-0000099
SRC-FIN-IN-0000098,2026-04-13,operating,accounts_receivable,1238.92,0.00,1238.92,Recebimento titulo AR-0000100
SRC-FIN-IN-0000099,2026-04-28,operating,accounts_receivable,1238.92,0.00,1238.92,Recebimento titulo AR-0000101
SRC-FIN-IN-0000100,2026-05-13,operating,accounts_receivable,968.83,0.00,968.83,Recebimento titulo AR-0000102
SRC-FIN-IN-0000101,2026-05-28,operating,accounts_receivable,968.83,0.00,968.83,Recebimento titulo AR-0000103
SRC-FIN-IN-0000102,2026-06-12,operating,accounts_receivable,968.83,0.00,968.83,Recebimento titulo AR-0000104
SRC-FIN-IN-0000103,2026-06-06,operating,accounts_receivable,1471.06,0.00,1471.06,Recebimento titulo AR-0000105
SRC-FIN-IN-0000104,2026-06-21,operating,accounts_receivable,1471.06,0.00,1471.06,Recebimento titulo AR-0000106
SRC-FIN-IN-0000105,2026-07-08,operating,accounts_receivable,1360.72,0.00,1360.72,Recebimento titulo AR-0000107
SRC-FIN-IN-0000106,2026-07-23,operating,accounts_receivable,1360.72,0.00,1360.72,Recebimento titulo AR-0000108
SRC-FIN-IN-0000107,2026-08-10,operating,accounts_receivable,1359.14,0.00,1359.14,Recebimento titulo AR-0000109
SRC-FIN-IN-0000108,2026-08-25,operating,accounts_receivable,1359.14,0.00,1359.14,Recebimento titulo AR-0000110
SRC-FIN-IN-0000109,2026-09-11,operating,accounts_receivable,624.39,0.00,624.39,Recebimento titulo AR-0000111
SRC-FIN-IN-0000110,2026-09-26,operating,accounts_receivable,624.39,0.00,624.39,Recebimento titulo AR-0000112
SRC-FIN-IN-0000111,2026-10-11,operating,accounts_receivable,624.39,0.00,624.39,Recebimento titulo AR-0000113
SRC-FIN-IN-0000112,2026-10-26,operating,accounts_receivable,624.39,0.00,624.39,Recebimento titulo AR-0000114
SRC-FIN-IN-0000113,2024-10-04,operating,accounts_receivable,1486.09,0.00,1486.09,Recebimento titulo AR-0000115
SRC-FIN-IN-0000114,2024-10-19,operating,accounts_receivable,1486.09,0.00,1486.09,Recebimento titulo AR-0000116
SRC-FIN-IN-0000115,2024-11-05,operating,accounts_receivable,1515.15,0.00,1515.15,Recebimento titulo AR-0000117
SRC-FIN-IN-0000116,2024-11-20,operating,accounts_receivable,1515.15,0.00,1515.15,Recebimento titulo AR-0000118
SRC-FIN-IN-0000117,2024-12-06,operating,accounts_receivable,1524.81,0.00,1524.81,Recebimento titulo AR-0000119
SRC-FIN-IN-0000118,2024-12-21,operating,accounts_receivable,1524.81,0.00,1524.81,Recebimento titulo AR-0000120
SRC-FIN-IN-0000119,2025-01-08,operating,accounts_receivable,1207.06,0.00,1207.06,Recebimento titulo AR-0000121
SRC-FIN-IN-0000120,2025-01-23,operating,accounts_receivable,1207.06,0.00,1207.06,Recebimento titulo AR-0000122
SRC-FIN-IN-0000121,2025-02-07,operating,accounts_receivable,1207.06,0.00,1207.06,Recebimento titulo AR-0000123
SRC-FIN-IN-0000122,2025-02-09,operating,accounts_receivable,1821.84,0.00,1821.84,Recebimento titulo AR-0000124
SRC-FIN-IN-0000123,2025-02-24,operating,accounts_receivable,1821.84,0.00,1821.84,Recebimento titulo AR-0000125
SRC-FIN-IN-0000124,2025-03-23,operating,accounts_receivable,1429.12,0.00,1429.12,Recebimento titulo AR-0000126
SRC-FIN-IN-0000125,2025-04-07,operating,accounts_receivable,1429.12,0.00,1429.12,Recebimento titulo AR-0000127
SRC-FIN-IN-0000126,2025-04-12,operating,accounts_receivable,1456.48,0.00,1456.48,Recebimento titulo AR-0000128
SRC-FIN-IN-0000127,2025-04-27,operating,accounts_receivable,1456.48,0.00,1456.48,Recebimento titulo AR-0000129
SRC-FIN-IN-0000128,2025-04-13,operating,accounts_receivable,1146.69,0.00,1146.69,Recebimento titulo AR-0000130
SRC-FIN-IN-0000129,2025-04-28,operating,accounts_receivable,1146.69,0.00,1146.69,Recebimento titulo AR-0000131
SRC-FIN-IN-0000130,2025-05-13,operating,accounts_receivable,1146.69,0.00,1146.69,Recebimento titulo AR-0000132
SRC-FIN-IN-0000131,2025-05-15,operating,accounts_receivable,1730.20,0.00,1730.20,Recebimento titulo AR-0000133
SRC-FIN-IN-0000132,2025-05-30,operating,accounts_receivable,1730.20,0.00,1730.20,Recebimento titulo AR-0000134
SRC-FIN-IN-0000133,2025-06-15,operating,accounts_receivable,1611.39,0.00,1611.39,Recebimento titulo AR-0000135
SRC-FIN-IN-0000134,2025-06-30,operating,accounts_receivable,1611.39,0.00,1611.39,Recebimento titulo AR-0000136
SRC-FIN-IN-0000135,2025-07-17,operating,accounts_receivable,1620.66,0.00,1620.66,Recebimento titulo AR-0000137
SRC-FIN-IN-0000136,2025-08-01,operating,accounts_receivable,1620.66,0.00,1620.66,Recebimento titulo AR-0000138
SRC-FIN-IN-0000137,2025-08-17,operating,accounts_receivable,607.61,0.00,607.61,Recebimento titulo AR-0000139
SRC-FIN-IN-0000138,2025-09-01,operating,accounts_receivable,607.61,0.00,607.61,Recebimento titulo AR-0000140
SRC-FIN-IN-0000139,2025-09-16,operating,accounts_receivable,607.61,0.00,607.61,Recebimento titulo AR-0000141
SRC-FIN-IN-0000140,2025-10-01,operating,accounts_receivable,607.61,0.00,607.61,Recebimento titulo AR-0000142
SRC-FIN-IN-0000141,2025-10-16,operating,accounts_receivable,607.61,0.00,607.61,Recebimento titulo AR-0000143
SRC-FIN-IN-0000142,2025-09-19,operating,accounts_receivable,1660.44,0.00,1660.44,Recebimento titulo AR-0000144
SRC-FIN-IN-0000143,2025-10-04,operating,accounts_receivable,1660.44,0.00,1660.44,Recebimento titulo AR-0000145
SRC-FIN-IN-0000144,2025-10-22,operating,accounts_receivable,1657.30,0.00,1657.30,Recebimento titulo AR-0000146
SRC-FIN-IN-0000145,2025-11-06,operating,accounts_receivable,1657.30,0.00,1657.30,Recebimento titulo AR-0000147
SRC-FIN-IN-0000146,2025-11-20,operating,accounts_receivable,1653.98,0.00,1653.98,Recebimento titulo AR-0000148
SRC-FIN-IN-0000147,2025-12-05,operating,accounts_receivable,1653.98,0.00,1653.98,Recebimento titulo AR-0000149
SRC-FIN-IN-0000148,2025-12-22,operating,accounts_receivable,1298.36,0.00,1298.36,Recebimento titulo AR-0000150
SRC-FIN-IN-0000149,2026-01-06,operating,accounts_receivable,1298.36,0.00,1298.36,Recebimento titulo AR-0000151
SRC-FIN-IN-0000150,2026-01-21,operating,accounts_receivable,1298.36,0.00,1298.36,Recebimento titulo AR-0000152
SRC-FIN-IN-0000151,2026-01-30,operating,accounts_receivable,1968.66,0.00,1968.66,Recebimento titulo AR-0000153
SRC-FIN-IN-0000152,2026-02-14,operating,accounts_receivable,1968.66,0.00,1968.66,Recebimento titulo AR-0000154
SRC-FIN-IN-0000153,2026-03-04,operating,accounts_receivable,1531.34,0.00,1531.34,Recebimento titulo AR-0000155
SRC-FIN-IN-0000154,2026-03-19,operating,accounts_receivable,1531.34,0.00,1531.34,Recebimento titulo AR-0000156
SRC-FIN-IN-0000155,2026-05-06,operating,accounts_receivable,1192.51,0.00,1192.51,Recebimento titulo AR-0000159
SRC-FIN-IN-0000156,2026-05-21,operating,accounts_receivable,1192.51,0.00,1192.51,Recebimento titulo AR-0000160
SRC-FIN-IN-0000157,2026-06-05,operating,accounts_receivable,1192.51,0.00,1192.51,Recebimento titulo AR-0000161
SRC-FIN-IN-0000158,2026-06-08,operating,accounts_receivable,1784.02,0.00,1784.02,Recebimento titulo AR-0000162
SRC-FIN-IN-0000159,2026-06-23,operating,accounts_receivable,1784.02,0.00,1784.02,Recebimento titulo AR-0000163
SRC-FIN-IN-0000160,2026-07-10,operating,accounts_receivable,780.10,0.00,780.10,Recebimento titulo AR-0000164
SRC-FIN-IN-0000161,2026-07-25,operating,accounts_receivable,780.10,0.00,780.10,Recebimento titulo AR-0000165
SRC-FIN-IN-0000162,2026-08-12,operating,accounts_receivable,784.60,0.00,784.60,Recebimento titulo AR-0000166
SRC-FIN-IN-0000163,2026-08-27,operating,accounts_receivable,784.60,0.00,784.60,Recebimento titulo AR-0000167
SRC-FIN-IN-0000164,2026-09-04,operating,accounts_receivable,362.87,0.00,362.87,Recebimento titulo AR-0000168
SRC-FIN-IN-0000165,2026-09-19,operating,accounts_receivable,362.87,0.00,362.87,Recebimento titulo AR-0000169
SRC-FIN-IN-0000166,2026-10-04,operating,accounts_receivable,362.87,0.00,362.87,Recebimento titulo AR-0000170
SRC-FIN-IN-0000167,2026-10-19,operating,accounts_receivable,362.87,0.00,362.87,Recebimento titulo AR-0000171
SRC-FIN-IN-0000168,2024-09-30,operating,accounts_receivable,869.30,0.00,869.30,Recebimento titulo AR-0000172
SRC-FIN-IN-0000169,2024-10-15,operating,accounts_receivable,869.30,0.00,869.30,Recebimento titulo AR-0000173
SRC-FIN-IN-0000170,2024-11-01,operating,accounts_receivable,880.50,0.00,880.50,Recebimento titulo AR-0000174
SRC-FIN-IN-0000171,2024-11-16,operating,accounts_receivable,880.50,0.00,880.50,Recebimento titulo AR-0000175
SRC-FIN-IN-0000172,2024-12-02,operating,accounts_receivable,903.26,0.00,903.26,Recebimento titulo AR-0000176
SRC-FIN-IN-0000173,2024-12-17,operating,accounts_receivable,903.26,0.00,903.26,Recebimento titulo AR-0000177
SRC-FIN-IN-0000174,2025-01-03,operating,accounts_receivable,719.41,0.00,719.41,Recebimento titulo AR-0000178
SRC-FIN-IN-0000175,2025-01-18,operating,accounts_receivable,719.41,0.00,719.41,Recebimento titulo AR-0000179
SRC-FIN-IN-0000176,2025-02-02,operating,accounts_receivable,719.41,0.00,719.41,Recebimento titulo AR-0000180
SRC-FIN-IN-0000177,2025-02-03,operating,accounts_receivable,1092.28,0.00,1092.28,Recebimento titulo AR-0000181
SRC-FIN-IN-0000178,2025-02-18,operating,accounts_receivable,1092.28,0.00,1092.28,Recebimento titulo AR-0000182
SRC-FIN-IN-0000179,2025-03-07,operating,accounts_receivable,861.82,0.00,861.82,Recebimento titulo AR-0000183
SRC-FIN-IN-0000180,2025-03-22,operating,accounts_receivable,861.82,0.00,861.82,Recebimento titulo AR-0000184
SRC-FIN-IN-0000181,2025-05-09,operating,accounts_receivable,524.48,0.00,524.48,Recebimento titulo AR-0000187
SRC-FIN-IN-0000182,2025-05-24,operating,accounts_receivable,524.48,0.00,524.48,Recebimento titulo AR-0000188
SRC-FIN-IN-0000183,2025-06-08,operating,accounts_receivable,524.48,0.00,524.48,Recebimento titulo AR-0000189
SRC-FIN-IN-0000184,2025-06-23,operating,accounts_receivable,524.48,0.00,524.48,Recebimento titulo AR-0000190
SRC-FIN-IN-0000185,2025-06-08,operating,accounts_receivable,1060.90,0.00,1060.90,Recebimento titulo AR-0000191
SRC-FIN-IN-0000186,2025-06-23,operating,accounts_receivable,1060.90,0.00,1060.90,Recebimento titulo AR-0000192
SRC-FIN-IN-0000187,2025-07-09,operating,accounts_receivable,993.30,0.00,993.30,Recebimento titulo AR-0000193
SRC-FIN-IN-0000188,2025-07-24,operating,accounts_receivable,993.30,0.00,993.30,Recebimento titulo AR-0000194
SRC-FIN-IN-0000189,2025-08-10,operating,accounts_receivable,1004.22,0.00,1004.22,Recebimento titulo AR-0000195
SRC-FIN-IN-0000190,2025-08-25,operating,accounts_receivable,1004.22,0.00,1004.22,Recebimento titulo AR-0000196
SRC-FIN-IN-0000191,2025-08-13,operating,accounts_receivable,466.94,0.00,466.94,Recebimento titulo AR-0000197
SRC-FIN-IN-0000192,2025-08-28,operating,accounts_receivable,466.94,0.00,466.94,Recebimento titulo AR-0000198
SRC-FIN-IN-0000193,2025-09-12,operating,accounts_receivable,466.94,0.00,466.94,Recebimento titulo AR-0000199
SRC-FIN-IN-0000194,2025-09-27,operating,accounts_receivable,466.94,0.00,466.94,Recebimento titulo AR-0000200
SRC-FIN-IN-0000195,2025-09-14,operating,accounts_receivable,1039.24,0.00,1039.24,Recebimento titulo AR-0000201
SRC-FIN-IN-0000196,2025-09-29,operating,accounts_receivable,1039.24,0.00,1039.24,Recebimento titulo AR-0000202
SRC-FIN-IN-0000197,2025-10-16,operating,accounts_receivable,1042.34,0.00,1042.34,Recebimento titulo AR-0000203
SRC-FIN-IN-0000198,2025-10-31,operating,accounts_receivable,1042.34,0.00,1042.34,Recebimento titulo AR-0000204
SRC-FIN-IN-0000199,2025-11-16,operating,accounts_receivable,1045.23,0.00,1045.23,Recebimento titulo AR-0000205
SRC-FIN-IN-0000200,2025-12-01,operating,accounts_receivable,1045.23,0.00,1045.23,Recebimento titulo AR-0000206
SRC-FIN-IN-0000201,2025-12-19,operating,accounts_receivable,824.34,0.00,824.34,Recebimento titulo AR-0000207
SRC-FIN-IN-0000202,2026-01-03,operating,accounts_receivable,824.34,0.00,824.34,Recebimento titulo AR-0000208
SRC-FIN-IN-0000203,2026-01-18,operating,accounts_receivable,824.34,0.00,824.34,Recebimento titulo AR-0000209
SRC-FIN-IN-0000204,2026-02-01,operating,accounts_receivable,1239.40,0.00,1239.40,Recebimento titulo AR-0000210
SRC-FIN-IN-0000205,2026-02-16,operating,accounts_receivable,1239.40,0.00,1239.40,Recebimento titulo AR-0000211
SRC-FIN-IN-0000206,2026-02-25,operating,accounts_receivable,981.09,0.00,981.09,Recebimento titulo AR-0000212
SRC-FIN-IN-0000207,2026-03-12,operating,accounts_receivable,981.09,0.00,981.09,Recebimento titulo AR-0000213
SRC-FIN-IN-0000208,2026-03-30,operating,accounts_receivable,983.03,0.00,983.03,Recebimento titulo AR-0000214
SRC-FIN-IN-0000209,2026-04-14,operating,accounts_receivable,983.03,0.00,983.03,Recebimento titulo AR-0000215
SRC-FIN-IN-0000210,2026-06-01,operating,accounts_receivable,1157.86,0.00,1157.86,Recebimento titulo AR-0000219
SRC-FIN-IN-0000211,2026-06-16,operating,accounts_receivable,1157.86,0.00,1157.86,Recebimento titulo AR-0000220
SRC-FIN-IN-0000212,2026-07-03,operating,accounts_receivable,1073.57,0.00,1073.57,Recebimento titulo AR-0000221
SRC-FIN-IN-0000213,2026-07-18,operating,accounts_receivable,1073.57,0.00,1073.57,Recebimento titulo AR-0000222
SRC-FIN-IN-0000214,2026-08-05,operating,accounts_receivable,1089.06,0.00,1089.06,Recebimento titulo AR-0000223
SRC-FIN-IN-0000215,2026-08-20,operating,accounts_receivable,1089.06,0.00,1089.06,Recebimento titulo AR-0000224
SRC-FIN-IN-0000216,2026-09-06,operating,accounts_receivable,501.49,0.00,501.49,Recebimento titulo AR-0000225
SRC-FIN-IN-0000217,2026-09-21,operating,accounts_receivable,501.49,0.00,501.49,Recebimento titulo AR-0000226
SRC-FIN-IN-0000218,2026-10-06,operating,accounts_receivable,501.49,0.00,501.49,Recebimento titulo AR-0000227
SRC-FIN-IN-0000219,2026-10-21,operating,accounts_receivable,501.49,0.00,501.49,Recebimento titulo AR-0000228
SRC-FIN-IN-0000220,2024-09-27,operating,accounts_receivable,1196.22,0.00,1196.22,Recebimento titulo AR-0000229
SRC-FIN-IN-0000221,2024-10-12,operating,accounts_receivable,1196.22,0.00,1196.22,Recebimento titulo AR-0000230
SRC-FIN-IN-0000222,2024-10-30,operating,accounts_receivable,1206.62,0.00,1206.62,Recebimento titulo AR-0000231
SRC-FIN-IN-0000223,2024-11-14,operating,accounts_receivable,1206.62,0.00,1206.62,Recebimento titulo AR-0000232
SRC-FIN-IN-0000224,2024-11-28,operating,accounts_receivable,1216.94,0.00,1216.94,Recebimento titulo AR-0000233
SRC-FIN-IN-0000225,2024-12-13,operating,accounts_receivable,1216.94,0.00,1216.94,Recebimento titulo AR-0000234
SRC-FIN-IN-0000226,2024-12-30,operating,accounts_receivable,733.49,0.00,733.49,Recebimento titulo AR-0000235
SRC-FIN-IN-0000227,2025-01-14,operating,accounts_receivable,733.49,0.00,733.49,Recebimento titulo AR-0000236
