source_record_id,transaction_date,invoice_id,invoice_line_id,product_external_id,customer_external_id,gross_revenue,tax_amount,discount_amount,return_amount,net_revenue,quantity_sold,cogs_amount
SRC-SALE-000149,2024-12-10,NF-000149,1,PRD-00588,CLI-0054,2908.70,523.57,125.07,23.27,2236.79,6,1794.09
SRC-SALE-000150,2025-01-11,NF-000150,1,PRD-00601,CLI-0071,2300.00,414.00,80.50,18.40,1787.10,7,1428.30
SRC-SALE-000151,2025-02-12,NF-000151,1,PRD-00614,CLI-0088,2332.20,419.80,86.29,18.66,1807.45,8,1458.09
SRC-SALE-000152,2025-03-13,NF-000152,1,PRD-00627,CLI-0105,2775.60,499.61,108.25,22.20,2145.54,9,1746.96
SRC-SALE-000153,2025-04-14,NF-000153,1,PRD-00640,CLI-0122,2813.40,506.41,115.35,22.51,2169.13,1,1782.57
SRC-SALE-000154,2025-05-15,NF-000154,1,PRD-00653,CLI-0139,2640.00,475.20,113.52,21.12,2030.16,2,1683.79
SRC-SALE-000155,2025-06-16,NF-000155,1,PRD-00666,CLI-0156,2675.00,481.50,93.63,21.40,2078.47,3,1717.35
SRC-SALE-000156,2025-07-17,NF-000156,1,PRD-00679,CLI-0173,2493.20,448.78,92.25,19.95,1932.22,4,1611.11
SRC-SALE-000157,2025-08-18,NF-000157,1,PRD-00692,CLI-0190,2745.00,494.10,107.06,21.96,2121.88,5,1785.35
SRC-SALE-000158,2025-09-19,NF-000158,1,PRD-00705,CLI-0207,2763.32,497.40,113.30,25.15,2127.47,6,1808.87
SRC-SALE-000159,2025-10-20,NF-000159,1,PRD-00718,CLI-0224,2781.22,500.62,119.59,28.37,2132.64,7,1832.27
SRC-SALE-000160,2025-11-21,NF-000160,1,PRD-00731,CLI-0241,3302.47,594.44,115.59,37.32,2555.12,8,2189.54
SRC-SALE-000161,2025-12-22,NF-000161,1,PRD-00744,CLI-0258,3322.60,598.07,122.94,41.20,2560.39,9,2216.84
SRC-SALE-000162,2026-01-23,NF-000162,1,PRD-00757,CLI-0275,2605.81,469.05,101.63,35.18,1999.95,1,1749.54
SRC-SALE-000163,2026-02-24,NF-000163,1,PRD-00770,CLI-0292,2620.73,471.73,107.45,38.26,2003.29,2,1770.57
SRC-SALE-000164,2026-03-25,NF-000164,1,PRD-00783,CLI-0309,3093.57,556.84,133.02,48.57,2355.14,3,2103.01
SRC-SALE-000165,2026-04-26,NF-000165,1,PRD-00796,CLI-0326,3110.18,559.83,108.86,52.25,2389.24,4,2127.36
SRC-SALE-000166,2026-05-27,NF-000166,1,PRD-00809,CLI-0343,2894.76,521.06,107.11,51.82,2214.77,5,1992.17
SRC-SALE-000167,2026-06-28,NF-000167,1,PRD-00822,CLI-0360,2909.30,523.67,113.46,55.28,2216.89,6,2014.40
SRC-SALE-000168,2026-07-01,NF-000168,1,PRD-00835,CLI-0377,2689.55,484.12,110.27,54.06,2041.10,7,1873.54
SRC-SALE-000169,2024-08-02,NF-000169,1,PRD-00848,CLI-0394,3165.00,569.70,136.10,25.32,2433.88,8,1899.00
SRC-SALE-000170,2024-09-03,NF-000170,1,PRD-00861,CLI-0411,3200.00,576.00,112.00,25.60,2486.40,9,1933.44
SRC-SALE-000171,2024-10-04,NF-000171,1,PRD-00874,CLI-0428,3235.00,582.30,119.70,25.88,2507.12,1,1968.17
SRC-SALE-000172,2024-11-05,NF-000172,1,PRD-00887,CLI-0445,3858.60,694.55,150.49,30.87,2982.69,2,2363.78
SRC-SALE-000173,2024-12-06,NF-000173,1,PRD-00900,CLI-0462,3899.90,701.98,159.90,31.20,3006.82,3,2405.46
SRC-SALE-000174,2025-01-07,NF-000174,1,PRD-00913,CLI-0479,3072.80,553.10,132.13,24.58,2362.99,4,1908.21
SRC-SALE-000175,2025-02-08,NF-000175,1,PRD-00926,CLI-0496,3105.00,558.90,108.68,24.84,2412.58,5,1941.25
SRC-SALE-000176,2025-03-09,NF-000176,1,PRD-00939,CLI-0513,3682.80,662.90,136.26,29.46,2854.18,6,2317.95
SRC-SALE-000177,2025-04-10,NF-000177,1,PRD-00952,CLI-0530,3720.60,669.71,145.10,29.76,2876.03,7,2357.37
SRC-SALE-000178,2025-05-11,NF-000178,1,PRD-00965,CLI-0547,3480.00,626.40,142.68,27.84,2683.08,8,2219.54
SRC-SALE-000179,2025-06-12,NF-000179,1,PRD-00978,CLI-0564,3515.00,632.70,151.15,28.12,2703.03,9,2256.63
SRC-SALE-000180,2025-07-13,NF-000180,1,PRD-00991,CLI-0581,3266.00,587.88,114.31,26.13,2537.68,1,2110.49
SRC-SALE-000181,2025-08-14,NF-000181,1,PRD-01004,CLI-0598,3585.00,645.30,132.65,28.68,2778.37,2,2331.68
SRC-SALE-000182,2025-09-15,NF-000182,1,PRD-01017,CLI-0615,3598.28,647.69,140.33,32.74,2777.52,3,2355.43
SRC-SALE-000183,2025-10-16,NF-000183,1,PRD-01030,CLI-0012,3611.14,650.01,148.06,36.83,2776.24,4,2379.02
SRC-SALE-000184,2025-11-17,NF-000184,1,PRD-01043,CLI-0029,4275.82,769.65,183.86,48.32,3273.99,5,2834.87
SRC-SALE-000185,2025-12-18,NF-000185,1,PRD-01056,CLI-0046,4290.01,772.20,150.15,53.20,3314.46,6,2862.29
SRC-SALE-000186,2026-01-19,NF-000186,1,PRD-01069,CLI-0063,3355.42,603.98,124.15,45.30,2581.99,7,2252.83
SRC-SALE-000187,2026-02-20,NF-000187,1,PRD-01082,CLI-0080,3365.71,605.83,131.26,49.14,2579.48,8,2273.87
SRC-SALE-000188,2026-03-21,NF-000188,1,PRD-01095,CLI-0097,3962.67,713.28,162.47,62.21,3024.71,9,2693.82
SRC-SALE-000189,2026-04-22,NF-000189,1,PRD-01108,CLI-0114,3973.84,715.29,170.88,66.76,3020.91,1,2718.11
SRC-SALE-000190,2026-05-23,NF-000190,1,PRD-01121,CLI-0131,3689.40,664.09,129.13,66.04,2830.14,2,2539.05
SRC-SALE-000191,2026-06-24,NF-000191,1,PRD-01134,CLI-0148,3698.90,665.80,136.86,70.28,2825.96,3,2561.12
SRC-SALE-000192,2026-07-25,NF-000192,1,PRD-01147,CLI-0165,3411.34,614.04,133.04,68.57,2595.69,4,2376.34
SRC-SALE-000193,2024-08-26,NF-000193,1,PRD-01160,CLI-0182,4005.00,720.90,164.21,32.04,3087.85,5,2403.00
SRC-SALE-000194,2024-09-27,NF-000194,1,PRD-01173,CLI-0199,4040.00,727.20,173.72,32.32,3106.76,6,2440.97
SRC-SALE-000195,2024-10-28,NF-000195,1,PRD-01186,CLI-0216,4075.00,733.50,142.63,32.60,3166.27,7,2479.23
SRC-SALE-000196,2024-11-01,NF-000196,1,PRD-01199,CLI-0233,4849.80,872.96,179.44,38.80,3758.60,8,2970.99
SRC-SALE-000197,2024-12-02,NF-000197,1,PRD-01212,CLI-0250,4891.10,880.40,190.75,39.13,3780.82,9,3016.83
SRC-SALE-000198,2025-01-03,NF-000198,1,PRD-01225,CLI-0267,3845.60,692.21,157.67,30.76,2964.96,1,2388.12
SRC-SALE-000199,2025-02-04,NF-000199,1,PRD-01238,CLI-0284,3877.80,698.00,166.75,31.02,2982.03,2,2424.40
SRC-SALE-000200,2025-03-05,NF-000200,1,PRD-01251,CLI-0006,4590.00,826.20,160.65,36.72,3566.43,3,2888.95
