receipt_id,receivable_id,customer_external_id,received_date,amount_received,payment_method
RC-0000116,AR-0000118,CLI-0231,2024-11-20,1515.15,Transferencia
RC-0000117,AR-0000119,CLI-0248,2024-12-06,1524.81,Boleto
RC-0000118,AR-0000120,CLI-0248,2024-12-21,1524.81,Boleto
RC-0000119,AR-0000121,CLI-0265,2025-01-08,1207.06,PIX
RC-0000120,AR-0000122,CLI-0265,2025-01-23,1207.06,PIX
RC-0000121,AR-0000123,CLI-0265,2025-02-07,1207.06,PIX
RC-0000122,AR-0000124,CLI-0282,2025-02-09,1821.84,Transferencia
RC-0000123,AR-0000125,CLI-0282,2025-02-24,1821.84,Transferencia
RC-0000124,AR-0000126,CLI-0299,2025-03-23,1429.12,Boleto
RC-0000125,AR-0000127,CLI-0299,2025-04-07,1429.12,Boleto
RC-0000126,AR-0000128,CLI-0316,2025-04-12,1456.48,PIX
RC-0000127,AR-0000129,CLI-0316,2025-04-27,1456.48,PIX
RC-0000128,AR-0000130,CLI-0333,2025-04-13,1146.69,Transferencia
RC-0000129,AR-0000131,CLI-0333,2025-04-28,1146.69,Transferencia
RC-0000130,AR-0000132,CLI-0333,2025-05-13,1146.69,Transferencia
RC-0000131,AR-0000133,CLI-0350,2025-05-15,1730.20,Boleto
RC-0000132,AR-0000134,CLI-0350,2025-05-30,1730.20,Boleto
RC-0000133,AR-0000135,CLI-0367,2025-06-15,1611.39,PIX
RC-0000134,AR-0000136,CLI-0367,2025-06-30,1611.39,PIX
RC-0000135,AR-0000137,CLI-0384,2025-07-17,1620.66,Transferencia
RC-0000136,AR-0000138,CLI-0384,2025-08-01,1620.66,Transferencia
RC-0000137,AR-0000139,CLI-0401,2025-08-17,607.61,Boleto
RC-0000138,AR-0000140,CLI-0401,2025-09-01,607.61,Boleto
RC-0000139,AR-0000141,CLI-0401,2025-09-16,607.61,Boleto
RC-0000140,AR-0000142,CLI-0401,2025-10-01,607.61,Boleto
RC-0000141,AR-0000143,CLI-0401,2025-10-16,607.61,Boleto
RC-0000142,AR-0000144,CLI-0418,2025-09-19,1660.44,PIX
RC-0000143,AR-0000145,CLI-0418,2025-10-04,1660.44,PIX
RC-0000144,AR-0000146,CLI-0435,2025-10-22,1657.30,Transferencia
RC-0000145,AR-0000147,CLI-0435,2025-11-06,1657.30,Transferencia
RC-0000146,AR-0000148,CLI-0452,2025-11-20,1653.98,Boleto
RC-0000147,AR-0000149,CLI-0452,2025-12-05,1653.98,Boleto
RC-0000148,AR-0000150,CLI-0469,2025-12-22,1298.36,PIX
RC-0000149,AR-0000151,CLI-0469,2026-01-06,1298.36,PIX
RC-0000150,AR-0000152,CLI-0469,2026-01-21,1298.36,PIX
RC-0000151,AR-0000153,CLI-0486,2026-01-30,1968.66,Transferencia
RC-0000152,AR-0000154,CLI-0486,2026-02-14,1968.66,Transferencia
RC-0000153,AR-0000155,CLI-0503,2026-03-04,1531.34,Boleto
RC-0000154,AR-0000156,CLI-0503,2026-03-19,1531.34,Boleto
RC-0000155,AR-0000159,CLI-0537,2026-05-06,1192.51,Transferencia
RC-0000156,AR-0000160,CLI-0537,2026-05-21,1192.51,Transferencia
RC-0000157,AR-0000161,CLI-0537,2026-06-05,1192.51,Transferencia
RC-0000158,AR-0000162,CLI-0554,2026-06-08,1784.02,Boleto
RC-0000159,AR-0000163,CLI-0554,2026-06-23,1784.02,Boleto
RC-0000160,AR-0000164,CLI-0571,2026-07-10,780.10,PIX
RC-0000161,AR-0000165,CLI-0571,2026-07-25,780.10,PIX
RC-0000162,AR-0000166,CLI-0588,2026-08-12,784.60,Transferencia
RC-0000163,AR-0000167,CLI-0588,2026-08-27,784.60,Transferencia
RC-0000164,AR-0000168,CLI-0605,2026-09-04,362.87,Boleto
RC-0000165,AR-0000169,CLI-0605,2026-09-19,362.87,Boleto
RC-0000166,AR-0000170,CLI-0605,2026-10-04,362.87,Boleto
RC-0000167,AR-0000171,CLI-0605,2026-10-19,362.87,Boleto
RC-0000168,AR-0000172,CLI-0002,2024-09-30,869.30,PIX
RC-0000169,AR-0000173,CLI-0002,2024-10-15,869.30,PIX
RC-0000170,AR-0000174,CLI-0019,2024-11-01,880.50,Transferencia
RC-0000171,AR-0000175,CLI-0019,2024-11-16,880.50,Transferencia
RC-0000172,AR-0000176,CLI-0036,2024-12-02,903.26,Boleto
RC-0000173,AR-0000177,CLI-0036,2024-12-17,903.26,Boleto
RC-0000174,AR-0000178,CLI-0053,2025-01-03,719.41,PIX
RC-0000175,AR-0000179,CLI-0053,2025-01-18,719.41,PIX
RC-0000176,AR-0000180,CLI-0053,2025-02-02,719.41,PIX
RC-0000177,AR-0000181,CLI-0070,2025-02-03,1092.28,Transferencia
RC-0000178,AR-0000182,CLI-0070,2025-02-18,1092.28,Transferencia
RC-0000179,AR-0000183,CLI-0087,2025-03-07,861.82,Boleto
RC-0000180,AR-0000184,CLI-0087,2025-03-22,861.82,Boleto
RC-0000181,AR-0000187,CLI-0121,2025-05-09,524.48,Transferencia
RC-0000182,AR-0000188,CLI-0121,2025-05-24,524.48,Transferencia
RC-0000183,AR-0000189,CLI-0121,2025-06-08,524.48,Transferencia
RC-0000184,AR-0000190,CLI-0121,2025-06-23,524.48,Transferencia
RC-0000185,AR-0000191,CLI-0138,2025-06-08,1060.90,Boleto
RC-0000186,AR-0000192,CLI-0138,2025-06-23,1060.90,Boleto
RC-0000187,AR-0000193,CLI-0155,2025-07-09,993.30,PIX
RC-0000188,AR-0000194,CLI-0155,2025-07-24,993.30,PIX
RC-0000189,AR-0000195,CLI-0172,2025-08-10,1004.22,Transferencia
RC-0000190,AR-0000196,CLI-0172,2025-08-25,1004.22,Transferencia
RC-0000191,AR-0000197,CLI-0189,2025-08-13,466.94,Boleto
RC-0000192,AR-0000198,CLI-0189,2025-08-28,466.94,Boleto
RC-0000193,AR-0000199,CLI-0189,2025-09-12,466.94,Boleto
RC-0000194,AR-0000200,CLI-0189,2025-09-27,466.94,Boleto
RC-0000195,AR-0000201,CLI-0206,2025-09-14,1039.24,PIX
RC-0000196,AR-0000202,CLI-0206,2025-09-29,1039.24,PIX
RC-0000197,AR-0000203,CLI-0223,2025-10-16,1042.34,Transferencia
RC-0000198,AR-0000204,CLI-0223,2025-10-31,1042.34,Transferencia
RC-0000199,AR-0000205,CLI-0240,2025-11-16,1045.23,Boleto
RC-0000200,AR-0000206,CLI-0240,2025-12-01,1045.23,Boleto
RC-0000201,AR-0000207,CLI-0257,2025-12-19,824.34,PIX
RC-0000202,AR-0000208,CLI-0257,2026-01-03,824.34,PIX
RC-0000203,AR-0000209,CLI-0257,2026-01-18,824.34,PIX
RC-0000204,AR-0000210,CLI-0274,2026-02-01,1239.40,Transferencia
RC-0000205,AR-0000211,CLI-0274,2026-02-16,1239.40,Transferencia
RC-0000206,AR-0000212,CLI-0291,2026-02-25,981.09,Boleto
RC-0000207,AR-0000213,CLI-0291,2026-03-12,981.09,Boleto
RC-0000208,AR-0000214,CLI-0308,2026-03-30,983.03,PIX
RC-0000209,AR-0000215,CLI-0308,2026-04-14,983.03,PIX
RC-0000210,AR-0000219,CLI-0342,2026-06-01,1157.86,Boleto
RC-0000211,AR-0000220,CLI-0342,2026-06-16,1157.86,Boleto
RC-0000212,AR-0000221,CLI-0359,2026-07-03,1073.57,PIX
RC-0000213,AR-0000222,CLI-0359,2026-07-18,1073.57,PIX
RC-0000214,AR-0000223,CLI-0376,2026-08-05,1089.06,Transferencia
RC-0000215,AR-0000224,CLI-0376,2026-08-20,1089.06,Transferencia
RC-0000216,AR-0000225,CLI-0393,2026-09-06,501.49,Boleto
RC-0000217,AR-0000226,CLI-0393,2026-09-21,501.49,Boleto
RC-0000218,AR-0000227,CLI-0393,2026-10-06,501.49,Boleto
RC-0000219,AR-0000228,CLI-0393,2026-10-21,501.49,Boleto
RC-0000220,AR-0000229,CLI-0410,2024-09-27,1196.22,PIX
RC-0000221,AR-0000230,CLI-0410,2024-10-12,1196.22,PIX
RC-0000222,AR-0000231,CLI-0427,2024-10-30,1206.62,Transferencia
RC-0000223,AR-0000232,CLI-0427,2024-11-14,1206.62,Transferencia
RC-0000224,AR-0000233,CLI-0444,2024-11-28,1216.94,Boleto
RC-0000225,AR-0000234,CLI-0444,2024-12-13,1216.94,Boleto
RC-0000226,AR-0000235,CLI-0011,2024-12-30,733.49,PIX
RC-0000227,AR-0000236,CLI-0011,2025-01-14,733.49,PIX
RC-0000228,AR-0000237,CLI-0011,2025-01-29,733.49,PIX
RC-0000229,AR-0000238,CLI-0011,2025-02-13,733.49,PIX
RC-0000230,AR-0000239,CLI-0012,2025-01-30,2958.41,Transferencia
RC-0000231,AR-0000240,CLI-0013,2025-03-18,2325.49,Boleto
RC-0000232,AR-0000241,CLI-0014,2025-04-04,2344.31,PIX
RC-0000233,AR-0000242,CLI-0015,2025-05-03,1386.96,Transferencia
RC-0000234,AR-0000243,CLI-0015,2025-05-18,1386.96,Transferencia
RC-0000235,AR-0000244,CLI-0001,2025-06-04,2832.16,Boleto
RC-0000236,AR-0000245,CLI-0002,2025-07-06,2642.75,PIX
RC-0000237,AR-0000246,CLI-0003,2025-08-08,2662.98,Transferencia
RC-0000238,AR-0000247,CLI-0004,2025-09-06,822.81,Boleto
RC-0000239,AR-0000248,CLI-0004,2025-09-21,822.81,Boleto
RC-0000240,AR-0000249,CLI-0004,2025-10-06,822.81,Boleto
RC-0000241,AR-0000250,CLI-0005,2025-10-08,2703.03,PIX
RC-0000242,AR-0000251,CLI-0006,2025-11-09,2737.92,Transferencia
RC-0000243,AR-0000252,CLI-0007,2025-12-10,2737.24,Boleto
RC-0000244,AR-0000253,CLI-0008,2025-12-14,1614.34,PIX
RC-0000245,AR-0000254,CLI-0008,2025-12-29,1614.34,PIX
RC-0000246,AR-0000255,CLI-0009,2026-01-25,3226.92,Transferencia
RC-0000247,AR-0000256,CLI-0010,2026-02-27,2514.18,Boleto
RC-0000248,AR-0000257,CLI-0011,2026-04-01,2545.12,PIX
RC-0000249,AR-0000258,CLI-0012,2026-05-01,1492.49,Transferencia
RC-0000250,AR-0000259,CLI-0012,2026-05-16,1492.49,Transferencia
RC-0000251,AR-0000261,CLI-0014,2026-06-26,2757.61,PIX
RC-0000252,AR-0000262,CLI-0015,2026-07-29,2753.89,Transferencia
RC-0000253,AR-0000263,CLI-0001,2026-08-30,640.83,Boleto
RC-0000254,AR-0000264,CLI-0001,2026-09-14,640.83,Boleto
RC-0000255,AR-0000265,CLI-0001,2026-09-29,640.83,Boleto
RC-0000256,AR-0000266,CLI-0001,2026-10-14,640.83,Boleto
RC-0000257,AR-0000267,CLI-0002,2024-09-22,3049.62,PIX
RC-0000258,AR-0000268,CLI-0003,2024-10-24,3068.81,Transferencia
RC-0000259,AR-0000269,CLI-0004,2024-11-24,3087.85,Boleto
RC-0000260,AR-0000270,CLI-0005,2024-12-27,1832.98,PIX
RC-0000261,AR-0000271,CLI-0005,2025-01-11,1832.98,PIX
RC-0000262,AR-0000272,CLI-0006,2025-01-28,3736.20,Transferencia
RC-0000263,AR-0000273,CLI-0007,2025-02-27,2930.43,Boleto
RC-0000264,AR-0000274,CLI-0008,2025-03-31,2947.76,PIX
RC-0000265,AR-0000275,CLI-0009,2025-04-29,1740.30,Transferencia
RC-0000266,AR-0000276,CLI-0009,2025-05-14,1740.30,Transferencia
RC-0000267,AR-0000277,CLI-0010,2025-05-31,3500.64,Boleto
RC-0000268,AR-0000278,CLI-0011,2025-07-01,3302.25,PIX
RC-0000269,AR-0000279,CLI-0012,2025-08-02,3320.87,Transferencia
RC-0000270,AR-0000283,CLI-0014,2025-10-05,3357.70,PIX
RC-0000271,AR-0000284,CLI-0015,2025-11-07,3350.85,Transferencia
RC-0000272,AR-0000285,CLI-0436,2025-12-06,3387.35,Boleto
RC-0000273,AR-0000286,CLI-0453,2026-01-07,1994.10,PIX
RC-0000274,AR-0000287,CLI-0453,2026-01-22,1994.10,PIX
RC-0000275,AR-0000288,CLI-0470,2026-02-15,3978.89,Transferencia
RC-0000276,AR-0000289,CLI-0487,2026-03-20,3094.59,Boleto
RC-0000277,AR-0000290,CLI-0504,2026-04-22,3086.66,PIX
RC-0000278,AR-0000291,CLI-0521,2026-04-24,570.43,Transferencia
RC-0000279,AR-0000292,CLI-0521,2026-05-09,570.43,Transferencia
RC-0000280,AR-0000293,CLI-0521,2026-05-24,570.43,Transferencia
RC-0000281,AR-0000294,CLI-0538,2026-05-27,1721.29,Boleto
RC-0000282,AR-0000295,CLI-0555,2026-06-28,1602.61,PIX
RC-0000283,AR-0000297,CLI-0589,2026-08-23,496.46,Boleto
RC-0000284,AR-0000298,CLI-0589,2026-09-07,496.46,Boleto
RC-0000285,AR-0000299,CLI-0589,2026-09-22,496.46,Boleto
RC-0000286,AR-0000300,CLI-0606,2024-09-18,1806.52,PIX
RC-0000287,AR-0000301,CLI-0003,2024-10-20,1829.00,Transferencia
RC-0000288,AR-0000302,CLI-0020,2024-11-20,1851.33,Boleto
RC-0000289,AR-0000303,CLI-0037,2024-12-22,1105.38,PIX
RC-0000290,AR-0000304,CLI-0037,2025-01-06,1105.38,PIX
RC-0000291,AR-0000305,CLI-0054,2025-01-22,2236.79,Transferencia
RC-0000292,AR-0000306,CLI-0071,2025-02-23,1787.10,Boleto
RC-0000293,AR-0000307,CLI-0088,2025-03-28,1807.45,PIX
RC-0000294,AR-0000308,CLI-0105,2025-04-27,1072.77,Transferencia
RC-0000295,AR-0000309,CLI-0105,2025-05-12,1072.77,Transferencia
RC-0000296,AR-0000310,CLI-0122,2025-05-27,2169.13,Boleto
RC-0000297,AR-0000311,CLI-0139,2025-06-27,2030.16,PIX
RC-0000298,AR-0000312,CLI-0156,2025-08-12,2078.47,Transferencia
RC-0000299,AR-0000313,CLI-0173,2025-08-29,644.07,Boleto
RC-0000300,AR-0000314,CLI-0173,2025-09-13,644.07,Boleto
RC-0000301,AR-0000315,CLI-0173,2025-09-28,644.07,Boleto
RC-0000302,AR-0000316,CLI-0190,2025-09-30,2121.88,PIX
RC-0000303,AR-0000317,CLI-0207,2025-11-01,2127.47,Transferencia
RC-0000304,AR-0000318,CLI-0224,2025-12-02,2132.64,Boleto
RC-0000305,AR-0000319,CLI-0241,2026-01-04,851.71,PIX
RC-0000306,AR-0000320,CLI-0241,2026-01-19,851.71,PIX
RC-0000307,AR-0000321,CLI-0241,2026-02-03,851.71,PIX
RC-0000308,AR-0000322,CLI-0258,2026-02-17,2560.39,Transferencia
RC-0000309,AR-0000323,CLI-0275,2026-03-13,1999.95,Boleto
RC-0000310,AR-0000324,CLI-0292,2026-04-15,2003.29,PIX
RC-0000311,AR-0000325,CLI-0309,2026-05-15,1177.57,Transferencia
RC-0000312,AR-0000326,CLI-0309,2026-05-30,1177.57,Transferencia
RC-0000313,AR-0000327,CLI-0326,2026-06-17,2389.24,Boleto
RC-0000314,AR-0000328,CLI-0343,2026-07-19,2214.77,PIX
RC-0000315,AR-0000329,CLI-0360,2026-08-21,2216.89,Transferencia
RC-0000316,AR-0000333,CLI-0394,2024-09-15,2433.88,PIX
RC-0000317,AR-0000334,CLI-0411,2024-10-18,2486.40,Transferencia
RC-0000318,AR-0000335,CLI-0428,2024-11-16,2507.12,Boleto
RC-0000319,AR-0000336,CLI-0445,2024-12-18,1491.34,PIX
RC-0000320,AR-0000337,CLI-0445,2025-01-02,1491.34,PIX
RC-0000321,AR-0000338,CLI-0462,2025-01-18,3006.82,Transferencia
RC-0000322,AR-0000339,CLI-0479,2025-02-19,2362.99,Boleto
RC-0000323,AR-0000340,CLI-0496,2025-03-23,2412.58,PIX
RC-0000324,AR-0000341,CLI-0513,2025-04-21,1427.09,Transferencia
RC-0000325,AR-0000342,CLI-0513,2025-05-06,1427.09,Transferencia
RC-0000326,AR-0000343,CLI-0530,2025-05-23,2876.03,Boleto
RC-0000327,AR-0000344,CLI-0547,2025-06-24,2683.08,PIX
RC-0000328,AR-0000345,CLI-0564,2025-07-27,2703.03,Transferencia
RC-0000329,AR-0000346,CLI-0581,2025-08-25,634.42,Boleto
RC-0000330,AR-0000347,CLI-0581,2025-09-09,634.42,Boleto
RC-0000331,AR-0000348,CLI-0581,2025-09-24,634.42,Boleto
RC-0000332,AR-0000349,CLI-0581,2025-10-09,634.42,Boleto
RC-0000333,AR-0000350,CLI-0598,2025-10-09,2778.37,PIX
RC-0000334,AR-0000351,CLI-0615,2025-10-28,2777.52,Transferencia
RC-0000335,AR-0000352,CLI-0012,2025-11-28,2776.24,Boleto
RC-0000336,AR-0000353,CLI-0029,2025-12-30,1637.00,PIX
RC-0000337,AR-0000354,CLI-0029,2026-01-14,1637.00,PIX
RC-0000338,AR-0000355,CLI-0046,2026-02-10,3314.46,Transferencia
RC-0000339,AR-0000356,CLI-0063,2026-03-15,2581.99,Boleto
RC-0000340,AR-0000357,CLI-0080,2026-04-17,2579.48,PIX
RC-0000341,AR-0000358,CLI-0097,2026-05-17,1512.36,Transferencia
RC-0000342,AR-0000359,CLI-0097,2026-06-01,1512.36,Transferencia
RC-0000343,AR-0000360,CLI-0114,2026-06-10,3020.91,Boleto
RC-0000344,AR-0000361,CLI-0131,2026-07-12,2830.14,PIX
RC-0000345,AR-0000362,CLI-0148,2026-08-14,2825.96,Transferencia
RC-0000346,AR-0000363,CLI-0165,2026-09-15,865.23,Boleto
RC-0000347,AR-0000364,CLI-0165,2026-09-30,865.23,Boleto
RC-0000348,AR-0000365,CLI-0165,2026-10-15,865.23,Boleto
RC-0000349,AR-0000366,CLI-0182,2024-10-24,3087.85,PIX
RC-0000350,AR-0000367,CLI-0199,2024-11-09,3106.76,Transferencia
RC-0000351,AR-0000368,CLI-0216,2024-12-10,3166.27,Boleto
RC-0000352,AR-0000369,CLI-0233,2024-12-15,1879.30,PIX
RC-0000353,AR-0000370,CLI-0233,2024-12-30,1879.30,PIX
RC-0000354,AR-0000371,CLI-0250,2025-01-16,3780.82,Transferencia
RC-0000355,AR-0000372,CLI-0267,2025-02-15,2964.96,Boleto
RC-0000356,AR-0000373,CLI-0284,2025-03-19,2982.03,PIX
RC-0000357,AR-0000374,CLI-0006,2025-04-17,1188.81,Transferencia
RC-0000358,AR-0000375,CLI-0006,2025-05-02,1188.81,Transferencia
RC-0000359,AR-0000376,CLI-0006,2025-05-17,1188.81,Transferencia
RC-0000360,AR-0000377,CLI-0007,2025-05-19,3586.55,Boleto
RC-0000361,AR-0000378,CLI-0008,2025-06-19,3339.36,PIX
RC-0000362,AR-0000379,CLI-0009,2025-07-21,3357.70,Transferencia
RC-0000363,AR-0000380,CLI-0010,2025-08-21,1035.28,Boleto
RC-0000364,AR-0000381,CLI-0010,2025-09-05,1035.28,Boleto
RC-0000365,AR-0000382,CLI-0010,2025-09-20,1035.28,Boleto
RC-0000366,AR-0000383,CLI-0011,2025-09-23,3438.22,PIX
RC-0000367,AR-0000384,CLI-0012,2025-10-26,3430.89,Transferencia
RC-0000368,AR-0000385,CLI-0013,2025-12-06,3423.17,Boleto
RC-0000369,AR-0000386,CLI-0014,2025-12-26,2014.90,PIX
RC-0000370,AR-0000387,CLI-0014,2026-01-10,2014.90,PIX
