source_record_id,sku,name,category,unit_of_measure,status,default_cost,default_price,tax_profile_ref,external_id
SRC-PROD-00060,SKU-NDB-00060,Cabos e Fios Modelo 0060,Cabos e Fios,UN,active,62.00,85.56,ICMS18,PRD-00060
SRC-PROD-00061,SKU-NDB-00061,Disjuntores Modelo 0061,Disjuntores,CX,active,62.90,86.80,ICMS18,PRD-00061
SRC-PROD-00062,SKU-NDB-00062,Tomadas e Interruptores Modelo 0062,Tomadas e Interruptores,MT,active,63.80,88.04,ICMS18,PRD-00062
SRC-PROD-00063,SKU-NDB-00063,Iluminacao LED Modelo 0063,Iluminacao LED,RL,active,64.70,82.82,ICMS18,PRD-00063
SRC-PROD-00064,SKU-NDB-00064,Conexoes PVC Modelo 0064,Conexoes PVC,UN,active,65.60,90.53,ICMS18,PRD-00064
SRC-PROD-00065,SKU-NDB-00065,Tubos e Eletrodutos Modelo 0065,Tubos e Eletrodutos,CX,active,66.50,91.77,ICMS18,PRD-00065
SRC-PROD-00066,SKU-NDB-00066,Bombas Hidraulicas Modelo 0066,Bombas Hidraulicas,MT,active,67.40,93.01,ICMS18,PRD-00066
SRC-PROD-00067,SKU-NDB-00067,Ferramentas Modelo 0067,Ferramentas,RL,active,68.30,94.25,ICMS18,PRD-00067
SRC-PROD-00068,SKU-NDB-00068,Fixacao Modelo 0068,Fixacao,UN,active,69.20,95.50,ICMS18,PRD-00068
SRC-PROD-00069,SKU-NDB-00069,Painel Eletrico Modelo 0069,Painel Eletrico,CX,active,70.10,96.74,ICMS18,PRD-00069
SRC-PROD-00070,SKU-NDB-00070,Valvulas Modelo 0070,Valvulas,MT,active,71.00,90.88,ICMS18,PRD-00070
SRC-PROD-00071,SKU-NDB-00071,Acessorios Hidraulicos Modelo 0071,Acessorios Hidraulicos,RL,active,71.90,99.22,ICMS18,PRD-00071
SRC-PROD-00072,SKU-NDB-00072,Cabos e Fios Modelo 0072,Cabos e Fios,UN,active,72.80,100.46,ICMS18,PRD-00072
SRC-PROD-00073,SKU-NDB-00073,Disjuntores Modelo 0073,Disjuntores,CX,active,73.70,101.71,ICMS18,PRD-00073
SRC-PROD-00074,SKU-NDB-00074,Tomadas e Interruptores Modelo 0074,Tomadas e Interruptores,MT,active,74.60,102.95,ICMS18,PRD-00074
SRC-PROD-00075,SKU-NDB-00075,Iluminacao LED Modelo 0075,Iluminacao LED,RL,active,75.50,104.19,ICMS18,PRD-00075
SRC-PROD-00076,SKU-NDB-00076,Conexoes PVC Modelo 0076,Conexoes PVC,UN,active,76.40,105.43,ICMS18,PRD-00076
SRC-PROD-00077,SKU-NDB-00077,Tubos e Eletrodutos Modelo 0077,Tubos e Eletrodutos,CX,active,77.30,98.94,ICMS18,PRD-00077
SRC-PROD-00078,SKU-NDB-00078,Bombas Hidraulicas Modelo 0078,Bombas Hidraulicas,MT,active,78.20,107.92,ICMS18,PRD-00078
SRC-PROD-00079,SKU-NDB-00079,Ferramentas Modelo 0079,Ferramentas,RL,active,79.10,109.16,ICMS18,PRD-00079
SRC-PROD-00080,SKU-NDB-00080,Fixacao Modelo 0080,Fixacao,UN,active,80.00,110.40,ICMS18,PRD-00080
SRC-PROD-00081,SKU-NDB-00081,Painel Eletrico Modelo 0081,Painel Eletrico,CX,active,80.90,111.64,ICMS18,PRD-00081
SRC-PROD-00082,SKU-NDB-00082,Valvulas Modelo 0082,Valvulas,MT,inactive,81.80,112.88,ICMS18,PRD-00082
SRC-PROD-00083,SKU-NDB-00083,Acessorios Hidraulicos Modelo 0083,Acessorios Hidraulicos,RL,active,82.70,114.13,ICMS18,PRD-00083
SRC-PROD-00084,SKU-NDB-00084,Cabos e Fios Modelo 0084,Cabos e Fios,UN,active,83.60,107.01,ICMS18,PRD-00084
SRC-PROD-00085,SKU-NDB-00085,Disjuntores Modelo 0085,Disjuntores,CX,active,84.50,116.61,ICMS18,PRD-00085
SRC-PROD-00086,SKU-NDB-00086,Tomadas e Interruptores Modelo 0086,Tomadas e Interruptores,MT,active,85.40,117.85,ICMS18,PRD-00086
SRC-PROD-00087,SKU-NDB-00087,Iluminacao LED Modelo 0087,Iluminacao LED,RL,active,86.30,119.09,ICMS18,PRD-00087
SRC-PROD-00088,SKU-NDB-00088,Conexoes PVC Modelo 0088,Conexoes PVC,UN,active,87.20,120.34,ICMS18,PRD-00088
SRC-PROD-00089,SKU-NDB-00089,Tubos e Eletrodutos Modelo 0089,Tubos e Eletrodutos,CX,active,88.10,121.58,ICMS18,PRD-00089
SRC-PROD-00090,SKU-NDB-00090,Bombas Hidraulicas Modelo 0090,Bombas Hidraulicas,MT,active,89.00,122.82,ICMS18,PRD-00090
SRC-PROD-00091,SKU-NDB-00091,Ferramentas Modelo 0091,Ferramentas,RL,active,89.90,115.07,ICMS18,PRD-00091
SRC-PROD-00092,SKU-NDB-00092,Fixacao Modelo 0092,Fixacao,UN,active,90.80,125.30,ICMS18,PRD-00092
SRC-PROD-00093,SKU-NDB-00093,Painel Eletrico Modelo 0093,Painel Eletrico,CX,active,91.70,126.55,ICMS18,PRD-00093
SRC-PROD-00094,SKU-NDB-00094,Valvulas Modelo 0094,Valvulas,MT,active,92.60,127.79,ICMS18,PRD-00094
SRC-PROD-00095,SKU-NDB-00095,Acessorios Hidraulicos Modelo 0095,Acessorios Hidraulicos,RL,active,93.50,129.03,ICMS18,PRD-00095
SRC-PROD-00096,SKU-NDB-00096,Cabos e Fios Modelo 0096,Cabos e Fios,UN,active,94.40,130.27,ICMS18,PRD-00096
SRC-PROD-00097,SKU-NDB-00097,Disjuntores Modelo 0097,Disjuntores,CX,active,95.30,131.51,ICMS18,PRD-00097
SRC-PROD-00098,SKU-NDB-00098,Tomadas e Interruptores Modelo 0098,Tomadas e Interruptores,MT,active,96.20,123.14,ICMS18,PRD-00098
SRC-PROD-00099,SKU-NDB-00099,Iluminacao LED Modelo 0099,Iluminacao LED,RL,active,97.10,134.00,ICMS18,PRD-00099
SRC-PROD-00100,SKU-NDB-00100,Conexoes PVC Modelo 0100,Conexoes PVC,UN,active,98.00,135.24,ICMS18,PRD-00100
SRC-PROD-00101,SKU-NDB-00101,Tubos e Eletrodutos Modelo 0101,Tubos e Eletrodutos,CX,active,98.90,136.48,ICMS18,PRD-00101
SRC-PROD-00102,SKU-NDB-00102,Bombas Hidraulicas Modelo 0102,Bombas Hidraulicas,MT,active,99.80,137.72,ICMS18,PRD-00102
SRC-PROD-00103,SKU-NDB-00103,Ferramentas Modelo 0103,Ferramentas,RL,active,100.70,138.97,ICMS18,PRD-00103
SRC-PROD-00104,SKU-NDB-00104,Fixacao Modelo 0104,Fixacao,UN,active,101.60,140.21,ICMS18,PRD-00104
SRC-PROD-00105,SKU-NDB-00105,Painel Eletrico Modelo 0105,Painel Eletrico,CX,active,102.50,131.20,ICMS18,PRD-00105
SRC-PROD-00106,SKU-NDB-00106,Valvulas Modelo 0106,Valvulas,MT,active,103.40,142.69,ICMS18,PRD-00106
SRC-PROD-00107,SKU-NDB-00107,Acessorios Hidraulicos Modelo 0107,Acessorios Hidraulicos,RL,active,104.30,143.93,ICMS18,PRD-00107
SRC-PROD-00108,SKU-NDB-00108,Cabos e Fios Modelo 0108,Cabos e Fios,UN,active,105.20,145.18,ICMS18,PRD-00108
SRC-PROD-00109,SKU-NDB-00109,Disjuntores Modelo 0109,Disjuntores,CX,active,106.10,146.42,ICMS18,PRD-00109
SRC-PROD-00110,SKU-NDB-00110,Tomadas e Interruptores Modelo 0110,Tomadas e Interruptores,MT,active,107.00,147.66,ICMS18,PRD-00110
SRC-PROD-00111,SKU-NDB-00111,Iluminacao LED Modelo 0111,Iluminacao LED,RL,active,107.90,148.90,ICMS18,PRD-00111
SRC-PROD-00112,SKU-NDB-00112,Conexoes PVC Modelo 0112,Conexoes PVC,UN,active,108.80,139.26,ICMS18,PRD-00112
SRC-PROD-00113,SKU-NDB-00113,Tubos e Eletrodutos Modelo 0113,Tubos e Eletrodutos,CX,active,109.70,151.39,ICMS18,PRD-00113
SRC-PROD-00114,SKU-NDB-00114,Bombas Hidraulicas Modelo 0114,Bombas Hidraulicas,MT,active,110.60,152.63,ICMS18,PRD-00114
SRC-PROD-00115,SKU-NDB-00115,Ferramentas Modelo 0115,Ferramentas,RL,active,111.50,153.87,ICMS18,PRD-00115
SRC-PROD-00116,SKU-NDB-00116,Fixacao Modelo 0116,Fixacao,UN,active,112.40,155.11,ICMS18,PRD-00116
SRC-PROD-00117,SKU-NDB-00117,Painel Eletrico Modelo 0117,Painel Eletrico,CX,active,113.30,156.35,ICMS18,PRD-00117
SRC-PROD-00118,SKU-NDB-00118,Valvulas Modelo 0118,Valvulas,MT,active,114.20,157.60,ICMS18,PRD-00118
SRC-PROD-00119,SKU-NDB-00119,Acessorios Hidraulicos Modelo 0119,Acessorios Hidraulicos,RL,active,115.10,147.33,ICMS18,PRD-00119
SRC-PROD-00120,SKU-NDB-00120,Cabos e Fios Modelo 0120,Cabos e Fios,UN,active,8.00,11.04,ICMS18,PRD-00120
SRC-PROD-00121,SKU-NDB-00121,Disjuntores Modelo 0121,Disjuntores,CX,active,8.90,12.28,ICMS18,PRD-00121
SRC-PROD-00122,SKU-NDB-00122,Tomadas e Interruptores Modelo 0122,Tomadas e Interruptores,MT,active,9.80,13.52,ICMS18,PRD-00122
SRC-PROD-00123,SKU-NDB-00123,Iluminacao LED Modelo 0123,Iluminacao LED,RL,inactive,10.70,14.77,ICMS18,PRD-00123
SRC-PROD-00124,SKU-NDB-00124,Conexoes PVC Modelo 0124,Conexoes PVC,UN,active,11.60,16.01,ICMS18,PRD-00124
SRC-PROD-00125,SKU-NDB-00125,Tubos e Eletrodutos Modelo 0125,Tubos e Eletrodutos,CX,active,12.50,17.25,ICMS18,PRD-00125
SRC-PROD-00126,SKU-NDB-00126,Bombas Hidraulicas Modelo 0126,Bombas Hidraulicas,MT,active,13.40,17.15,ICMS18,PRD-00126
SRC-PROD-00127,SKU-NDB-00127,Ferramentas Modelo 0127,Ferramentas,RL,active,14.30,19.73,ICMS18,PRD-00127
SRC-PROD-00128,SKU-NDB-00128,Fixacao Modelo 0128,Fixacao,UN,active,15.20,20.98,ICMS18,PRD-00128
SRC-PROD-00129,SKU-NDB-00129,Painel Eletrico Modelo 0129,Painel Eletrico,CX,active,16.10,22.22,ICMS18,PRD-00129
SRC-PROD-00130,SKU-NDB-00130,Valvulas Modelo 0130,Valvulas,MT,active,17.00,23.46,ICMS18,PRD-00130
SRC-PROD-00131,SKU-NDB-00131,Acessorios Hidraulicos Modelo 0131,Acessorios Hidraulicos,RL,active,17.90,24.70,ICMS18,PRD-00131
SRC-PROD-00132,SKU-NDB-00132,Cabos e Fios Modelo 0132,Cabos e Fios,UN,active,18.80,25.94,ICMS18,PRD-00132
SRC-PROD-00133,SKU-NDB-00133,Disjuntores Modelo 0133,Disjuntores,CX,active,19.70,25.22,ICMS18,PRD-00133
SRC-PROD-00134,SKU-NDB-00134,Tomadas e Interruptores Modelo 0134,Tomadas e Interruptores,MT,active,20.60,28.43,ICMS18,PRD-00134
SRC-PROD-00135,SKU-NDB-00135,Iluminacao LED Modelo 0135,Iluminacao LED,RL,active,21.50,29.67,ICMS18,PRD-00135
SRC-PROD-00136,SKU-NDB-00136,Conexoes PVC Modelo 0136,Conexoes PVC,UN,active,22.40,30.91,ICMS18,PRD-00136
SRC-PROD-00137,SKU-NDB-00137,Tubos e Eletrodutos Modelo 0137,Tubos e Eletrodutos,CX,active,23.30,32.15,ICMS18,PRD-00137
SRC-PROD-00138,SKU-NDB-00138,Bombas Hidraulicas Modelo 0138,Bombas Hidraulicas,MT,active,24.20,33.40,ICMS18,PRD-00138
SRC-PROD-00139,SKU-NDB-00139,Ferramentas Modelo 0139,Ferramentas,RL,active,25.10,34.64,ICMS18,PRD-00139
SRC-PROD-00140,SKU-NDB-00140,Fixacao Modelo 0140,Fixacao,UN,active,26.00,33.28,ICMS18,PRD-00140
SRC-PROD-00141,SKU-NDB-00141,Painel Eletrico Modelo 0141,Painel Eletrico,CX,active,26.90,37.12,ICMS18,PRD-00141
SRC-PROD-00142,SKU-NDB-00142,Valvulas Modelo 0142,Valvulas,MT,active,27.80,38.36,ICMS18,PRD-00142
SRC-PROD-00143,SKU-NDB-00143,Acessorios Hidraulicos Modelo 0143,Acessorios Hidraulicos,RL,active,28.70,39.61,ICMS18,PRD-00143
SRC-PROD-00144,SKU-NDB-00144,Cabos e Fios Modelo 0144,Cabos e Fios,UN,active,29.60,40.85,ICMS18,PRD-00144
SRC-PROD-00145,SKU-NDB-00145,Disjuntores Modelo 0145,Disjuntores,CX,active,30.50,42.09,ICMS18,PRD-00145
SRC-PROD-00146,SKU-NDB-00146,Tomadas e Interruptores Modelo 0146,Tomadas e Interruptores,MT,active,31.40,43.33,ICMS18,PRD-00146
SRC-PROD-00147,SKU-NDB-00147,Iluminacao LED Modelo 0147,Iluminacao LED,RL,active,32.30,41.34,ICMS18,PRD-00147
SRC-PROD-00148,SKU-NDB-00148,Conexoes PVC Modelo 0148,Conexoes PVC,UN,active,33.20,45.82,ICMS18,PRD-00148
SRC-PROD-00149,SKU-NDB-00149,Tubos e Eletrodutos Modelo 0149,Tubos e Eletrodutos,CX,active,34.10,47.06,ICMS18,PRD-00149
SRC-PROD-00150,SKU-NDB-00150,Bombas Hidraulicas Modelo 0150,Bombas Hidraulicas,MT,active,35.00,48.30,ICMS18,PRD-00150
SRC-PROD-00151,SKU-NDB-00151,Ferramentas Modelo 0151,Ferramentas,RL,active,35.90,49.54,ICMS18,PRD-00151
SRC-PROD-00152,SKU-NDB-00152,Fixacao Modelo 0152,Fixacao,UN,active,36.80,50.78,ICMS18,PRD-00152
SRC-PROD-00153,SKU-NDB-00153,Painel Eletrico Modelo 0153,Painel Eletrico,CX,active,37.70,52.03,ICMS18,PRD-00153
SRC-PROD-00154,SKU-NDB-00154,Valvulas Modelo 0154,Valvulas,MT,active,38.60,49.41,ICMS18,PRD-00154
SRC-PROD-00155,SKU-NDB-00155,Acessorios Hidraulicos Modelo 0155,Acessorios Hidraulicos,RL,active,39.50,54.51,ICMS18,PRD-00155
SRC-PROD-00156,SKU-NDB-00156,Cabos e Fios Modelo 0156,Cabos e Fios,UN,active,40.40,55.75,ICMS18,PRD-00156
SRC-PROD-00157,SKU-NDB-00157,Disjuntores Modelo 0157,Disjuntores,CX,active,41.30,56.99,ICMS18,PRD-00157
SRC-PROD-00158,SKU-NDB-00158,Tomadas e Interruptores Modelo 0158,Tomadas e Interruptores,MT,active,42.20,58.24,ICMS18,PRD-00158
SRC-PROD-00159,SKU-NDB-00159,Iluminacao LED Modelo 0159,Iluminacao LED,RL,active,43.10,59.48,ICMS18,PRD-00159
SRC-PROD-00160,SKU-NDB-00160,Conexoes PVC Modelo 0160,Conexoes PVC,UN,active,44.00,60.72,ICMS18,PRD-00160
SRC-PROD-00161,SKU-NDB-00161,Tubos e Eletrodutos Modelo 0161,Tubos e Eletrodutos,CX,active,44.90,57.47,ICMS18,PRD-00161
SRC-PROD-00162,SKU-NDB-00162,Bombas Hidraulicas Modelo 0162,Bombas Hidraulicas,MT,active,45.80,63.20,ICMS18,PRD-00162
SRC-PROD-00163,SKU-NDB-00163,Ferramentas Modelo 0163,Ferramentas,RL,active,46.70,64.45,ICMS18,PRD-00163
SRC-PROD-00164,SKU-NDB-00164,Fixacao Modelo 0164,Fixacao,UN,inactive,47.60,65.69,ICMS18,PRD-00164
SRC-PROD-00165,SKU-NDB-00165,Painel Eletrico Modelo 0165,Painel Eletrico,CX,active,48.50,66.93,ICMS18,PRD-00165
SRC-PROD-00166,SKU-NDB-00166,Valvulas Modelo 0166,Valvulas,MT,active,49.40,68.17,ICMS18,PRD-00166
SRC-PROD-00167,SKU-NDB-00167,Acessorios Hidraulicos Modelo 0167,Acessorios Hidraulicos,RL,active,50.30,69.41,ICMS18,PRD-00167
SRC-PROD-00168,SKU-NDB-00168,Cabos e Fios Modelo 0168,Cabos e Fios,UN,active,51.20,65.54,ICMS18,PRD-00168
SRC-PROD-00169,SKU-NDB-00169,Disjuntores Modelo 0169,Disjuntores,CX,active,52.10,71.90,ICMS18,PRD-00169
SRC-PROD-00170,SKU-NDB-00170,Tomadas e Interruptores Modelo 0170,Tomadas e Interruptores,MT,active,53.00,73.14,ICMS18,PRD-00170
SRC-PROD-00171,SKU-NDB-00171,Iluminacao LED Modelo 0171,Iluminacao LED,RL,active,53.90,74.38,ICMS18,PRD-00171
SRC-PROD-00172,SKU-NDB-00172,Conexoes PVC Modelo 0172,Conexoes PVC,UN,active,54.80,75.62,ICMS18,PRD-00172
SRC-PROD-00173,SKU-NDB-00173,Tubos e Eletrodutos Modelo 0173,Tubos e Eletrodutos,CX,active,55.70,76.87,ICMS18,PRD-00173
SRC-PROD-00174,SKU-NDB-00174,Bombas Hidraulicas Modelo 0174,Bombas Hidraulicas,MT,active,56.60,78.11,ICMS18,PRD-00174
SRC-PROD-00175,SKU-NDB-00175,Ferramentas Modelo 0175,Ferramentas,RL,active,57.50,73.60,ICMS18,PRD-00175
SRC-PROD-00176,SKU-NDB-00176,Fixacao Modelo 0176,Fixacao,UN,active,58.40,80.59,ICMS18,PRD-00176
SRC-PROD-00177,SKU-NDB-00177,Painel Eletrico Modelo 0177,Painel Eletrico,CX,active,59.30,81.83,ICMS18,PRD-00177
SRC-PROD-00178,SKU-NDB-00178,Valvulas Modelo 0178,Valvulas,MT,active,60.20,83.08,ICMS18,PRD-00178
SRC-PROD-00179,SKU-NDB-00179,Acessorios Hidraulicos Modelo 0179,Acessorios Hidraulicos,RL,active,61.10,84.32,ICMS18,PRD-00179
SRC-PROD-00180,SKU-NDB-00180,Cabos e Fios Modelo 0180,Cabos e Fios,UN,active,62.00,85.56,ICMS18,PRD-00180
SRC-PROD-00181,SKU-NDB-00181,Disjuntores Modelo 0181,Disjuntores,CX,active,62.90,86.80,ICMS18,PRD-00181
SRC-PROD-00182,SKU-NDB-00182,Tomadas e Interruptores Modelo 0182,Tomadas e Interruptores,MT,active,63.80,81.66,ICMS18,PRD-00182
SRC-PROD-00183,SKU-NDB-00183,Iluminacao LED Modelo 0183,Iluminacao LED,RL,active,64.70,89.29,ICMS18,PRD-00183
SRC-PROD-00184,SKU-NDB-00184,Conexoes PVC Modelo 0184,Conexoes PVC,UN,active,65.60,90.53,ICMS18,PRD-00184
SRC-PROD-00185,SKU-NDB-00185,Tubos e Eletrodutos Modelo 0185,Tubos e Eletrodutos,CX,active,66.50,91.77,ICMS18,PRD-00185
SRC-PROD-00186,SKU-NDB-00186,Bombas Hidraulicas Modelo 0186,Bombas Hidraulicas,MT,active,67.40,93.01,ICMS18,PRD-00186
SRC-PROD-00187,SKU-NDB-00187,Ferramentas Modelo 0187,Ferramentas,RL,active,68.30,94.25,ICMS18,PRD-00187
SRC-PROD-00188,SKU-NDB-00188,Fixacao Modelo 0188,Fixacao,UN,active,69.20,95.50,ICMS18,PRD-00188
