purchase_id,supplier_id,purchase_date,expected_delivery_date,actual_delivery_date,status,gross_amount,delay_days
PO-000044,SUP-051,2026-03-17,2026-04-04,2026-04-06,entregue,4202.50,2
PO-000045,SUP-056,2026-04-18,2026-05-07,2026-05-07,entregue,4280.40,0
PO-000046,SUP-061,2026-05-19,2026-06-08,2026-06-09,entregue,4358.98,1
PO-000047,SUP-066,2026-06-20,2026-07-11,2026-07-13,aberto,4438.22,2
PO-000048,SUP-071,2026-07-21,2026-08-12,2026-08-12,aberto,4518.14,0
PO-000049,SUP-076,2024-08-22,2024-09-14,2024-09-15,entregue,3858.00,1
PO-000050,SUP-081,2024-09-23,2024-10-17,2024-10-19,entregue,3931.20,2
PO-000051,SUP-001,2024-10-24,2024-11-18,2024-11-18,entregue,4005.07,0
PO-000052,SUP-006,2024-11-25,2024-12-21,2024-12-22,entregue,4079.62,1
PO-000053,SUP-011,2024-12-26,2025-01-22,2025-02-03,entregue,4154.83,12
PO-000054,SUP-016,2025-01-27,2025-02-06,2025-02-06,entregue,4230.72,0
PO-000055,SUP-021,2025-02-28,2025-03-11,2025-03-12,entregue,4307.28,1
PO-000056,SUP-026,2025-03-01,2025-03-13,2025-03-15,entregue,4384.51,2
PO-000057,SUP-031,2025-04-02,2025-04-15,2025-04-15,entregue,4462.42,0
PO-000058,SUP-036,2025-05-03,2025-05-17,2025-05-18,entregue,4540.99,1
PO-000059,SUP-041,2025-06-04,2025-06-19,2025-06-21,entregue,4620.24,2
PO-000060,SUP-046,2025-07-05,2025-07-21,2025-07-21,entregue,4700.16,0
PO-000061,SUP-051,2025-08-06,2025-08-23,2025-08-24,entregue,4780.75,1
PO-000062,SUP-056,2025-09-07,2025-09-25,2025-09-27,entregue,4862.02,2
PO-000063,SUP-061,2025-10-08,2025-10-27,2025-10-27,entregue,4943.95,0
PO-000064,SUP-066,2025-11-09,2025-11-29,2025-11-30,entregue,5026.56,1
PO-000065,SUP-071,2025-12-10,2025-12-31,2026-01-02,entregue,5109.84,2
PO-000066,SUP-076,2026-01-11,2026-02-02,2026-02-02,entregue,5193.79,0
PO-000067,SUP-081,2026-02-12,2026-03-07,2026-03-08,entregue,5278.42,1
PO-000068,SUP-001,2026-03-13,2026-04-06,2026-04-08,entregue,5363.71,2
PO-000069,SUP-006,2026-04-14,2026-05-09,2026-05-09,entregue,5449.68,0
PO-000070,SUP-011,2026-05-15,2026-06-10,2026-06-18,entregue,5536.32,8
PO-000071,SUP-016,2026-06-16,2026-07-13,2026-07-15,aberto,5623.63,2
PO-000072,SUP-021,2026-07-17,2026-07-27,2026-07-27,aberto,5711.62,0
PO-000073,SUP-026,2024-08-18,2024-08-29,2024-08-30,entregue,4866.00,1
PO-000074,SUP-031,2024-09-19,2024-10-01,2024-10-03,entregue,4947.26,2
PO-000075,SUP-036,2024-10-20,2024-11-02,2024-11-02,entregue,5029.20,0
PO-000076,SUP-041,2024-11-21,2024-12-05,2024-12-06,entregue,5111.81,1
PO-000077,SUP-046,2024-12-22,2025-01-06,2025-01-08,entregue,5195.09,2
PO-000078,SUP-051,2025-01-23,2025-02-08,2025-02-08,entregue,5279.04,0
PO-000079,SUP-056,2025-02-24,2025-03-13,2025-03-14,entregue,5363.66,1
PO-000080,SUP-061,2025-03-25,2025-04-12,2025-04-14,entregue,5448.96,2
PO-000081,SUP-066,2025-04-26,2025-05-15,2025-05-15,entregue,5534.93,0
PO-000082,SUP-071,2025-05-27,2025-06-16,2025-06-17,entregue,5621.57,1
PO-000083,SUP-076,2025-06-28,2025-07-19,2025-07-21,entregue,5708.88,2
PO-000084,SUP-081,2025-07-01,2025-07-23,2025-07-23,entregue,5796.86,0
PO-000085,SUP-001,2025-08-02,2025-08-25,2025-08-26,entregue,5885.52,1
PO-000086,SUP-006,2025-09-03,2025-09-27,2025-09-29,entregue,5974.85,2
PO-000087,SUP-011,2025-10-04,2025-10-29,2025-11-09,entregue,6064.85,11
PO-000088,SUP-016,2025-11-05,2025-12-01,2025-12-02,entregue,6155.52,1
PO-000089,SUP-021,2025-12-06,2026-01-02,2026-01-04,entregue,6246.86,2
PO-000090,SUP-026,2026-01-07,2026-01-17,2026-01-17,entregue,2044.80,0
PO-000091,SUP-031,2026-02-08,2026-02-19,2026-02-20,entregue,2107.25,1
PO-000092,SUP-036,2026-03-09,2026-03-21,2026-03-23,entregue,2170.37,2
PO-000093,SUP-041,2026-04-10,2026-04-23,2026-04-23,entregue,2234.16,0
PO-000094,SUP-046,2026-05-11,2026-05-25,2026-05-26,entregue,2298.62,1
PO-000095,SUP-051,2026-06-12,2026-06-27,2026-06-29,entregue,2363.76,2
PO-000096,SUP-056,2026-07-13,2026-07-29,2026-07-29,aberto,2429.57,0
PO-000097,SUP-061,2024-08-14,2024-08-31,2024-09-01,entregue,2094.00,1
PO-000098,SUP-066,2024-09-15,2024-10-03,2024-10-05,entregue,2153.09,2
PO-000099,SUP-071,2024-10-16,2024-11-04,2024-11-04,entregue,2212.85,0
PO-000100,SUP-076,2024-11-17,2024-12-07,2024-12-08,entregue,2273.28,1
PO-000101,SUP-081,2024-12-18,2025-01-08,2025-01-10,entregue,2334.38,2
PO-000102,SUP-001,2025-01-19,2025-02-10,2025-02-10,entregue,2396.16,0
PO-000103,SUP-006,2025-02-20,2025-03-15,2025-03-16,entregue,2458.61,1
PO-000104,SUP-011,2025-03-21,2025-04-14,2025-04-28,entregue,2521.73,14
PO-000105,SUP-016,2025-04-22,2025-05-17,2025-05-17,entregue,2585.52,0
PO-000106,SUP-021,2025-05-23,2025-06-18,2025-06-19,entregue,2649.98,1
PO-000107,SUP-026,2025-06-24,2025-07-21,2025-07-23,entregue,2715.12,2
PO-000108,SUP-031,2025-07-25,2025-08-04,2025-08-04,entregue,2780.93,0
PO-000109,SUP-036,2025-08-26,2025-09-06,2025-09-07,entregue,2847.41,1
PO-000110,SUP-041,2025-09-27,2025-10-09,2025-10-11,entregue,2914.56,2
PO-000111,SUP-046,2025-10-28,2025-11-10,2025-11-10,entregue,2982.38,0
PO-000112,SUP-051,2025-11-01,2025-11-15,2025-11-16,entregue,3050.88,1
PO-000113,SUP-056,2025-12-02,2025-12-17,2025-12-19,entregue,3120.05,2
PO-000114,SUP-061,2026-01-03,2026-01-19,2026-01-19,entregue,3189.89,0
PO-000115,SUP-066,2026-02-04,2026-02-21,2026-02-22,entregue,3260.40,1
PO-000116,SUP-071,2026-03-05,2026-03-23,2026-03-25,entregue,3331.58,2
PO-000117,SUP-076,2026-04-06,2026-04-25,2026-04-25,entregue,3403.44,0
PO-000118,SUP-081,2026-05-07,2026-05-27,2026-05-28,entregue,3475.97,1
PO-000119,SUP-001,2026-06-08,2026-06-29,2026-07-01,entregue,3549.17,2
PO-000120,SUP-006,2026-07-09,2026-07-31,2026-07-31,aberto,3623.04,0
PO-000121,SUP-011,2024-08-10,2024-09-02,2024-09-12,entregue,3102.00,10
PO-000122,SUP-016,2024-09-11,2024-10-05,2024-10-07,entregue,3169.15,2
PO-000123,SUP-021,2024-10-12,2024-11-06,2024-11-06,entregue,3236.98,0
PO-000124,SUP-026,2024-11-13,2024-12-09,2024-12-10,entregue,3305.47,1
PO-000125,SUP-031,2024-12-14,2025-01-10,2025-01-12,entregue,3374.64,2
PO-000126,SUP-036,2025-01-15,2025-01-25,2025-01-25,entregue,3444.48,0
PO-000127,SUP-041,2025-02-16,2025-02-27,2025-02-28,entregue,3514.99,1
PO-000128,SUP-046,2025-03-17,2025-03-29,2025-03-31,entregue,3586.18,2
PO-000129,SUP-051,2025-04-18,2025-05-01,2025-05-01,entregue,3658.03,0
PO-000130,SUP-056,2025-05-19,2025-06-02,2025-06-03,entregue,3730.56,1
PO-000131,SUP-061,2025-06-20,2025-07-05,2025-07-07,entregue,3803.76,2
PO-000132,SUP-066,2025-07-21,2025-08-06,2025-08-06,entregue,3877.63,0
PO-000133,SUP-071,2025-08-22,2025-09-08,2025-09-09,entregue,3952.18,1
PO-000134,SUP-076,2025-09-23,2025-10-11,2025-10-13,entregue,4027.39,2
PO-000135,SUP-081,2025-10-24,2025-11-12,2025-11-12,entregue,4103.28,0
PO-000136,SUP-001,2025-11-25,2025-12-15,2025-12-16,entregue,4179.84,1
PO-000137,SUP-006,2025-12-26,2026-01-16,2026-01-18,entregue,4257.07,2
PO-000138,SUP-011,2026-01-27,2026-02-18,2026-03-03,entregue,4334.98,13
PO-000139,SUP-016,2026-02-28,2026-03-23,2026-03-24,entregue,4413.55,1
PO-000140,SUP-021,2026-03-01,2026-03-25,2026-03-27,entregue,4492.80,2
PO-000141,SUP-026,2026-04-02,2026-04-27,2026-04-27,entregue,4572.72,0
PO-000142,SUP-031,2026-05-03,2026-05-29,2026-05-30,entregue,4653.31,1
PO-000143,SUP-036,2026-06-04,2026-07-01,2026-07-03,entregue,4734.58,2
PO-000144,SUP-041,2026-07-05,2026-07-15,2026-07-15,aberto,4816.51,0
PO-000145,SUP-046,2024-08-06,2024-08-17,2024-08-18,entregue,4110.00,1
PO-000146,SUP-051,2024-09-07,2024-09-19,2024-09-21,entregue,4185.22,2
PO-000147,SUP-056,2024-10-08,2024-10-21,2024-10-21,entregue,4261.10,0
PO-000148,SUP-061,2024-11-09,2024-11-23,2024-11-24,entregue,4337.66,1
PO-000149,SUP-066,2024-12-10,2024-12-25,2024-12-27,entregue,4414.90,2
PO-000150,SUP-071,2025-01-11,2025-01-27,2025-01-27,entregue,4492.80,0
PO-000151,SUP-076,2025-02-12,2025-03-01,2025-03-02,entregue,4571.38,1
PO-000152,SUP-081,2025-03-13,2025-03-31,2025-04-02,entregue,4650.62,2
PO-000153,SUP-001,2025-04-14,2025-05-03,2025-05-03,entregue,4730.54,0
PO-000154,SUP-006,2025-05-15,2025-06-04,2025-06-05,entregue,4811.14,1
PO-000155,SUP-011,2025-06-16,2025-07-07,2025-07-16,entregue,4892.40,9
PO-000156,SUP-016,2025-07-17,2025-08-08,2025-08-08,entregue,4974.34,0
PO-000157,SUP-021,2025-08-18,2025-09-10,2025-09-11,entregue,5056.94,1
PO-000158,SUP-026,2025-09-19,2025-10-13,2025-10-15,entregue,5140.22,2
PO-000159,SUP-031,2025-10-20,2025-11-14,2025-11-14,entregue,5224.18,0
PO-000160,SUP-036,2025-11-21,2025-12-17,2025-12-18,entregue,5308.80,1
PO-000161,SUP-041,2025-12-22,2026-01-18,2026-01-20,entregue,5394.10,2
PO-000162,SUP-046,2026-01-23,2026-02-02,2026-02-02,entregue,5480.06,0
PO-000163,SUP-051,2026-02-24,2026-03-07,2026-03-08,entregue,5566.70,1
PO-000164,SUP-056,2026-03-25,2026-04-06,2026-04-08,entregue,5654.02,2
PO-000165,SUP-061,2026-04-26,2026-05-09,2026-05-09,entregue,5742.00,0
PO-000166,SUP-066,2026-05-27,2026-06-10,2026-06-11,entregue,5830.66,1
PO-000167,SUP-071,2026-06-28,2026-07-13,2026-07-15,aberto,5919.98,2
PO-000168,SUP-076,2026-07-01,2026-07-17,2026-07-17,aberto,6009.98,0
PO-000169,SUP-081,2024-08-02,2024-08-19,2024-08-20,entregue,5118.00,1
PO-000170,SUP-001,2024-09-03,2024-09-21,2024-09-23,entregue,5201.28,2
PO-000171,SUP-006,2024-10-04,2024-10-23,2024-10-23,entregue,5285.23,0
PO-000172,SUP-011,2024-11-05,2024-11-25,2024-12-07,entregue,5369.86,12
PO-000173,SUP-016,2024-12-06,2024-12-27,2024-12-29,entregue,5455.15,2
PO-000174,SUP-021,2025-01-07,2025-01-29,2025-01-29,entregue,5541.12,0
PO-000175,SUP-026,2025-02-08,2025-03-03,2025-03-04,entregue,5627.76,1
PO-000176,SUP-031,2025-03-09,2025-04-02,2025-04-04,entregue,5715.07,2
PO-000177,SUP-036,2025-04-10,2025-05-05,2025-05-05,entregue,5803.06,0
PO-000178,SUP-041,2025-05-11,2025-06-06,2025-06-07,entregue,5891.71,1
PO-000179,SUP-046,2025-06-12,2025-07-09,2025-07-11,entregue,5981.04,2
PO-000180,SUP-051,2025-07-13,2025-07-23,2025-07-23,entregue,1958.40,0
PO-000181,SUP-056,2025-08-14,2025-08-25,2025-08-26,entregue,2018.83,1
PO-000182,SUP-061,2025-09-15,2025-09-27,2025-09-29,entregue,2079.94,2
PO-000183,SUP-066,2025-10-16,2025-10-29,2025-10-29,entregue,2141.71,0
PO-000184,SUP-071,2025-11-17,2025-12-01,2025-12-02,entregue,2204.16,1
PO-000185,SUP-076,2025-12-18,2026-01-02,2026-01-04,entregue,2267.28,2
PO-000186,SUP-081,2026-01-19,2026-02-04,2026-02-04,entregue,2331.07,0
PO-000187,SUP-001,2026-02-20,2026-03-09,2026-03-10,entregue,2395.54,1
PO-000188,SUP-006,2026-03-21,2026-04-08,2026-04-10,entregue,2460.67,2
PO-000189,SUP-011,2026-04-22,2026-05-11,2026-05-19,entregue,2526.48,8
PO-000190,SUP-016,2026-05-23,2026-06-12,2026-06-13,entregue,2592.96,1
PO-000191,SUP-021,2026-06-24,2026-07-15,2026-07-17,aberto,2660.11,2
PO-000192,SUP-026,2026-07-25,2026-08-16,2026-08-16,aberto,2727.94,0
PO-000193,SUP-031,2024-08-26,2024-09-18,2024-09-19,entregue,2346.00,1
PO-000194,SUP-036,2024-09-27,2024-10-21,2024-10-23,entregue,2407.10,2
PO-000195,SUP-041,2024-10-28,2024-11-22,2024-11-22,entregue,2468.88,0
PO-000196,SUP-046,2024-11-01,2024-11-27,2024-11-28,entregue,2531.33,1
PO-000197,SUP-051,2024-12-02,2024-12-29,2024-12-31,entregue,2594.45,2
PO-000198,SUP-056,2025-01-03,2025-01-13,2025-01-13,entregue,2658.24,0
PO-000199,SUP-061,2025-02-04,2025-02-15,2025-02-16,entregue,2722.70,1
PO-000200,SUP-066,2025-03-05,2025-03-17,2025-03-19,entregue,2787.84,2
PO-000201,SUP-071,2025-04-06,2025-04-19,2025-04-19,entregue,2853.65,0
PO-000202,SUP-076,2025-05-07,2025-05-21,2025-05-22,entregue,2920.13,1
PO-000203,SUP-081,2025-06-08,2025-06-23,2025-06-25,entregue,2987.28,2
PO-000204,SUP-001,2025-07-09,2025-07-25,2025-07-25,entregue,3055.10,0
PO-000205,SUP-006,2025-08-10,2025-08-27,2025-08-28,entregue,3123.60,1
PO-000206,SUP-011,2025-09-11,2025-09-29,2025-10-10,entregue,3192.77,11
PO-000207,SUP-016,2025-10-12,2025-10-31,2025-10-31,entregue,3262.61,0
PO-000208,SUP-021,2025-11-13,2025-12-03,2025-12-04,entregue,3333.12,1
PO-000209,SUP-026,2025-12-14,2026-01-04,2026-01-06,entregue,3404.30,2
PO-000210,SUP-031,2026-01-15,2026-02-06,2026-02-06,entregue,3476.16,0
PO-000211,SUP-036,2026-02-16,2026-03-11,2026-03-12,entregue,3548.69,1
PO-000212,SUP-041,2026-03-17,2026-04-10,2026-04-12,entregue,3621.89,2
PO-000213,SUP-046,2026-04-18,2026-05-13,2026-05-13,entregue,3695.76,0
PO-000214,SUP-051,2026-05-19,2026-06-14,2026-06-15,entregue,3770.30,1
PO-000215,SUP-056,2026-06-20,2026-07-17,2026-07-19,aberto,3845.52,2
PO-000216,SUP-061,2026-07-21,2026-07-31,2026-07-31,aberto,3921.41,0
PO-000217,SUP-066,2024-08-22,2024-09-02,2024-09-03,entregue,3354.00,1
PO-000218,SUP-071,2024-09-23,2024-10-05,2024-10-07,entregue,3423.17,2
PO-000219,SUP-076,2024-10-24,2024-11-06,2024-11-06,entregue,3493.01,0
PO-000220,SUP-081,2024-11-25,2024-12-09,2024-12-10,entregue,3563.52,1
PO-000221,SUP-001,2024-12-26,2025-01-10,2025-01-12,entregue,3634.70,2
PO-000222,SUP-006,2025-01-27,2025-02-12,2025-02-12,entregue,3706.56,0
PO-000223,SUP-011,2025-02-28,2025-03-17,2025-03-31,entregue,3779.09,14
PO-000224,SUP-016,2025-03-01,2025-03-19,2025-03-21,entregue,3852.29,2
PO-000225,SUP-021,2025-04-02,2025-04-21,2025-04-21,entregue,3926.16,0
PO-000226,SUP-026,2025-05-03,2025-05-23,2025-05-24,entregue,4000.70,1
PO-000227,SUP-031,2025-06-04,2025-06-25,2025-06-27,entregue,4075.92,2
PO-000228,SUP-036,2025-07-05,2025-07-27,2025-07-27,entregue,4151.81,0
PO-000229,SUP-041,2025-08-06,2025-08-29,2025-08-30,entregue,4228.37,1
PO-000230,SUP-046,2025-09-07,2025-10-01,2025-10-03,entregue,4305.60,2
PO-000231,SUP-051,2025-10-08,2025-11-02,2025-11-02,entregue,4383.50,0
PO-000232,SUP-056,2025-11-09,2025-12-05,2025-12-06,entregue,4462.08,1
PO-000233,SUP-061,2025-12-10,2026-01-06,2026-01-08,entregue,4541.33,2
PO-000234,SUP-066,2026-01-11,2026-01-21,2026-01-21,entregue,4621.25,0
PO-000235,SUP-071,2026-02-12,2026-02-23,2026-02-24,entregue,4701.84,1
PO-000236,SUP-076,2026-03-13,2026-03-25,2026-03-27,entregue,4783.10,2
PO-000237,SUP-081,2026-04-14,2026-04-27,2026-04-27,entregue,4865.04,0
PO-000238,SUP-001,2026-05-15,2026-05-29,2026-05-30,entregue,4947.65,1
PO-000239,SUP-006,2026-06-16,2026-07-01,2026-07-03,entregue,5030.93,2
PO-000240,SUP-011,2026-07-17,2026-08-02,2026-08-12,aberto,5114.88,10
PO-000241,SUP-016,2024-08-18,2024-09-04,2024-09-05,entregue,4362.00,1
PO-000242,SUP-021,2024-09-19,2024-10-07,2024-10-09,entregue,4439.23,2
PO-000243,SUP-026,2024-10-20,2024-11-08,2024-11-08,entregue,4517.14,0
PO-000244,SUP-031,2024-11-21,2024-12-11,2024-12-12,entregue,4595.71,1
PO-000245,SUP-036,2024-12-22,2025-01-12,2025-01-14,entregue,4674.96,2
PO-000246,SUP-041,2025-01-23,2025-02-14,2025-02-14,entregue,4754.88,0
PO-000247,SUP-046,2025-02-24,2025-03-19,2025-03-20,entregue,4835.47,1
PO-000248,SUP-051,2025-03-25,2025-04-18,2025-04-20,entregue,4916.74,2
PO-000249,SUP-056,2025-04-26,2025-05-21,2025-05-21,entregue,4998.67,0
PO-000250,SUP-061,2025-05-27,2025-06-22,2025-06-23,entregue,5081.28,1
PO-000251,SUP-066,2025-06-28,2025-07-25,2025-07-27,entregue,5164.56,2
PO-000252,SUP-071,2025-07-01,2025-07-11,2025-07-11,entregue,5248.51,0
PO-000253,SUP-076,2025-08-02,2025-08-13,2025-08-14,entregue,5333.14,1
PO-000254,SUP-081,2025-09-03,2025-09-15,2025-09-17,entregue,5418.43,2
PO-000255,SUP-001,2025-10-04,2025-10-17,2025-10-17,entregue,5504.40,0
PO-000256,SUP-006,2025-11-05,2025-11-19,2025-11-20,entregue,5591.04,1
PO-000257,SUP-011,2025-12-06,2025-12-21,2026-01-03,entregue,5678.35,13
PO-000258,SUP-016,2026-01-07,2026-01-23,2026-01-23,entregue,5766.34,0
PO-000259,SUP-021,2026-02-08,2026-02-25,2026-02-26,entregue,5854.99,1
PO-000260,SUP-026,2026-03-09,2026-03-27,2026-03-29,entregue,5944.32,2
PO-000261,SUP-031,2026-04-10,2026-04-29,2026-04-29,entregue,6034.32,0
PO-000262,SUP-036,2026-05-11,2026-05-31,2026-06-01,entregue,6124.99,1
PO-000263,SUP-041,2026-06-12,2026-07-03,2026-07-05,entregue,6216.34,2
PO-000264,SUP-046,2026-07-13,2026-08-04,2026-08-04,aberto,6308.35,0
PO-000265,SUP-051,2024-08-14,2024-09-06,2024-09-07,entregue,5370.00,1
PO-000266,SUP-056,2024-09-15,2024-10-09,2024-10-11,entregue,5455.30,2
PO-000267,SUP-061,2024-10-16,2024-11-10,2024-11-10,entregue,5541.26,0
PO-000268,SUP-066,2024-11-17,2024-12-13,2024-12-14,entregue,5627.90,1
PO-000269,SUP-071,2024-12-18,2025-01-14,2025-01-16,entregue,5715.22,2
PO-000270,SUP-076,2025-01-19,2025-01-29,2025-01-29,entregue,1872.00,0
PO-000271,SUP-081,2025-02-20,2025-03-03,2025-03-04,entregue,1930.42,1
PO-000272,SUP-001,2025-03-21,2025-04-02,2025-04-04,entregue,1989.50,2
PO-000273,SUP-006,2025-04-22,2025-05-05,2025-05-05,entregue,2049.26,0
PO-000274,SUP-011,2025-05-23,2025-06-06,2025-06-15,entregue,2109.70,9
PO-000275,SUP-016,2025-06-24,2025-07-09,2025-07-11,entregue,2170.80,2
PO-000276,SUP-021,2025-07-25,2025-08-10,2025-08-10,entregue,2232.58,0
PO-000277,SUP-026,2025-08-26,2025-09-12,2025-09-13,entregue,2295.02,1
PO-000278,SUP-031,2025-09-27,2025-10-15,2025-10-17,entregue,2358.14,2
PO-000279,SUP-036,2025-10-28,2025-11-16,2025-11-16,entregue,2421.94,0
PO-000280,SUP-041,2025-11-01,2025-11-21,2025-11-22,entregue,2486.40,1
PO-000281,SUP-046,2025-12-02,2025-12-23,2025-12-25,entregue,2551.54,2
PO-000282,SUP-051,2026-01-03,2026-01-25,2026-01-25,entregue,2617.34,0
PO-000283,SUP-056,2026-02-04,2026-02-27,2026-02-28,entregue,2683.82,1
PO-000284,SUP-061,2026-03-05,2026-03-29,2026-03-31,entregue,2750.98,2
PO-000285,SUP-066,2026-04-06,2026-05-01,2026-05-01,entregue,2818.80,0
PO-000286,SUP-071,2026-05-07,2026-06-02,2026-06-03,entregue,2887.30,1
PO-000287,SUP-076,2026-06-08,2026-07-05,2026-07-07,entregue,2956.46,2
PO-000288,SUP-081,2026-07-09,2026-07-19,2026-07-19,aberto,3026.30,0
PO-000289,SUP-001,2024-08-10,2024-08-21,2024-08-22,entregue,2598.00,1
PO-000290,SUP-006,2024-09-11,2024-09-23,2024-09-25,entregue,2661.12,2
PO-000291,SUP-011,2024-10-12,2024-10-25,2024-11-06,entregue,2724.91,12
PO-000292,SUP-016,2024-11-13,2024-11-27,2024-11-28,entregue,2789.38,1
PO-000293,SUP-021,2024-12-14,2024-12-29,2024-12-31,entregue,2854.51,2
PO-000294,SUP-026,2025-01-15,2025-01-31,2025-01-31,entregue,2920.32,0
PO-000295,SUP-031,2025-02-16,2025-03-05,2025-03-06,entregue,2986.80,1
PO-000296,SUP-036,2025-03-17,2025-04-04,2025-04-06,entregue,3053.95,2
PO-000297,SUP-041,2025-04-18,2025-05-07,2025-05-07,entregue,3121.78,0
PO-000298,SUP-046,2025-05-19,2025-06-08,2025-06-09,entregue,3190.27,1
PO-000299,SUP-051,2025-06-20,2025-07-11,2025-07-13,entregue,3259.44,2
PO-000300,SUP-056,2025-07-21,2025-08-12,2025-08-12,entregue,3329.28,0
PO-000301,SUP-061,2025-08-22,2025-09-14,2025-09-15,entregue,3399.79,1
PO-000302,SUP-066,2025-09-23,2025-10-17,2025-10-19,entregue,3470.98,2
PO-000303,SUP-071,2025-10-24,2025-11-18,2025-11-18,entregue,3542.83,0
PO-000304,SUP-076,2025-11-25,2025-12-21,2025-12-22,entregue,3615.36,1
PO-000305,SUP-081,2025-12-26,2026-01-22,2026-01-24,entregue,3688.56,2
PO-000306,SUP-001,2026-01-27,2026-02-06,2026-02-06,entregue,3762.43,0
PO-000307,SUP-006,2026-02-28,2026-03-11,2026-03-12,entregue,3836.98,1
PO-000308,SUP-011,2026-03-01,2026-03-13,2026-03-21,entregue,3912.19,8
PO-000309,SUP-016,2026-04-02,2026-04-15,2026-04-15,entregue,3988.08,0
PO-000310,SUP-021,2026-05-03,2026-05-17,2026-05-18,entregue,4064.64,1
PO-000311,SUP-026,2026-06-04,2026-06-19,2026-06-21,entregue,4141.87,2
PO-000312,SUP-031,2026-07-05,2026-07-21,2026-07-21,aberto,4219.78,0
PO-000313,SUP-036,2024-08-06,2024-08-23,2024-08-24,entregue,3606.00,1
PO-000314,SUP-041,2024-09-07,2024-09-25,2024-09-27,entregue,3677.18,2
PO-000315,SUP-046,2024-10-08,2024-10-27,2024-10-27,entregue,3749.04,0
