order_id,company_id,customer_external_id,order_date,status,gross_amount,net_amount,sales_channel
O-000040,cmp_nova_distribuidora,CLI-0061,2025-11-13,faturado,4113.60,3182.69,Balcao
O-000041,cmp_nova_distribuidora,CLI-0078,2025-12-14,faturado,4128.77,3181.63,Televendas
O-000042,cmp_nova_distribuidora,CLI-0095,2026-01-15,faturado,3230.49,2479.40,Representante
O-000043,cmp_nova_distribuidora,CLI-0112,2026-02-16,faturado,3241.55,2477.84,E-commerce B2B
O-000044,cmp_nova_distribuidora,CLI-0129,2026-03-17,faturado,3817.82,2906.50,Balcao
O-000045,cmp_nova_distribuidora,CLI-0146,2026-04-18,faturado,3829.90,2942.13,Televendas
O-000046,cmp_nova_distribuidora,CLI-0163,2026-05-19,faturado,3556.96,2721.43,Representante
O-000047,cmp_nova_distribuidora,CLI-0180,2026-06-20,faturado,3567.30,2718.29,E-commerce B2B
O-000048,cmp_nova_distribuidora,CLI-0197,2026-07-21,faturado,3291.04,2497.57,Balcao
O-000049,cmp_nova_distribuidora,CLI-0214,2024-08-22,faturado,3865.00,2972.18,Televendas
O-000050,cmp_nova_distribuidora,CLI-0231,2024-09-23,faturado,3900.00,3030.30,Representante
O-000051,cmp_nova_distribuidora,CLI-0248,2024-10-24,faturado,3935.00,3049.62,E-commerce B2B
O-000052,cmp_nova_distribuidora,CLI-0265,2024-11-25,faturado,4684.60,3621.19,Balcao
O-000053,cmp_nova_distribuidora,CLI-0282,2024-12-26,faturado,4725.90,3643.67,Televendas
O-000054,cmp_nova_distribuidora,CLI-0299,2025-01-27,faturado,3716.80,2858.23,Representante
O-000055,cmp_nova_distribuidora,CLI-0316,2025-02-28,faturado,3749.00,2912.97,E-commerce B2B
O-000056,cmp_nova_distribuidora,CLI-0333,2025-03-01,faturado,4438.80,3440.07,Balcao
O-000057,cmp_nova_distribuidora,CLI-0350,2025-04-02,faturado,4476.60,3460.41,Televendas
O-000058,cmp_nova_distribuidora,CLI-0367,2025-05-03,faturado,4180.00,3222.78,Representante
O-000059,cmp_nova_distribuidora,CLI-0384,2025-06-04,faturado,4215.00,3241.33,E-commerce B2B
O-000060,cmp_nova_distribuidora,CLI-0401,2025-07-05,faturado,3910.00,3038.07,Balcao
O-000061,cmp_nova_distribuidora,CLI-0418,2025-08-06,faturado,4285.00,3320.87,Televendas
O-000062,cmp_nova_distribuidora,CLI-0435,2025-09-07,faturado,4294.08,3314.60,Representante
O-000063,cmp_nova_distribuidora,CLI-0452,2025-10-08,faturado,4302.74,3307.95,E-commerce B2B
O-000064,cmp_nova_distribuidora,CLI-0469,2025-11-09,faturado,5086.96,3895.09,Balcao
O-000065,cmp_nova_distribuidora,CLI-0486,2025-12-10,faturado,5096.18,3937.31,Televendas
O-000066,cmp_nova_distribuidora,CLI-0503,2026-01-11,faturado,3980.10,3062.69,Representante
O-000067,cmp_nova_distribuidora,CLI-0520,2026-02-12,faturado,3986.53,3055.28,E-commerce B2B
O-000068,cmp_nova_distribuidora,CLI-0537,2026-03-13,faturado,4686.92,3577.53,Balcao
O-000069,cmp_nova_distribuidora,CLI-0554,2026-04-14,faturado,4693.55,3568.04,Televendas
O-000070,cmp_nova_distribuidora,CLI-0571,2026-05-15,faturado,2033.90,1560.20,Representante
O-000071,cmp_nova_distribuidora,CLI-0588,2026-06-16,faturado,2053.90,1569.19,E-commerce B2B
O-000072,cmp_nova_distribuidora,CLI-0605,2026-07-17,faturado,1907.60,1451.49,Balcao
O-000073,cmp_nova_distribuidora,CLI-0002,2024-08-18,faturado,2255.00,1738.60,Televendas
O-000074,cmp_nova_distribuidora,CLI-0019,2024-09-19,faturado,2290.00,1761.01,Representante
O-000075,cmp_nova_distribuidora,CLI-0036,2024-10-20,faturado,2325.00,1806.52,E-commerce B2B
O-000076,cmp_nova_distribuidora,CLI-0053,2024-11-21,faturado,2784.80,2158.22,Balcao
O-000077,cmp_nova_distribuidora,CLI-0070,2024-12-22,faturado,2826.10,2184.57,Televendas
O-000078,cmp_nova_distribuidora,CLI-0087,2025-01-23,faturado,2235.60,1723.65,Representante
O-000079,cmp_nova_distribuidora,CLI-0104,2025-02-24,faturado,2267.80,1743.94,E-commerce B2B
O-000080,cmp_nova_distribuidora,CLI-0121,2025-03-25,faturado,2700.00,2097.90,Balcao
O-000081,cmp_nova_distribuidora,CLI-0138,2025-04-26,faturado,2737.80,2121.80,Televendas
O-000082,cmp_nova_distribuidora,CLI-0155,2025-05-27,faturado,2570.00,1986.61,Representante
O-000083,cmp_nova_distribuidora,CLI-0172,2025-06-28,faturado,2605.00,2008.45,E-commerce B2B
O-000084,cmp_nova_distribuidora,CLI-0189,2025-07-01,faturado,2428.80,1867.75,Balcao
O-000085,cmp_nova_distribuidora,CLI-0206,2025-08-02,faturado,2675.00,2078.47,Televendas
O-000086,cmp_nova_distribuidora,CLI-0223,2025-09-03,faturado,2693.74,2084.69,Representante
O-000087,cmp_nova_distribuidora,CLI-0240,2025-10-04,faturado,2712.06,2090.46,E-commerce B2B
O-000088,cmp_nova_distribuidora,CLI-0257,2025-11-05,faturado,3221.35,2473.03,Balcao
O-000089,cmp_nova_distribuidora,CLI-0274,2025-12-06,faturado,3241.98,2478.81,Televendas
O-000090,cmp_nova_distribuidora,CLI-0291,2026-01-07,faturado,2543.34,1962.18,Representante
O-000091,cmp_nova_distribuidora,CLI-0308,2026-02-08,faturado,2558.65,1966.06,E-commerce B2B
O-000092,cmp_nova_distribuidora,CLI-0325,2026-03-09,faturado,3021.15,2312.09,Balcao
O-000093,cmp_nova_distribuidora,CLI-0342,2026-04-10,faturado,3038.21,2315.72,Televendas
O-000094,cmp_nova_distribuidora,CLI-0359,2026-05-11,faturado,2828.54,2147.14,Representante
O-000095,cmp_nova_distribuidora,CLI-0376,2026-06-12,faturado,2843.50,2178.12,E-commerce B2B
O-000096,cmp_nova_distribuidora,CLI-0393,2026-07-13,faturado,2629.40,2005.97,Balcao
O-000097,cmp_nova_distribuidora,CLI-0410,2024-08-14,faturado,3095.00,2392.43,Televendas
O-000098,cmp_nova_distribuidora,CLI-0427,2024-09-15,faturado,3130.00,2413.23,Representante
O-000099,cmp_nova_distribuidora,CLI-0444,2024-10-16,faturado,3165.00,2433.88,E-commerce B2B
O-000100,cmp_nova_distribuidora,CLI-0011,2024-11-17,faturado,3776.00,2933.95,Balcao
O-000101,cmp_nova_distribuidora,CLI-0012,2024-12-18,faturado,3817.30,2958.41,Televendas
O-000102,cmp_nova_distribuidora,CLI-0013,2025-01-19,faturado,3008.40,2325.49,Representante
O-000103,cmp_nova_distribuidora,CLI-0014,2025-02-20,faturado,3040.60,2344.31,E-commerce B2B
O-000104,cmp_nova_distribuidora,CLI-0015,2025-03-21,faturado,3607.20,2773.93,Balcao
O-000105,cmp_nova_distribuidora,CLI-0001,2025-04-22,faturado,3645.00,2832.16,Televendas
O-000106,cmp_nova_distribuidora,CLI-0002,2025-05-23,faturado,3410.00,2642.75,Representante
O-000107,cmp_nova_distribuidora,CLI-0003,2025-06-24,faturado,3445.00,2662.98,E-commerce B2B
O-000108,cmp_nova_distribuidora,CLI-0004,2025-07-25,faturado,3201.60,2468.43,Balcao
O-000109,cmp_nova_distribuidora,CLI-0005,2025-08-26,faturado,3515.00,2703.03,Televendas
O-000110,cmp_nova_distribuidora,CLI-0006,2025-09-27,faturado,3528.70,2737.92,Representante
O-000111,cmp_nova_distribuidora,CLI-0007,2025-10-28,faturado,3541.98,2737.24,E-commerce B2B
O-000112,cmp_nova_distribuidora,CLI-0008,2025-11-01,faturado,4194.71,3228.67,Balcao
O-000113,cmp_nova_distribuidora,CLI-0009,2025-12-02,faturado,4209.39,3226.92,Televendas
O-000114,cmp_nova_distribuidora,CLI-0010,2026-01-03,faturado,3292.96,2514.18,Representante
O-000115,cmp_nova_distribuidora,CLI-0011,2026-02-04,faturado,3303.63,2545.12,E-commerce B2B
O-000116,cmp_nova_distribuidora,CLI-0012,2026-03-05,faturado,3890.25,2984.98,Balcao
O-000117,cmp_nova_distribuidora,CLI-0013,2026-04-06,faturado,3901.87,2981.81,Televendas
O-000118,cmp_nova_distribuidora,CLI-0014,2026-05-07,faturado,3623.18,2757.61,Representante
O-000119,cmp_nova_distribuidora,CLI-0015,2026-06-08,faturado,3633.10,2753.89,E-commerce B2B
O-000120,cmp_nova_distribuidora,CLI-0001,2026-07-09,faturado,3351.19,2563.33,Balcao
O-000121,cmp_nova_distribuidora,CLI-0002,2024-08-10,faturado,3935.00,3049.62,Televendas
O-000122,cmp_nova_distribuidora,CLI-0003,2024-09-11,faturado,3970.00,3068.81,Representante
O-000123,cmp_nova_distribuidora,CLI-0004,2024-10-12,faturado,4005.00,3087.85,E-commerce B2B
O-000124,cmp_nova_distribuidora,CLI-0005,2024-11-13,faturado,4767.20,3665.97,Balcao
O-000125,cmp_nova_distribuidora,CLI-0006,2024-12-14,faturado,4808.50,3736.20,Televendas
O-000126,cmp_nova_distribuidora,CLI-0007,2025-01-15,faturado,3781.20,2930.43,Representante
O-000127,cmp_nova_distribuidora,CLI-0008,2025-02-16,faturado,3813.40,2947.76,E-commerce B2B
O-000128,cmp_nova_distribuidora,CLI-0009,2025-03-17,faturado,4514.40,3480.60,Balcao
O-000129,cmp_nova_distribuidora,CLI-0010,2025-04-18,faturado,4552.20,3500.64,Televendas
O-000130,cmp_nova_distribuidora,CLI-0011,2025-05-19,faturado,4250.00,3302.25,Representante
O-000131,cmp_nova_distribuidora,CLI-0012,2025-06-20,faturado,4285.00,3320.87,E-commerce B2B
O-000132,cmp_nova_distribuidora,CLI-0013,2025-07-21,faturado,3974.40,3072.21,Balcao
O-000133,cmp_nova_distribuidora,CLI-0014,2025-08-22,faturado,4355.00,3357.70,Televendas
O-000134,cmp_nova_distribuidora,CLI-0015,2025-09-23,faturado,4363.66,3350.85,Representante
O-000135,cmp_nova_distribuidora,CLI-0436,2025-10-24,faturado,4371.90,3387.35,E-commerce B2B
O-000136,cmp_nova_distribuidora,CLI-0453,2025-11-25,faturado,5168.07,3988.20,Balcao
O-000137,cmp_nova_distribuidora,CLI-0470,2025-12-26,faturado,5176.80,3978.89,Televendas
O-000138,cmp_nova_distribuidora,CLI-0487,2026-01-27,faturado,4042.57,3094.59,Representante
O-000139,cmp_nova_distribuidora,CLI-0504,2026-02-28,faturado,4048.61,3086.66,E-commerce B2B
O-000140,cmp_nova_distribuidora,CLI-0521,2026-03-01,faturado,2224.48,1711.29,Balcao
O-000141,cmp_nova_distribuidora,CLI-0538,2026-04-02,faturado,2246.53,1721.29,Televendas
O-000142,cmp_nova_distribuidora,CLI-0555,2026-05-03,faturado,2100.12,1602.61,Representante
O-000143,cmp_nova_distribuidora,CLI-0572,2026-06-04,faturado,2119.70,1610.97,E-commerce B2B
O-000144,cmp_nova_distribuidora,CLI-0589,2026-07-05,faturado,1967.75,1489.39,Balcao
O-000145,cmp_nova_distribuidora,CLI-0606,2024-08-06,faturado,2325.00,1806.52,Televendas
O-000146,cmp_nova_distribuidora,CLI-0003,2024-09-07,faturado,2360.00,1829.00,Representante
O-000147,cmp_nova_distribuidora,CLI-0020,2024-10-08,faturado,2395.00,1851.33,E-commerce B2B
O-000148,cmp_nova_distribuidora,CLI-0037,2024-11-09,faturado,2867.40,2210.77,Balcao
O-000149,cmp_nova_distribuidora,CLI-0054,2024-12-10,faturado,2908.70,2236.79,Televendas
O-000150,cmp_nova_distribuidora,CLI-0071,2025-01-11,faturado,2300.00,1787.10,Representante
O-000151,cmp_nova_distribuidora,CLI-0088,2025-02-12,faturado,2332.20,1807.45,E-commerce B2B
O-000152,cmp_nova_distribuidora,CLI-0105,2025-03-13,faturado,2775.60,2145.54,Balcao
O-000153,cmp_nova_distribuidora,CLI-0122,2025-04-14,faturado,2813.40,2169.13,Televendas
O-000154,cmp_nova_distribuidora,CLI-0139,2025-05-15,faturado,2640.00,2030.16,Representante
O-000155,cmp_nova_distribuidora,CLI-0156,2025-06-16,faturado,2675.00,2078.47,E-commerce B2B
O-000156,cmp_nova_distribuidora,CLI-0173,2025-07-17,faturado,2493.20,1932.22,Balcao
O-000157,cmp_nova_distribuidora,CLI-0190,2025-08-18,faturado,2745.00,2121.88,Televendas
O-000158,cmp_nova_distribuidora,CLI-0207,2025-09-19,faturado,2763.32,2127.47,Representante
O-000159,cmp_nova_distribuidora,CLI-0224,2025-10-20,faturado,2781.22,2132.64,E-commerce B2B
O-000160,cmp_nova_distribuidora,CLI-0241,2025-11-21,faturado,3302.47,2555.12,Balcao
O-000161,cmp_nova_distribuidora,CLI-0258,2025-12-22,faturado,3322.60,2560.39,Televendas
O-000162,cmp_nova_distribuidora,CLI-0275,2026-01-23,faturado,2605.81,1999.95,Representante
O-000163,cmp_nova_distribuidora,CLI-0292,2026-02-24,faturado,2620.73,2003.29,E-commerce B2B
O-000164,cmp_nova_distribuidora,CLI-0309,2026-03-25,faturado,3093.57,2355.14,Balcao
O-000165,cmp_nova_distribuidora,CLI-0326,2026-04-26,faturado,3110.18,2389.24,Televendas
O-000166,cmp_nova_distribuidora,CLI-0343,2026-05-27,faturado,2894.76,2214.77,Representante
O-000167,cmp_nova_distribuidora,CLI-0360,2026-06-28,faturado,2909.30,2216.89,E-commerce B2B
O-000168,cmp_nova_distribuidora,CLI-0377,2026-07-01,faturado,2689.55,2041.10,Balcao
O-000169,cmp_nova_distribuidora,CLI-0394,2024-08-02,faturado,3165.00,2433.88,Televendas
O-000170,cmp_nova_distribuidora,CLI-0411,2024-09-03,faturado,3200.00,2486.40,Representante
O-000171,cmp_nova_distribuidora,CLI-0428,2024-10-04,faturado,3235.00,2507.12,E-commerce B2B
O-000172,cmp_nova_distribuidora,CLI-0445,2024-11-05,faturado,3858.60,2982.69,Balcao
O-000173,cmp_nova_distribuidora,CLI-0462,2024-12-06,faturado,3899.90,3006.82,Televendas
O-000174,cmp_nova_distribuidora,CLI-0479,2025-01-07,faturado,3072.80,2362.99,Representante
O-000175,cmp_nova_distribuidora,CLI-0496,2025-02-08,faturado,3105.00,2412.58,E-commerce B2B
O-000176,cmp_nova_distribuidora,CLI-0513,2025-03-09,faturado,3682.80,2854.18,Balcao
O-000177,cmp_nova_distribuidora,CLI-0530,2025-04-10,faturado,3720.60,2876.03,Televendas
O-000178,cmp_nova_distribuidora,CLI-0547,2025-05-11,faturado,3480.00,2683.08,Representante
O-000179,cmp_nova_distribuidora,CLI-0564,2025-06-12,faturado,3515.00,2703.03,E-commerce B2B
O-000180,cmp_nova_distribuidora,CLI-0581,2025-07-13,faturado,3266.00,2537.68,Balcao
O-000181,cmp_nova_distribuidora,CLI-0598,2025-08-14,faturado,3585.00,2778.37,Televendas
O-000182,cmp_nova_distribuidora,CLI-0615,2025-09-15,faturado,3598.28,2777.52,Representante
O-000183,cmp_nova_distribuidora,CLI-0012,2025-10-16,faturado,3611.14,2776.24,E-commerce B2B
O-000184,cmp_nova_distribuidora,CLI-0029,2025-11-17,faturado,4275.82,3273.99,Balcao
O-000185,cmp_nova_distribuidora,CLI-0046,2025-12-18,faturado,4290.01,3314.46,Televendas
O-000186,cmp_nova_distribuidora,CLI-0063,2026-01-19,faturado,3355.42,2581.99,Representante
O-000187,cmp_nova_distribuidora,CLI-0080,2026-02-20,faturado,3365.71,2579.48,E-commerce B2B
O-000188,cmp_nova_distribuidora,CLI-0097,2026-03-21,faturado,3962.67,3024.71,Balcao
O-000189,cmp_nova_distribuidora,CLI-0114,2026-04-22,faturado,3973.84,3020.91,Televendas
O-000190,cmp_nova_distribuidora,CLI-0131,2026-05-23,faturado,3689.40,2830.14,Representante
O-000191,cmp_nova_distribuidora,CLI-0148,2026-06-24,faturado,3698.90,2825.96,E-commerce B2B
O-000192,cmp_nova_distribuidora,CLI-0165,2026-07-25,faturado,3411.34,2595.69,Balcao
O-000193,cmp_nova_distribuidora,CLI-0182,2024-08-26,faturado,4005.00,3087.85,Televendas
O-000194,cmp_nova_distribuidora,CLI-0199,2024-09-27,faturado,4040.00,3106.76,Representante
O-000195,cmp_nova_distribuidora,CLI-0216,2024-10-28,faturado,4075.00,3166.27,E-commerce B2B
O-000196,cmp_nova_distribuidora,CLI-0233,2024-11-01,faturado,4849.80,3758.60,Balcao
O-000197,cmp_nova_distribuidora,CLI-0250,2024-12-02,faturado,4891.10,3780.82,Televendas
O-000198,cmp_nova_distribuidora,CLI-0267,2025-01-03,faturado,3845.60,2964.96,Representante
O-000199,cmp_nova_distribuidora,CLI-0284,2025-02-04,faturado,3877.80,2982.03,E-commerce B2B
O-000200,cmp_nova_distribuidora,CLI-0006,2025-03-05,faturado,4590.00,3566.43,Balcao
O-000201,cmp_nova_distribuidora,CLI-0007,2025-04-06,faturado,4627.80,3586.55,Televendas
O-000202,cmp_nova_distribuidora,CLI-0008,2025-05-07,faturado,4320.00,3339.36,Representante
O-000203,cmp_nova_distribuidora,CLI-0009,2025-06-08,faturado,4355.00,3357.70,E-commerce B2B
O-000204,cmp_nova_distribuidora,CLI-0010,2025-07-09,faturado,4038.80,3105.84,Balcao
O-000205,cmp_nova_distribuidora,CLI-0011,2025-08-10,faturado,4425.00,3438.22,Televendas
O-000206,cmp_nova_distribuidora,CLI-0012,2025-09-11,faturado,4433.24,3430.89,Representante
O-000207,cmp_nova_distribuidora,CLI-0013,2025-10-12,faturado,4441.06,3423.17,E-commerce B2B
O-000208,cmp_nova_distribuidora,CLI-0014,2025-11-13,faturado,5249.18,4029.79,Balcao
O-000209,cmp_nova_distribuidora,CLI-0015,2025-12-14,faturado,5257.42,4019.82,Televendas
O-000210,cmp_nova_distribuidora,CLI-0001,2026-01-15,faturado,1918.66,1480.25,Representante
O-000211,cmp_nova_distribuidora,CLI-0002,2026-02-16,faturado,1937.83,1489.03,E-commerce B2B
O-000212,cmp_nova_distribuidora,CLI-0003,2026-03-17,faturado,2296.90,1757.82,Balcao
O-000213,cmp_nova_distribuidora,CLI-0004,2026-04-18,faturado,2318.50,1767.16,Televendas
O-000214,cmp_nova_distribuidora,CLI-0005,2026-05-19,faturado,2166.34,1644.47,Representante
O-000215,cmp_nova_distribuidora,CLI-0006,2026-06-20,faturado,2185.50,1674.10,E-commerce B2B
O-000216,cmp_nova_distribuidora,CLI-0007,2026-07-21,faturado,2027.90,1547.09,Balcao
O-000217,cmp_nova_distribuidora,CLI-0008,2024-08-22,faturado,2395.00,1851.33,Televendas
O-000218,cmp_nova_distribuidora,CLI-0009,2024-09-23,faturado,2430.00,1873.53,Representante
O-000219,cmp_nova_distribuidora,CLI-0010,2024-10-24,faturado,2465.00,1895.58,E-commerce B2B
O-000220,cmp_nova_distribuidora,CLI-0011,2024-11-25,faturado,2950.00,2292.15,Balcao
O-000221,cmp_nova_distribuidora,CLI-0012,2024-12-26,faturado,2991.30,2318.26,Televendas
O-000222,cmp_nova_distribuidora,CLI-0013,2025-01-27,faturado,2364.40,1827.68,Representante
O-000223,cmp_nova_distribuidora,CLI-0014,2025-02-28,faturado,2396.60,1847.78,E-commerce B2B
O-000224,cmp_nova_distribuidora,CLI-0015,2025-03-01,faturado,2851.20,2192.57,Balcao
O-000225,cmp_nova_distribuidora,CLI-0001,2025-04-02,faturado,2889.00,2244.75,Televendas
O-000226,cmp_nova_distribuidora,CLI-0002,2025-05-03,faturado,2710.00,2100.25,Representante
O-000227,cmp_nova_distribuidora,CLI-0003,2025-06-04,faturado,2745.00,2121.88,E-commerce B2B
O-000228,cmp_nova_distribuidora,CLI-0004,2025-07-05,faturado,2557.60,1971.91,Balcao
O-000229,cmp_nova_distribuidora,CLI-0005,2025-08-06,faturado,2815.00,2164.73,Televendas
O-000230,cmp_nova_distribuidora,CLI-0006,2025-09-07,faturado,2832.90,2198.05,Representante
O-000231,cmp_nova_distribuidora,CLI-0007,2025-10-08,faturado,2850.38,2202.78,E-commerce B2B
O-000232,cmp_nova_distribuidora,CLI-0008,2025-11-09,faturado,3383.58,2604.35,Balcao
O-000233,cmp_nova_distribuidora,CLI-0009,2025-12-10,faturado,3403.21,2608.90,Televendas
O-000234,cmp_nova_distribuidora,CLI-0010,2026-01-11,faturado,2668.28,2037.23,Representante
O-000235,cmp_nova_distribuidora,CLI-0276,2026-02-12,faturado,2682.81,2066.83,E-commerce B2B
O-000236,cmp_nova_distribuidora,CLI-0293,2026-03-13,faturado,3166.00,2429.27,Balcao
O-000237,cmp_nova_distribuidora,CLI-0310,2026-04-14,faturado,3182.16,2431.81,Televendas
O-000238,cmp_nova_distribuidora,CLI-0327,2026-05-15,faturado,2960.98,2253.60,Representante
O-000239,cmp_nova_distribuidora,CLI-0344,2026-06-16,faturado,2975.10,2255.12,E-commerce B2B
O-000240,cmp_nova_distribuidora,CLI-0361,2026-07-17,faturado,2749.70,2103.24,Balcao
O-000241,cmp_nova_distribuidora,CLI-0378,2024-08-18,faturado,3235.00,2507.12,Televendas
O-000242,cmp_nova_distribuidora,CLI-0395,2024-09-19,faturado,3270.00,2527.71,Representante
O-000243,cmp_nova_distribuidora,CLI-0412,2024-10-20,faturado,3305.00,2548.15,E-commerce B2B
O-000244,cmp_nova_distribuidora,CLI-0429,2024-11-21,faturado,3941.20,3030.78,Balcao
O-000245,cmp_nova_distribuidora,CLI-0446,2024-12-22,faturado,3982.50,3094.40,Televendas
O-000246,cmp_nova_distribuidora,CLI-0463,2025-01-23,faturado,3137.20,2431.32,Representante
O-000247,cmp_nova_distribuidora,CLI-0480,2025-02-24,faturado,3169.40,2449.94,E-commerce B2B
O-000248,cmp_nova_distribuidora,CLI-0497,2025-03-25,faturado,3758.40,2897.73,Balcao
O-000249,cmp_nova_distribuidora,CLI-0514,2025-04-26,faturado,3796.20,2919.27,Televendas
O-000250,cmp_nova_distribuidora,CLI-0531,2025-05-27,faturado,3550.00,2758.35,Representante
O-000251,cmp_nova_distribuidora,CLI-0548,2025-06-28,faturado,3585.00,2778.37,E-commerce B2B
O-000252,cmp_nova_distribuidora,CLI-0565,2025-07-01,faturado,3330.40,2574.40,Balcao
O-000253,cmp_nova_distribuidora,CLI-0582,2025-08-02,faturado,3655.00,2818.00,Televendas
O-000254,cmp_nova_distribuidora,CLI-0599,2025-09-03,faturado,3667.86,2816.55,Representante
O-000255,cmp_nova_distribuidora,CLI-0616,2025-10-04,faturado,3680.30,2851.50,E-commerce B2B
O-000256,cmp_nova_distribuidora,CLI-0013,2025-11-05,faturado,4356.94,3362.25,Balcao
O-000257,cmp_nova_distribuidora,CLI-0030,2025-12-06,faturado,4370.63,3359.27,Televendas
O-000258,cmp_nova_distribuidora,CLI-0047,2026-01-07,faturado,3417.89,2616.40,Representante
O-000259,cmp_nova_distribuidora,CLI-0064,2026-02-08,faturado,3427.79,2613.35,E-commerce B2B
O-000260,cmp_nova_distribuidora,CLI-0081,2026-03-09,faturado,4035.10,3104.20,Balcao
O-000261,cmp_nova_distribuidora,CLI-0098,2026-04-10,faturado,4045.81,3099.90,Televendas
O-000262,cmp_nova_distribuidora,CLI-0115,2026-05-11,faturado,3755.62,2865.91,Representante
O-000263,cmp_nova_distribuidora,CLI-0132,2026-06-12,faturado,3764.70,2861.17,E-commerce B2B
O-000264,cmp_nova_distribuidora,CLI-0149,2026-07-13,faturado,3471.49,2627.57,Balcao
O-000265,cmp_nova_distribuidora,CLI-0166,2024-08-14,faturado,4075.00,3166.27,Televendas
O-000266,cmp_nova_distribuidora,CLI-0183,2024-09-15,faturado,4110.00,3185.25,Representante
O-000267,cmp_nova_distribuidora,CLI-0200,2024-10-16,faturado,4145.00,3204.08,E-commerce B2B
O-000268,cmp_nova_distribuidora,CLI-0217,2024-11-17,faturado,4932.40,3802.88,Balcao
O-000269,cmp_nova_distribuidora,CLI-0234,2024-12-18,faturado,4973.70,3824.77,Televendas
