order_item_id,order_id,product_external_id,quantity,unit_price,line_total
OI-0000090,O-000018,PRD-00361,3,165.39,496.17
OI-0000091,O-000019,PRD-00380,2,249.66,499.32
OI-0000092,O-000019,PRD-00399,3,166.44,499.32
OI-0000093,O-000019,PRD-00418,1,499.31,499.31
OI-0000094,O-000019,PRD-00437,2,249.66,499.32
OI-0000095,O-000019,PRD-00456,3,166.44,499.32
OI-0000096,O-000020,PRD-00475,2,294.87,589.74
OI-0000097,O-000020,PRD-00494,3,196.58,589.74
OI-0000098,O-000020,PRD-00513,1,589.74,589.74
OI-0000099,O-000020,PRD-00532,2,294.87,589.74
OI-0000100,O-000020,PRD-00551,3,196.58,589.74
OI-0000101,O-000021,PRD-00570,2,296.62,593.24
OI-0000102,O-000021,PRD-00589,3,197.75,593.25
OI-0000103,O-000021,PRD-00608,1,593.25,593.25
OI-0000104,O-000021,PRD-00627,2,296.62,593.24
OI-0000105,O-000021,PRD-00646,3,197.75,593.25
OI-0000106,O-000022,PRD-00665,2,276.23,552.46
OI-0000107,O-000022,PRD-00684,3,184.15,552.45
OI-0000108,O-000022,PRD-00703,1,552.46,552.46
OI-0000109,O-000022,PRD-00722,2,276.23,552.46
OI-0000110,O-000022,PRD-00741,3,184.15,552.45
OI-0000111,O-000023,PRD-00760,2,277.77,555.54
OI-0000112,O-000023,PRD-00779,3,185.18,555.54
OI-0000113,O-000023,PRD-00798,1,555.54,555.54
OI-0000114,O-000023,PRD-00817,2,277.77,555.54
OI-0000115,O-000023,PRD-00836,3,185.18,555.54
OI-0000116,O-000024,PRD-00855,2,256.92,513.84
OI-0000117,O-000024,PRD-00874,3,171.28,513.84
OI-0000118,O-000024,PRD-00893,1,513.85,513.85
OI-0000119,O-000024,PRD-00912,2,256.92,513.84
OI-0000120,O-000024,PRD-00931,3,171.28,513.84
OI-0000121,O-000025,PRD-00950,2,302.50,605.00
OI-0000122,O-000025,PRD-00969,3,201.67,605.01
OI-0000123,O-000025,PRD-00988,1,605.00,605.00
OI-0000124,O-000025,PRD-01007,2,302.50,605.00
OI-0000125,O-000025,PRD-01026,3,201.67,605.01
OI-0000126,O-000026,PRD-01045,2,306.00,612.00
OI-0000127,O-000026,PRD-01064,3,204.00,612.00
OI-0000128,O-000026,PRD-01083,1,612.00,612.00
OI-0000129,O-000026,PRD-01102,2,306.00,612.00
OI-0000130,O-000026,PRD-01121,3,204.00,612.00
OI-0000131,O-000027,PRD-01140,2,309.50,619.00
OI-0000132,O-000027,PRD-01159,3,206.33,618.99
OI-0000133,O-000027,PRD-01178,1,619.00,619.00
OI-0000134,O-000027,PRD-01197,2,309.50,619.00
OI-0000135,O-000027,PRD-01216,3,206.33,618.99
OI-0000136,O-000028,PRD-01235,2,369.34,738.68
OI-0000137,O-000028,PRD-01254,3,246.23,738.69
OI-0000138,O-000028,PRD-01273,1,738.68,738.68
OI-0000139,O-000028,PRD-01292,2,369.34,738.68
OI-0000140,O-000028,PRD-01311,3,246.23,738.69
OI-0000141,O-000029,PRD-01330,2,373.47,746.94
OI-0000142,O-000029,PRD-01349,3,248.98,746.94
OI-0000143,O-000029,PRD-00018,1,746.94,746.94
OI-0000144,O-000029,PRD-00037,2,373.47,746.94
OI-0000145,O-000029,PRD-00056,3,248.98,746.94
OI-0000146,O-000030,PRD-00075,2,294.40,588.80
OI-0000147,O-000030,PRD-00094,3,196.27,588.81
OI-0000148,O-000030,PRD-00113,1,588.80,588.80
OI-0000149,O-000030,PRD-00132,2,294.40,588.80
OI-0000150,O-000030,PRD-00151,3,196.27,588.81
OI-0000151,O-000031,PRD-00170,2,297.62,595.24
OI-0000152,O-000031,PRD-00189,3,198.41,595.23
OI-0000153,O-000031,PRD-00208,1,595.24,595.24
OI-0000154,O-000031,PRD-00227,2,297.62,595.24
OI-0000155,O-000031,PRD-00246,3,198.41,595.23
OI-0000156,O-000032,PRD-00265,2,353.16,706.32
OI-0000157,O-000032,PRD-00284,3,235.44,706.32
OI-0000158,O-000032,PRD-00303,1,706.32,706.32
OI-0000159,O-000032,PRD-00322,2,353.16,706.32
OI-0000160,O-000032,PRD-00341,3,235.44,706.32
OI-0000161,O-000033,PRD-00360,2,356.94,713.88
OI-0000162,O-000033,PRD-00379,3,237.96,713.88
OI-0000163,O-000033,PRD-00398,1,713.88,713.88
OI-0000164,O-000033,PRD-00417,2,356.94,713.88
OI-0000165,O-000033,PRD-00436,3,237.96,713.88
OI-0000166,O-000034,PRD-00455,2,334.00,668.00
OI-0000167,O-000034,PRD-00474,3,222.67,668.01
OI-0000168,O-000034,PRD-00493,1,668.00,668.00
OI-0000169,O-000034,PRD-00512,2,334.00,668.00
OI-0000170,O-000034,PRD-00531,3,222.67,668.01
OI-0000171,O-000035,PRD-00550,2,337.50,675.00
OI-0000172,O-000035,PRD-00569,3,225.00,675.00
OI-0000173,O-000035,PRD-00588,1,675.00,675.00
OI-0000174,O-000035,PRD-00607,2,337.50,675.00
OI-0000175,O-000035,PRD-00626,3,225.00,675.00
OI-0000176,O-000036,PRD-00645,2,313.72,627.44
OI-0000177,O-000036,PRD-00664,3,209.15,627.45
OI-0000178,O-000036,PRD-00683,1,627.44,627.44
OI-0000179,O-000036,PRD-00702,2,313.72,627.44
OI-0000180,O-000036,PRD-00721,3,209.15,627.45
OI-0000181,O-000037,PRD-00740,2,344.50,689.00
OI-0000182,O-000037,PRD-00759,3,229.67,689.01
OI-0000183,O-000037,PRD-00778,1,689.00,689.00
OI-0000184,O-000037,PRD-00797,2,344.50,689.00
OI-0000185,O-000037,PRD-00816,3,229.67,689.01
OI-0000186,O-000038,PRD-00835,2,345.91,691.82
OI-0000187,O-000038,PRD-00854,3,230.61,691.83
OI-0000188,O-000038,PRD-00873,1,691.82,691.82
OI-0000189,O-000038,PRD-00892,2,345.91,691.82
OI-0000190,O-000038,PRD-00911,3,230.61,691.83
OI-0000191,O-000039,PRD-00930,2,347.28,694.56
OI-0000192,O-000039,PRD-00949,3,231.52,694.56
OI-0000193,O-000039,PRD-00968,1,694.56,694.56
OI-0000194,O-000039,PRD-00987,2,347.28,694.56
OI-0000195,O-000039,PRD-01006,3,231.52,694.56
OI-0000196,O-000040,PRD-01025,2,411.36,822.72
OI-0000197,O-000040,PRD-01044,3,274.24,822.72
OI-0000198,O-000040,PRD-01063,1,822.72,822.72
OI-0000199,O-000040,PRD-01082,2,411.36,822.72
OI-0000200,O-000040,PRD-01101,3,274.24,822.72
OI-0000201,O-000041,PRD-01120,2,412.88,825.76
OI-0000202,O-000041,PRD-01139,3,275.25,825.75
OI-0000203,O-000041,PRD-01158,1,825.75,825.75
OI-0000204,O-000041,PRD-01177,2,412.88,825.76
OI-0000205,O-000041,PRD-01196,3,275.25,825.75
OI-0000206,O-000042,PRD-01215,2,323.05,646.10
OI-0000207,O-000042,PRD-01234,3,215.37,646.11
OI-0000208,O-000042,PRD-01253,1,646.10,646.10
OI-0000209,O-000042,PRD-01272,2,323.05,646.10
OI-0000210,O-000042,PRD-01291,3,215.37,646.11
OI-0000211,O-000043,PRD-01310,2,324.16,648.32
OI-0000212,O-000043,PRD-01329,3,216.10,648.30
OI-0000213,O-000043,PRD-01348,1,648.31,648.31
OI-0000214,O-000043,PRD-00017,2,324.16,648.32
OI-0000215,O-000043,PRD-00036,3,216.10,648.30
OI-0000216,O-000044,PRD-00055,2,381.78,763.56
OI-0000217,O-000044,PRD-00074,3,254.52,763.56
OI-0000218,O-000044,PRD-00093,1,763.56,763.56
OI-0000219,O-000044,PRD-00112,2,381.78,763.56
OI-0000220,O-000044,PRD-00131,3,254.52,763.56
OI-0000221,O-000045,PRD-00150,2,382.99,765.98
OI-0000222,O-000045,PRD-00169,3,255.33,765.99
OI-0000223,O-000045,PRD-00188,1,765.98,765.98
OI-0000224,O-000045,PRD-00207,2,382.99,765.98
OI-0000225,O-000045,PRD-00226,3,255.33,765.99
OI-0000226,O-000046,PRD-00245,2,355.70,711.40
OI-0000227,O-000046,PRD-00264,3,237.13,711.39
OI-0000228,O-000046,PRD-00283,1,711.39,711.39
OI-0000229,O-000046,PRD-00302,2,355.70,711.40
OI-0000230,O-000046,PRD-00321,3,237.13,711.39
OI-0000231,O-000047,PRD-00340,2,356.73,713.46
OI-0000232,O-000047,PRD-00359,3,237.82,713.46
OI-0000233,O-000047,PRD-00378,1,713.46,713.46
OI-0000234,O-000047,PRD-00397,2,356.73,713.46
OI-0000235,O-000047,PRD-00416,3,237.82,713.46
OI-0000236,O-000048,PRD-00435,2,329.10,658.20
OI-0000237,O-000048,PRD-00454,3,219.40,658.20
OI-0000238,O-000048,PRD-00473,1,658.21,658.21
OI-0000239,O-000048,PRD-00492,2,329.10,658.20
OI-0000240,O-000048,PRD-00511,3,219.40,658.20
OI-0000241,O-000049,PRD-00530,2,386.50,773.00
OI-0000242,O-000049,PRD-00549,3,257.67,773.01
OI-0000243,O-000049,PRD-00568,1,773.00,773.00
OI-0000244,O-000049,PRD-00587,2,386.50,773.00
OI-0000245,O-000049,PRD-00606,3,257.67,773.01
OI-0000246,O-000050,PRD-00625,2,390.00,780.00
OI-0000247,O-000050,PRD-00644,3,260.00,780.00
OI-0000248,O-000050,PRD-00663,1,780.00,780.00
OI-0000249,O-000050,PRD-00682,2,390.00,780.00
OI-0000250,O-000050,PRD-00701,3,260.00,780.00
OI-0000251,O-000051,PRD-00720,2,393.50,787.00
OI-0000252,O-000051,PRD-00739,3,262.33,786.99
OI-0000253,O-000051,PRD-00758,1,787.00,787.00
OI-0000254,O-000051,PRD-00777,2,393.50,787.00
OI-0000255,O-000051,PRD-00796,3,262.33,786.99
OI-0000256,O-000052,PRD-00815,2,468.46,936.92
OI-0000257,O-000052,PRD-00834,3,312.31,936.93
OI-0000258,O-000052,PRD-00853,1,936.92,936.92
OI-0000259,O-000052,PRD-00872,2,468.46,936.92
OI-0000260,O-000052,PRD-00891,3,312.31,936.93
OI-0000261,O-000053,PRD-00910,2,472.59,945.18
OI-0000262,O-000053,PRD-00929,3,315.06,945.18
OI-0000263,O-000053,PRD-00948,1,945.18,945.18
OI-0000264,O-000053,PRD-00967,2,472.59,945.18
OI-0000265,O-000053,PRD-00986,3,315.06,945.18
OI-0000266,O-000054,PRD-01005,2,371.68,743.36
OI-0000267,O-000054,PRD-01024,3,247.79,743.37
OI-0000268,O-000054,PRD-01043,1,743.36,743.36
OI-0000269,O-000054,PRD-01062,2,371.68,743.36
OI-0000270,O-000054,PRD-01081,3,247.79,743.37
OI-0000271,O-000055,PRD-01100,2,374.90,749.80
OI-0000272,O-000055,PRD-01119,3,249.93,749.79
OI-0000273,O-000055,PRD-01138,1,749.80,749.80
OI-0000274,O-000055,PRD-01157,2,374.90,749.80
OI-0000275,O-000055,PRD-01176,3,249.93,749.79
OI-0000276,O-000056,PRD-01195,2,443.88,887.76
OI-0000277,O-000056,PRD-01214,3,295.92,887.76
OI-0000278,O-000056,PRD-01233,1,887.76,887.76
OI-0000279,O-000056,PRD-01252,2,443.88,887.76
OI-0000280,O-000056,PRD-01271,3,295.92,887.76
OI-0000281,O-000057,PRD-01290,2,447.66,895.32
OI-0000282,O-000057,PRD-01309,3,298.44,895.32
OI-0000283,O-000057,PRD-01328,1,895.32,895.32
OI-0000284,O-000057,PRD-01347,2,447.66,895.32
OI-0000285,O-000057,PRD-00016,3,298.44,895.32
OI-0000286,O-000058,PRD-00035,2,418.00,836.00
OI-0000287,O-000058,PRD-00054,3,278.67,836.01
OI-0000288,O-000058,PRD-00073,1,836.00,836.00
OI-0000289,O-000058,PRD-00092,2,418.00,836.00
OI-0000290,O-000058,PRD-00111,3,278.67,836.01
OI-0000291,O-000059,PRD-00130,2,421.50,843.00
OI-0000292,O-000059,PRD-00149,3,281.00,843.00
OI-0000293,O-000059,PRD-00168,1,843.00,843.00
OI-0000294,O-000059,PRD-00187,2,421.50,843.00
OI-0000295,O-000059,PRD-00206,3,281.00,843.00
OI-0000296,O-000060,PRD-00225,2,391.00,782.00
OI-0000297,O-000060,PRD-00244,3,260.67,782.01
OI-0000298,O-000060,PRD-00263,1,782.00,782.00
OI-0000299,O-000060,PRD-00282,2,391.00,782.00
OI-0000300,O-000060,PRD-00301,3,260.67,782.01
OI-0000301,O-000061,PRD-00320,2,428.50,857.00
OI-0000302,O-000061,PRD-00339,3,285.67,857.01
OI-0000303,O-000061,PRD-00358,1,857.00,857.00
OI-0000304,O-000061,PRD-00377,2,428.50,857.00
OI-0000305,O-000061,PRD-00396,3,285.67,857.01
OI-0000306,O-000062,PRD-00415,2,429.41,858.82
OI-0000307,O-000062,PRD-00434,3,286.27,858.81
OI-0000308,O-000062,PRD-00453,1,858.82,858.82
OI-0000309,O-000062,PRD-00472,2,429.41,858.82
OI-0000310,O-000062,PRD-00491,3,286.27,858.81
OI-0000311,O-000063,PRD-00510,2,430.27,860.54
OI-0000312,O-000063,PRD-00529,3,286.85,860.55
OI-0000313,O-000063,PRD-00548,1,860.55,860.55
OI-0000314,O-000063,PRD-00567,2,430.27,860.54
OI-0000315,O-000063,PRD-00586,3,286.85,860.55
OI-0000316,O-000064,PRD-00605,2,508.70,1017.40
OI-0000317,O-000064,PRD-00624,3,339.13,1017.39
OI-0000318,O-000064,PRD-00643,1,1017.39,1017.39
OI-0000319,O-000064,PRD-00662,2,508.70,1017.40
OI-0000320,O-000064,PRD-00681,3,339.13,1017.39
OI-0000321,O-000065,PRD-00700,2,509.62,1019.24
OI-0000322,O-000065,PRD-00719,3,339.75,1019.25
OI-0000323,O-000065,PRD-00738,1,1019.24,1019.24
OI-0000324,O-000065,PRD-00757,2,509.62,1019.24
OI-0000325,O-000065,PRD-00776,3,339.75,1019.25
OI-0000326,O-000066,PRD-00795,2,398.01,796.02
OI-0000327,O-000066,PRD-00814,3,265.34,796.02
OI-0000328,O-000066,PRD-00833,1,796.02,796.02
OI-0000329,O-000066,PRD-00852,2,398.01,796.02
OI-0000330,O-000066,PRD-00871,3,265.34,796.02
OI-0000331,O-000067,PRD-00890,2,398.65,797.30
OI-0000332,O-000067,PRD-00909,3,265.77,797.31
OI-0000333,O-000067,PRD-00928,1,797.31,797.31
OI-0000334,O-000067,PRD-00947,2,398.65,797.30
OI-0000335,O-000067,PRD-00966,3,265.77,797.31
OI-0000336,O-000068,PRD-00985,2,468.69,937.38
OI-0000337,O-000068,PRD-01004,3,312.46,937.38
OI-0000338,O-000068,PRD-01023,1,937.38,937.38
OI-0000339,O-000068,PRD-01042,2,468.69,937.38
OI-0000340,O-000068,PRD-01061,3,312.46,937.38
OI-0000341,O-000069,PRD-01080,2,469.36,938.72
OI-0000342,O-000069,PRD-01099,3,312.90,938.70
OI-0000343,O-000069,PRD-01118,1,938.71,938.71
OI-0000344,O-000069,PRD-01137,2,469.36,938.72
OI-0000345,O-000069,PRD-01156,3,312.90,938.70
OI-0000346,O-000070,PRD-01175,2,203.39,406.78
OI-0000347,O-000070,PRD-01194,3,135.59,406.77
OI-0000348,O-000070,PRD-01213,1,406.78,406.78
OI-0000349,O-000070,PRD-01232,2,203.39,406.78
OI-0000350,O-000070,PRD-01251,3,135.59,406.77
OI-0000351,O-000071,PRD-01270,2,205.39,410.78
OI-0000352,O-000071,PRD-01289,3,136.93,410.79
OI-0000353,O-000071,PRD-01308,1,410.78,410.78
OI-0000354,O-000071,PRD-01327,2,205.39,410.78
OI-0000355,O-000071,PRD-01346,3,136.93,410.79
OI-0000356,O-000072,PRD-00015,2,190.76,381.52
OI-0000357,O-000072,PRD-00034,3,127.17,381.51
OI-0000358,O-000072,PRD-00053,1,381.52,381.52
OI-0000359,O-000072,PRD-00072,2,190.76,381.52
OI-0000360,O-000072,PRD-00091,3,127.17,381.51
OI-0000361,O-000073,PRD-00110,2,225.50,451.00
OI-0000362,O-000073,PRD-00129,3,150.33,450.99
OI-0000363,O-000073,PRD-00148,1,451.00,451.00
OI-0000364,O-000073,PRD-00167,2,225.50,451.00
OI-0000365,O-000073,PRD-00186,3,150.33,450.99
OI-0000366,O-000074,PRD-00205,2,229.00,458.00
OI-0000367,O-000074,PRD-00224,3,152.67,458.01
OI-0000368,O-000074,PRD-00243,1,458.00,458.00
OI-0000369,O-000074,PRD-00262,2,229.00,458.00
OI-0000370,O-000074,PRD-00281,3,152.67,458.01
OI-0000371,O-000075,PRD-00300,2,232.50,465.00
OI-0000372,O-000075,PRD-00319,3,155.00,465.00
OI-0000373,O-000075,PRD-00338,1,465.00,465.00
OI-0000374,O-000075,PRD-00357,2,232.50,465.00
OI-0000375,O-000075,PRD-00376,3,155.00,465.00
OI-0000376,O-000076,PRD-00395,2,278.48,556.96
OI-0000377,O-000076,PRD-00414,3,185.65,556.95
OI-0000378,O-000076,PRD-00433,1,556.96,556.96
OI-0000379,O-000076,PRD-00452,2,278.48,556.96
OI-0000380,O-000076,PRD-00471,3,185.65,556.95
OI-0000381,O-000077,PRD-00490,2,282.61,565.22
OI-0000382,O-000077,PRD-00509,3,188.41,565.23
OI-0000383,O-000077,PRD-00528,1,565.22,565.22
OI-0000384,O-000077,PRD-00547,2,282.61,565.22
OI-0000385,O-000077,PRD-00566,3,188.41,565.23
OI-0000386,O-000078,PRD-00585,2,223.56,447.12
OI-0000387,O-000078,PRD-00604,3,149.04,447.12
OI-0000388,O-000078,PRD-00623,1,447.12,447.12
OI-0000389,O-000078,PRD-00642,2,223.56,447.12
OI-0000390,O-000078,PRD-00661,3,149.04,447.12
OI-0000391,O-000079,PRD-00680,2,226.78,453.56
OI-0000392,O-000079,PRD-00699,3,151.19,453.57
OI-0000393,O-000079,PRD-00718,1,453.56,453.56
OI-0000394,O-000079,PRD-00737,2,226.78,453.56
OI-0000395,O-000079,PRD-00756,3,151.19,453.57
OI-0000396,O-000080,PRD-00775,2,270.00,540.00
OI-0000397,O-000080,PRD-00794,3,180.00,540.00
OI-0000398,O-000080,PRD-00813,1,540.00,540.00
OI-0000399,O-000080,PRD-00832,2,270.00,540.00
OI-0000400,O-000080,PRD-00851,3,180.00,540.00
OI-0000401,O-000081,PRD-00870,2,273.78,547.56
OI-0000402,O-000081,PRD-00889,3,182.52,547.56
OI-0000403,O-000081,PRD-00908,1,547.56,547.56
OI-0000404,O-000081,PRD-00927,2,273.78,547.56
OI-0000405,O-000081,PRD-00946,3,182.52,547.56
OI-0000406,O-000082,PRD-00965,2,257.00,514.00
OI-0000407,O-000082,PRD-00984,3,171.33,513.99
OI-0000408,O-000082,PRD-01003,1,514.00,514.00
OI-0000409,O-000082,PRD-01022,2,257.00,514.00
OI-0000410,O-000082,PRD-01041,3,171.33,513.99
OI-0000411,O-000083,PRD-01060,2,260.50,521.00
OI-0000412,O-000083,PRD-01079,3,173.67,521.01
OI-0000413,O-000083,PRD-01098,1,521.00,521.00
OI-0000414,O-000083,PRD-01117,2,260.50,521.00
OI-0000415,O-000083,PRD-01136,3,173.67,521.01
OI-0000416,O-000084,PRD-01155,2,242.88,485.76
OI-0000417,O-000084,PRD-01174,3,161.92,485.76
OI-0000418,O-000084,PRD-01193,1,485.76,485.76
OI-0000419,O-000084,PRD-01212,2,242.88,485.76
OI-0000420,O-000084,PRD-01231,3,161.92,485.76
OI-0000421,O-000085,PRD-01250,2,267.50,535.00
OI-0000422,O-000085,PRD-01269,3,178.33,534.99
OI-0000423,O-000085,PRD-01288,1,535.00,535.00
OI-0000424,O-000085,PRD-01307,2,267.50,535.00
OI-0000425,O-000085,PRD-01326,3,178.33,534.99
OI-0000426,O-000086,PRD-01345,2,269.37,538.74
OI-0000427,O-000086,PRD-00014,3,179.58,538.74
OI-0000428,O-000086,PRD-00033,1,538.75,538.75
OI-0000429,O-000086,PRD-00052,2,269.37,538.74
OI-0000430,O-000086,PRD-00071,3,179.58,538.74
OI-0000431,O-000087,PRD-00090,2,271.21,542.42
OI-0000432,O-000087,PRD-00109,3,180.80,542.40
OI-0000433,O-000087,PRD-00128,1,542.41,542.41
OI-0000434,O-000087,PRD-00147,2,271.21,542.42
OI-0000435,O-000087,PRD-00166,3,180.80,542.40
OI-0000436,O-000088,PRD-00185,2,322.14,644.28
OI-0000437,O-000088,PRD-00204,3,214.76,644.28
OI-0000438,O-000088,PRD-00223,1,644.27,644.27
OI-0000439,O-000088,PRD-00242,2,322.14,644.28
OI-0000440,O-000088,PRD-00261,3,214.76,644.28
OI-0000441,O-000089,PRD-00280,2,324.20,648.40
OI-0000442,O-000089,PRD-00299,3,216.13,648.39
OI-0000443,O-000089,PRD-00318,1,648.40,648.40
OI-0000444,O-000089,PRD-00337,2,324.20,648.40
OI-0000445,O-000089,PRD-00356,3,216.13,648.39
OI-0000446,O-000090,PRD-00375,2,254.33,508.66
OI-0000447,O-000090,PRD-00394,3,169.56,508.68
OI-0000448,O-000090,PRD-00413,1,508.67,508.67
OI-0000449,O-000090,PRD-00432,2,254.33,508.66
OI-0000450,O-000090,PRD-00451,3,169.56,508.68
OI-0000451,O-000091,PRD-00470,2,255.86,511.72
OI-0000452,O-000091,PRD-00489,3,170.58,511.74
OI-0000453,O-000091,PRD-00508,1,511.73,511.73
OI-0000454,O-000091,PRD-00527,2,255.86,511.72
OI-0000455,O-000091,PRD-00546,3,170.58,511.74
OI-0000456,O-000092,PRD-00565,2,302.12,604.24
OI-0000457,O-000092,PRD-00584,3,201.41,604.23
OI-0000458,O-000092,PRD-00603,1,604.23,604.23
OI-0000459,O-000092,PRD-00622,2,302.12,604.24
OI-0000460,O-000092,PRD-00641,3,201.41,604.23
OI-0000461,O-000093,PRD-00660,2,303.82,607.64
OI-0000462,O-000093,PRD-00679,3,202.55,607.65
OI-0000463,O-000093,PRD-00698,1,607.64,607.64
OI-0000464,O-000093,PRD-00717,2,303.82,607.64
OI-0000465,O-000093,PRD-00736,3,202.55,607.65
OI-0000466,O-000094,PRD-00755,2,282.85,565.70
OI-0000467,O-000094,PRD-00774,3,188.57,565.71
OI-0000468,O-000094,PRD-00793,1,565.71,565.71
OI-0000469,O-000094,PRD-00812,2,282.85,565.70
OI-0000470,O-000094,PRD-00831,3,188.57,565.71
OI-0000471,O-000095,PRD-00850,2,284.35,568.70
OI-0000472,O-000095,PRD-00869,3,189.57,568.71
OI-0000473,O-000095,PRD-00888,1,568.70,568.70
OI-0000474,O-000095,PRD-00907,2,284.35,568.70
OI-0000475,O-000095,PRD-00926,3,189.57,568.71
OI-0000476,O-000096,PRD-00945,2,262.94,525.88
OI-0000477,O-000096,PRD-00964,3,175.29,525.87
OI-0000478,O-000096,PRD-00983,1,525.88,525.88
OI-0000479,O-000096,PRD-01002,2,262.94,525.88
OI-0000480,O-000096,PRD-01021,3,175.29,525.87
